Sample_Date,latitude,longitude,Recorder,Station,Number,Mt_dry_start_date,Mt_dry_start_time,Mt_dry_temp_C,sh_dry_temp_C,Height_mm,Length_mm,Width_mm,Whole_wet_wt_g,Wet_shell_wt_g,Dry_shell_wt_48,Tray_wt_g,Wet_mt_weight_g,Dry_wt_24,Dry_wt_48,Dry_wt_72,Dry_wt_96,Dry_wt_120,Dry_wt_144,Notes
2/2/2018,,,SB,DI,1,2/9/2018,1200,100,23.9,109,65,36,123.4253,90.3587,79.3179,1.2782,30.6148,6.1097,6.0178,5.9951,5.9764,5.9683,5.9588,
2/2/2018,,,SB,DI,2,2/9/2018,1200,100,23.9,109,56,52,185.9461,143.49,130.8091,1.2772,36.0857,6.7223,6.6075,6.5787,6.5542,6.5434,6.5303,
2/2/2018,,,SB,DI,3,2/9/2018,1200,100,23.9,91,67,43,169.589,143.2697,140.2662,1.268,25.1522,5.5728,5.4722,5.4502,5.337,5.4268,5.4174,
2/2/2018,,,SB,DI,4,2/9/2018,1200,100,23.9,108,58,49,153.65,129.6393,117.003,1.2828,21.631,4.437,4.3833,4.3683,4.3573,4.3528,4.3459,
2/2/2018,,,SB,DI,5,2/9/2018,1200,100,23.9,105,59,38,115.2057,92.0194,77.5161,1.2678,21.9414,4.9148,4.8395,4.8221,4.8109,4.8054,4.7979,
2/2/2018,,,SB,DI,6,2/9/2018,1200,100,23.9,88,58,29,88.1145,67.0195,62.4629,1.26,19.2439,4.3112,4.279,4.2613,4.2525,4.2484,4.2418,
2/2/2018,,,SB,DI,7,2/9/2018,1200,100,23.9,82,58,31,75.7516,56.1283,50.8826,1.2767,19.7586,4.4523,4.3788,4.364,4.3538,4.3493,4.3425,
2/2/2018,,,SB,DI,8,2/9/2018,1200,100,23.9,116,68,45,196.5603,151.5651,136.6073,1.2815,39.8076,7.767,6.9151,6.876,6.8501,6.8405,6.829,
2/2/2018,,,SB,DI,9,2/9/2018,1200,100,23.9,86,49,26,58.1121,42.5473,39.7279,1.2808,15.8708,3.2977,3.2641,3.2564,3.2491,3.247,3.2429,
2/2/2018,,,SB,DI,10,2/9/2018,1200,100,23.9,86,55,28,63.6111,47.5767,41.4299,1.2835,16.3754,3.9518,3.9087,3.8971,3.8869,3.8827,3.8777,
