"","Station","Bar2","Locality","cpue","cpue_m2"
"1","BTI11","BT 1","BT",33,528
"2","BTI12","BT 1","BT",54,864
"3","BTI21","BT 2","BT",50,800
"4","BTI22","BT 2","BT",59,944
"5","BTI31","BT 3","BT",27,432
"6","BTI32","BT 3","BT",65,1040
"7","BTI41","BT 4","BT",24,384
"8","BTI42","BT 4","BT",13,208
"9","BTI43","BT 4","BT",32,512
"10","LTI11","LT 1","LT",58,928
"11","LTI21","LT 2","LT",22,352
"12","LTI22","LT 2","LT",0,0
"13","LTI23","LT 2","LT",8,128
"14","LTI24","LT 2","LT",20,320
"15","LTI31","LT 3","LT",105,1680
"16","LTI32","LT 3","LT",48,768
"17","LTI41","LT 4","LT",41,656
"18","LTI42","LT 4","LT",55,880
"19","NNI11","NN 1","NN",31,496
"20","NNI12","NN 1","NN",20,320
"21","NNI21","NN 2","NN",35,560
"22","NNI22","NN 2","NN",13,208
"23","LCI11","LC 1","LC",52,832
"24","LCI12","LC 1","LC",29,464
"25","LCI21","LC 2","LC",46,736
"26","LCI22","LC 2","LC",28,448
"27","LCI31","LC 3","LC",45,720
"28","LCI32","LC 3","LC",0,0
"29","LCI33","LC 3","LC",15,240
"30","LCI34","LC 3","LC",4,64
"31","LCI41","LC 4","LC",7,112
"32","LCI42","LC 4","LC",18,288
"33","LCI43","LC 4","LC",35,560
"34","GCI11","GC 1","GC",12,192
"35","GCI12","GC 1","GC",17,272
"36","GCI13","GC 1","GC",16,256
"37","GCI21","GC 2","GC",34,544
"38","GCI22","GC 2","GC",12,192
"39","GCI23","GC 2","GC",67,1072
"40","NLCO11","NLC 1","NLC",40,640
"41","NLCO12","NLC 1","NLC",2,32
"42","NLCO13","NLC 1","NLC",32,512
"43","NLCO21","NLC 2","NLC",8,128
"44","NLCO22","NLC 2","NLC",11,176
"45","NLCO23","NLC 2","NLC",20,320
"46","NLCO24","NLC 2","NLC",21,336
"47","NLCO31","NLC 3","NLC",28,448
"48","NLCO32","NLC 3","NLC",30,480
