,Station,Bar,Bar2,Locality,cpue,cpue_m2
1,BTI11,1,BT1,BT,33,528
2,BTI12,1,BT1,BT,54,864
3,BTI21,2,BT2,BT,50,800
4,BTI22,2,BT2,BT,59,944
5,BTI31,3,BT3,BT,27,432
6,BTI32,3,BT3,BT,65,1040
7,BTI41,4,BT4,BT,24,384
8,BTI42,4,BT4,BT,13,208
9,BTI43,4,BT4,BT,32,512
10,LTI11,1,LT1,LT,58,928
11,LTI21,2,LT1,LT,22,352
12,LTI22,2,LT2,LT,0,0
13,LTI23,2,LT2,LT,8,128
14,LTI24,2,LT2,LT,20,320
15,LTI31,3,LT3,LT,105,1680
16,LTI32,3,LT3,LT,48,768
17,LTI41,4,LT4,LT,41,656
18,LTI42,4,LT4,LT,55,880
19,NNI11,1,NN1,NN,31,496
20,NNI12,1,NN1,NN,20,320
21,NNI21,2,NN2,NN,35,560
22,NNI22,2,NN2,NN,13,208
23,LCI11,1,LC1,LC,52,832
24,LCI12,1,LC1,LC,29,464
25,LCI21,2,LC2,LC,46,736
26,LCI22,2,LC2,LC,28,448
27,LCI31,3,LC3,LC,45,720
28,LCI32,3,LC3,LC,0,0
29,LCI33,3,LC3,LC,15,240
30,LCI34,3,LC3,LC,4,64
31,LCI41,4,LC4,LC,7,112
32,LCI42,4,LC4,LC,18,288
33,LCI43,4,LC4,LC,35,560
34,GCI11,1,GC1,GC,12,192
35,GCI12,1,GC1,GC,17,272
36,GCI13,1,GC1,GC,16,256
37,GCI21,2,GC2,GC,34,544
38,GCI22,2,GC2,GC,12,192
39,GCI23,2,GC2,GC,67,1072
40,NLCO11,1,NLC1,NLC,40,640
41,NLCO12,1,NLC1,NLC,2,32
42,NLCO13,1,NLC1,NLC,32,512
43,NLCO21,2,NLC2,NLC,8,128
44,NLCO22,2,NLC2,NLC,11,176
45,NLCO23,2,NLC2,NLC,20,320
46,NLCO24,2,NLC2,NLC,21,336
47,NLCO31,3,NLC3,NLC,28,448
48,NLCO32,3,NLC3,NLC,30,480
