"","Station","Bar2","Locality","cpue","cpue_m2"
"1","BTI11","BT 1","BT",4,64
"2","BTI12","BT 1","BT",3,48
"3","BTI21","BT 2","BT",4,64
"4","BTI31","BT 3","BT",3,48
"5","BTI32","BT 3","BT",1,16
"6","BTI41","BT 4","BT",1,16
"7","BTI43","BT 4","BT",2,32
"8","LTI11","LT 1","LT",2,32
"9","LTI21","LT 2","LT",6,96
"10","LTI23","LT 2","LT",2,32
"11","LTI24","LT 2","LT",2,32
"12","LTI41","LT 4","LT",7,112
"13","LTI42","LT 4","LT",2,32
"14","NNI11","NN 1","NN",3,48
"15","NNI12","NN 1","NN",1,16
"16","NNI21","NN 2","NN",1,16
"17","LCI12","LC 1","LC",1,16
"18","LCI33","LC 3","LC",4,64
"19","NLCO13","NLC 1","NLC",1,16
"20","NLCO22","NLC 2","NLC",1,16
"21","NLCO31","NLC 3","NLC",4,64
"22","NLCO32","NLC 3","NLC",4,64
