"","Station","Bar2","Locality","cpue","cpue_m2"
"1","BTI11","BT 1","BT",25,400
"2","BTI12","BT 1","BT",7,112
"3","BTI21","BT 2","BT",16,256
"4","BTI22","BT 2","BT",11,176
"5","BTI31","BT 3","BT",18,288
"6","BTI32","BT 3","BT",11,176
"7","BTI41","BT 4","BT",23,368
"8","BTI42","BT 4","BT",7,112
"9","BTI43","BT 4","BT",10,160
"10","LTI11","LT 1","LT",41,656
"11","LTI21","LT 2","LT",15,240
"12","LTI23","LT 2","LT",3,48
"13","LTI24","LT 2","LT",14,224
"14","LTI31","LT 3","LT",26,416
"15","LTI32","LT 3","LT",10,160
"16","LTI41","LT 4","LT",20,320
"17","LTI42","LT 4","LT",15,240
"18","NNI11","NN 1","NN",25,400
"19","NNI12","NN 1","NN",14,224
"20","NNI21","NN 2","NN",25,400
"21","NNI22","NN 2","NN",1,16
"22","LCI11","LC 1","LC",19,304
"23","LCI12","LC 1","LC",11,176
"24","LCI21","LC 2","LC",22,352
"25","LCI22","LC 2","LC",12,192
"26","LCI31","LC 3","LC",14,224
"27","LCI33","LC 3","LC",10,160
"28","LCI34","LC 3","LC",4,64
"29","LCI41","LC 4","LC",5,80
"30","LCI42","LC 4","LC",13,208
"31","LCI43","LC 4","LC",15,240
"32","GCI11","GC 1","GC",5,80
"33","GCI12","GC 1","GC",17,272
"34","GCI13","GC 1","GC",3,48
"35","GCI21","GC 2","GC",20,320
"36","GCI22","GC 2","GC",9,144
"37","GCI23","GC 2","GC",10,160
"38","NLCO11","NLC 1","NLC",23,368
"39","NLCO12","NLC 1","NLC",2,32
"40","NLCO13","NLC 1","NLC",15,240
"41","NLCO21","NLC 2","NLC",8,128
"42","NLCO22","NLC 2","NLC",8,128
"43","NLCO23","NLC 2","NLC",16,256
"44","NLCO24","NLC 2","NLC",8,128
"45","NLCO31","NLC 3","NLC",20,320
"46","NLCO32","NLC 3","NLC",13,208
