"","Station","Bar2","Locality","cpue","cpue_m2"
"1","BTI11","BT 1","BT",4,64
"2","BTI12","BT 1","BT",44,704
"3","BTI21","BT 2","BT",30,480
"4","BTI22","BT 2","BT",48,768
"5","BTI31","BT 3","BT",6,96
"6","BTI32","BT 3","BT",53,848
"7","BTI41","BT 4","BT",0,0
"8","BTI42","BT 4","BT",6,96
"9","BTI43","BT 4","BT",20,320
"10","LTI11","LT 1","LT",15,240
"11","LTI21","LT 2","LT",1,16
"12","LTI22","LT 2","LT",0,0
"13","LTI23","LT 2","LT",3,48
"14","LTI24","LT 2","LT",4,64
"15","LTI31","LT 3","LT",79,1264
"16","LTI32","LT 3","LT",38,608
"17","LTI41","LT 4","LT",14,224
"18","LTI42","LT 4","LT",38,608
"19","NNI11","NN 1","NN",3,48
"20","NNI12","NN 1","NN",5,80
"21","NNI21","NN 2","NN",9,144
"22","NNI22","NN 2","NN",12,192
"23","LCI11","LC 1","LC",33,528
"24","LCI12","LC 1","LC",17,272
"25","LCI21","LC 2","LC",24,384
"26","LCI22","LC 2","LC",16,256
"27","LCI31","LC 3","LC",31,496
"28","LCI32","LC 3","LC",0,0
"29","LCI33","LC 3","LC",1,16
"30","LCI34","LC 3","LC",0,0
"31","LCI41","LC 4","LC",2,32
"32","LCI42","LC 4","LC",5,80
"33","LCI43","LC 4","LC",20,320
"34","GCI11","GC 1","GC",7,112
"35","GCI12","GC 1","GC",0,0
"36","GCI13","GC 1","GC",13,208
"37","GCI21","GC 2","GC",14,224
"38","GCI22","GC 2","GC",3,48
"39","GCI23","GC 2","GC",57,912
"40","NLCO11","NLC 1","NLC",17,272
"41","NLCO12","NLC 1","NLC",0,0
"42","NLCO13","NLC 1","NLC",16,256
"43","NLCO21","NLC 2","NLC",0,0
"44","NLCO22","NLC 2","NLC",2,32
"45","NLCO23","NLC 2","NLC",4,64
"46","NLCO24","NLC 2","NLC",13,208
"47","NLCO31","NLC 3","NLC",4,64
"48","NLCO32","NLC 3","NLC",13,208
