"","Bar2","mean","SE"
"1","BT 1",696,168
"2","BT 2",872,72
"3","BT 3",736,304
"4","BT 4",368,88.1211287565776
"5","LT 1",928,NA
"6","LT 2",200,83.010039553458
"7","LT 3",1224,456
"8","LT 4",768,112
"9","NN 1",408,88
"10","NN 2",384,176
"11","LC 1",648,184
"12","LC 2",592,144
"13","LC 3",256,162.775919595006
"14","LC 4",320,130.312445043953
"15","GC 1",240,24.4404037064311
"16","GC 2",602.666666666667,255.722071354386
"17","NLC 1",394.666666666667,185.059750110906
"18","NLC 2",240,51.8459255872629
"19","NLC 3",464,16
