"","Bar2","mean","SE"
"1","BT 1",256,144
"2","BT 2",216,40
"3","BT 3",232,56
"4","BT 4",213.333333333333,78.5649059341666
"5","LT 1",656,NA
"6","LT 2",170.666666666667,61.5070005049109
"7","LT 3",288,128
"8","LT 4",280,40
"9","NN 1",312,88
"10","NN 2",208,192
"11","LC 1",240,64
"12","LC 2",272,80
"13","LC 3",149.333333333333,46.4949220644339
"14","LC 4",176,48.8808074128623
"15","GC 1",133.333333333333,69.946010925888
"16","GC 2",208,56.1901533485479
"17","NLC 1",213.333333333333,97.906985336991
"18","NLC 2",160,32
"19","NLC 3",264,56
