"","Bar2","mean","SE"
"1","BT 1",384,320
"2","BT 2",624,144
"3","BT 3",472,376
"4","BT 4",138.666666666667,94.807407118033
"5","LT 1",240,NA
"6","LT 2",32,14.6059348668044
"7","LT 3",936,328
"8","LT 4",416,192
"9","NN 1",64,16
"10","NN 2",168,24
"11","LC 1",400,128
"12","LC 2",320,64
"13","LC 3",128,122.724623989374
"14","LC 4",144,89.0842298052804
"15","GC 1",106.666666666667,60.1036142377848
"16","GC 2",394.666666666667,263.609138266824
"17","NLC 1",176,88.1211287565776
"18","NLC 2",76,45.898438608156
"19","NLC 3",136,72
