station,month,year,shell_num,sh_ht_mm,sh_ln_mm,sh_wd_mm,ex_cnt,in_cnt,barnacle,recorder
WQ1,AUGUST,2018,1,88,50,30,0,1,LIGHT,SL
WQ1,AUGUST,2018,2,63,46,17,0,5,LIGHT,SL
WQ1,AUGUST,2018,3,96,54,30,0,0,LIGHT,SL
WQ1,AUGUST,2018,4,75,63,15,0,0,LIGHT,SL
WQ1,AUGUST,2018,5,104,54,36,0,0,LIGHT,SL
WQ1,AUGUST,2018,6,72,47,10,0,0,LIGHT,SL
WQ1,AUGUST,2018,7,82,55,41,0,0,LIGHT,SL
WQ1,AUGUST,2018,8,83,37,23,0,0,LIGHT,SL
WQ1,AUGUST,2018,9,73,48,12,0,0,LIGHT,SL
WQ1,AUGUST,2018,10,71,50,29,0,0,LIGHT,SL
WQ3,AUGUST,2018,1,70,50,25,0,0,LIGHT,SL
WQ3,AUGUST,2018,2,95,47,25,0,4,LIGHT,SL
WQ3,AUGUST,2018,3,92,55,31,3,1,LIGHT,SL
WQ3,AUGUST,2018,4,85,48,19,7,12,LIGHT,SL
WQ3,AUGUST,2018,5,112,48,23,0,4,LIGHT,SL
WQ3,AUGUST,2018,6,72,47,20,0,4,LIGHT,SL
WQ3,AUGUST,2018,7,67,52,12,8,12,LIGHT,SL
WQ3,AUGUST,2018,8,66,65,45,4,2,LIGHT,SL
WQ3,AUGUST,2018,9,77,45,30,6,10,LIGHT,SL
WQ3,AUGUST,2018,10,77,50,25,1,1,LIGHT,SL
WQ4,AUGUST,2018,1,123,165,24,2,5,HEAVY,SL
WQ4,AUGUST,2018,2,96,39,25,0,2,HEAVY,SL
WQ4,AUGUST,2018,3,81,62,28,5,2,MODERATE,SL
WQ4,AUGUST,2018,4,105,43,25,4,1,HEAVY,SL
WQ4,AUGUST,2018,5,73,55,27,0,0,HEAVY,SL
WQ4,AUGUST,2018,6,82,42,6,1,0,HEAVY,SL
WQ4,AUGUST,2018,7,73,63,30,1,0,HEAVY,SL
WQ4,AUGUST,2018,8,64,54,14,0,0,MODERATE,SL
WQ4,AUGUST,2018,9,89,52,28,3,2,HEAVY,SL
