station,date_dep,date_ret,date_prc,month,year,side,cnt,mx_mm1,mx_mm2,mx_mm3,barnacle,recorder
WQ1,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,0,-999,-999,-999,MODERATE,SB
WQ1,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,0,-999,-999,-999,MODERATE,SB
WQ1,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,MODERATE,SB
WQ2,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,N_A,-999,-999,-999,-999,N_A,N_A
WQ3,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,0,-999,-999,-999,MODERATE,SB
WQ3,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,38,14,8,8,MODERATE,SB
WQ3,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,MODERATE,SB
WQ4,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,N_A,-999,-999,-999,-999,N_A,N_A
WQ5,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,7,1,1,1,LIGHT,SB
WQ5,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,52,3,3,2,HEAVY,SB
WQ5,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,MODERATE,SB
WQ6,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,0,-999,-999,-999,LIGHT,SB
WQ6,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,0,-999,-999,-999,LIGHT,SB
WQ6,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,LIGHT,SB
WQ7,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,0,-999,-999,-999,LIGHT,SB
WQ7,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,12,1,1,1,LIGHT,SB
WQ7,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,LIGHT,SB
WQ8,7/9/2018,9/5/2018,8/15/2018,JULY,2018,TOP,58,8,4,1,LIGHT,SB
WQ8,7/9/2018,9/5/2018,8/15/2018,JULY,2018,BOTTOM,410,18,7,7,LIGHT,SB
WQ8,7/9/2018,9/5/2018,8/15/2018,JULY,2018,SIDE,1,1,-999,-999,LIGHT,SB
WQ9,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,0,-999,-999,-999,HEAVY,SB
WQ9,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,5,17,8,7,HEAVY,SB
WQ9,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,HEAVY,SB
WQ1,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,0,-999,-999,-999,LIGHT,SL
WQ1,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,0,-999,-999,-999,LIGHT,SL
WQ1,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,NONE,SL
WQ2,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,N_A,-999,-999,-999,-999,N/A,SL
WQ3,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,0,-999,-999,-999,LIGHT,SL
WQ3,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,59,14,9,9,MODERATE,SL
WQ3,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,LIGHT,SL
WQ4,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,N_A,-999,-999,-999,-999,N/A,SL
WQ5,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,5,2,1,1,LIGHT,SL
WQ5,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,13,5,5,6,HEAVY,SL
WQ5,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,SIDE,0,-999,-999,-999,MODERATE,SL
WQ6,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,TOP,55,1,1,1,LIGHT,SL
WQ6,8/6/2018,9/5/2018,9/26/2018,AUGUST,2018,BOTTOM,8,1,1,1,LIGHT,SL
