station,date_dep,date_ret,month,year,t_vol_ml,t_wt_g,status,recorder,snail_cnt,crab_cnt
WQ1,4/17/2018,6/8/2018,APRIL,2018,240,431,RETR,SB,0,-999
WQ2,4/17/2018,6/8/2018,APRIL,2018,220,456,LOST,SB,0,-999
WQ3,4/17/2018,6/8/2018,APRIL,2018,190,433,RETR,SB,0,-999
WQ4,4/17/2018,6/8/2018,APRIL,2018,230,449,RETR,SB,0,-999
WQ5,4/17/2018,6/8/2018,APRIL,2018,200,418,RETR,SB,0,-999
WQ6,4/17/2018,6/8/2018,APRIL,2018,215,437,RETR,SB,0,-999
WQ7,4/17/2018,6/8/2018,APRIL,2018,230,456,RETR,SB,0,-999
WQ8,4/17/2018,6/8/2018,APRIL,2018,210,452,RETR,SB,0,-999
WQ9,4/17/2018,6/8/2018,APRIL,2018,200,450,RETR,SB,0,-999
WQ1,6/8/2018,7/9/2018,JUNE,2018,175,370,RETR,SL,0,-999
WQ2,6/8/2018,7/9/2018,JUNE,2018,250,469,RETR,SL,0,-999
WQ3,6/8/2018,7/9/2018,JUNE,2018,150,314,RETR,SL,0,-999
WQ4,6/8/2018,7/9/2018,JUNE,2018,225,436,RETR,SL,0,-999
WQ5,6/8/2018,7/9/2018,JUNE,2018,175,332,RETR,SL,0,-999
WQ6,6/8/2018,7/9/2018,JUNE,2018,150,318,RETR,SL,0,-999
WQ7,6/8/2018,7/9/2018,JUNE,2018,105,258,RETR,SL,0,-999
WQ8,6/8/2018,7/9/2018,JUNE,2018,150,310,RETR,SL,0,-999
WQ9,6/8/2018,7/9/2018,JUNE,2018,175,434,RETR,SL,0,-999
WQ1,-999,-999,N_A,-999,-999,-999,RMVD,SB,-999,-999
WQ2,-999,-999,N_A,-999,-999,-999,RMVD,SB,-999,-999
WQ3,7/9/2018,8/6/2018,JULY,2018,165,315,RETR,SB,3,11
WQ4,7/9/2018,8/6/2018,JULY,2018,215,408,RETR,SB,0,23
WQ5,7/9/2018,8/6/2018,JULY,2018,240,450,RETR,SB,0,11
WQ6,7/9/2018,8/6/2018,JULY,2018,190,387,RETR,SB,0,0
WQ7,7/9/2018,8/6/2018,JULY,2018,215,426,RETR,SB,0,6
WQ8,7/9/2018,8/6/2018,JULY,2018,165,374,RETR,SB,0,1
WQ9,7/9/2018,8/6/2018,JULY,2018,190,362,RETR,SB,0,0
WQ1,8/6/2018,9/5/2018,AUGUST,2018,190,324,RETR,SB,0,2
WQ2,-999,-999,N_A,-999,-999,-999,RMVD,SB,-999,-999
WQ3,8/6/2018,9/5/2018,AUGUST,2018,240,392,RETR,SB,9,8
WQ4,8/6/2018,9/5/2018,AUGUST,2018,215,377,RETR,SB,2,14
WQ5,8/6/2018,9/5/2018,AUGUST,2018,240,387,RETR,SB,0,7
WQ6,8/6/2018,9/5/2018,AUGUST,2018,240,435,RETR,SB,0,0
WQ7,8/6/2018,9/5/2018,AUGUST,2018,265,456,RETR,SB,0,3
WQ8,8/6/2018,9/5/2018,AUGUST,2018,265,470,RETR,SB,0,2
WQ9,8/6/2018,9/5/2018,AUGUST,2018,215,356,RETR,SB,0,11
