station,date_dep,date_ret,date_prc,month,year,shell_num,sh_ht_mm,sh_ln_mm,sh_wd_mm,ex_cnt,in_cnt,barnacle,mx_ex_mm,mx_in_mm,mx_mm,recorder,mult_rec,mud
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,1,74,61,-999,27,18,LIGHT,-999,-999,13,SB,N,N
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,2,77,41,-999,13,18,LIGHT,-999,-999,10,SB,N,N
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,3,80,65,-999,43,19,LIGHT,-999,-999,13,SB,N,N
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,4,77,49,-999,26,10,LIGHT,-999,-999,13,SB,N,N
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,5,95,59,-999,40,15,MODERATE,-999,-999,9,SB,N,N
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,6,109,53,-999,15,25,MODERATE,-999,-999,10,SB,N,N
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,7,82,48,-999,18,23,MODERATE,-999,-999,14,SB,N,N
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,8,88,55,-999,43,19,MODERATE,-999,-999,12,SB,N,N
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,9,80,66,-999,29,13,MODERATE,-999,-999,13,SB,N,N
WQ1,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,10,86,43,-999,15,15,HEAVY,-999,-999,11,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,1,70,58,-999,2,3,LIGHT,-999,-999,19,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,2,80,52,-999,5,1,LIGHT,-999,-999,20,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,3,87,52,-999,19,8,LIGHT,-999,-999,22,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,4,83,60,-999,11,6,LIGHT,-999,-999,18,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,5,83,44,-999,13,10,LIGHT,-999,-999,13,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,6,80,51,-999,11,8,LIGHT,-999,-999,17,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,7,85,45,-999,9,3,LIGHT,-999,-999,19,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,8,95,55,-999,10,4,LIGHT,-999,-999,16,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,9,83,53,-999,17,7,LIGHT,-999,-999,12,SB,N,N
WQ3,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,10,83,51,-999,18,6,LIGHT,-999,-999,14,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,1,100,56,-999,17,12,HEAVY,-999,-999,21,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,2,77,52,-999,5,7,HEAVY,-999,-999,20,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,3,105,57,-999,6,1,HEAVY,-999,-999,10,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,4,111,63,-999,26,8,HEAVY,-999,-999,18,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,5,103,66,-999,28,8,HEAVY,-999,-999,24,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,6,84,38,-999,9,5,HEAVY,-999,-999,19,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,7,83,77,-999,15,3,HEAVY,-999,-999,19,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,8,100,54,-999,8,10,HEAVY,-999,-999,11,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,9,98,48,-999,17,12,HEAVY,-999,-999,20,SB,N,N
WQ4,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,10,100,52,-999,19,4,HEAVY,-999,-999,29,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,1,106,52,-999,5,7,HEAVY,-999,-999,15,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,2,73,60,-999,12,9,HEAVY,-999,-999,11,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,3,85,44,-999,3,3,HEAVY,-999,-999,10,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,4,81,53,-999,5,7,HEAVY,-999,-999,17,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,5,90,56,-999,14,3,HEAVY,-999,-999,10,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,6,90,53,-999,8,6,HEAVY,-999,-999,17,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,7,95,54,-999,6,11,HEAVY,-999,-999,20,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,8,93,45,-999,11,23,HEAVY,-999,-999,23,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,9,103,50,-999,6,1,HEAVY,-999,-999,13,SB,N,N
WQ5,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,10,89,45,-999,1,7,HEAVY,-999,-999,20,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,1,94,58,-999,3,27,MODERATE,-999,-999,15,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,2,86,60,-999,5,25,MODERATE,-999,-999,12,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,3,77,63,-999,12,12,MODERATE,-999,-999,16,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,4,107,68,-999,25,20,MODERATE,-999,-999,16,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,5,111,56,-999,14,18,MODERATE,-999,-999,19,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,6,76,74,-999,4,23,MODERATE,-999,-999,22,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,7,98,54,-999,21,17,MODERATE,-999,-999,15,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,8,66,37,-999,3,4,MODERATE,-999,-999,19,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,9,79,56,-999,16,25,MODERATE,-999,-999,16,SB,N,N
WQ6,4/17/2018,6/8/2018,6/29/2018,APRIL,2018,10,72,39,-999,5,8,MODERATE,-999,-999,18,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,1,79,56,-999,1,5,MODERATE,-999,-999,17,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,2,88,59,-999,4,7,MODERATE,-999,-999,10,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,3,79,63,-999,0,0,MODERATE,-999,-999,-999,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,4,95,68,-999,1,14,MODERATE,-999,-999,12,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,5,103,51,-999,2,0,MODERATE,-999,-999,7,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,6,75,53,-999,13,3,MODERATE,-999,-999,10,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,7,84,68,-999,1,10,MODERATE,-999,-999,11,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,8,82,66,-999,0,1,MODERATE,-999,-999,5,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,9,89,46,-999,0,2,MODERATE,-999,-999,6,SB,N,N
WQ7,4/17/2018,6/8/2018,7/13/2018,APRIL,2018,10,68,50,-999,0,2,MODERATE,-999,-999,8,SB,N,N
