"","station","utm_x","utm_y","month","date_ret","year","total","type","month_num"
"1","WQ1",294432.2625,3239363.726,"APRIL","6/8/2018",2018,1030.16241299304,"KG_SHELL",4
"2","WQ1",294432.2625,3239363.726,"JUNE","7/9/2018",2018,510.810810810811,"KG_SHELL",6
"3","WQ1",294432.2625,3239363.726,"SEPTEMBER","10/4/2018",2018,65.5172413793103,"KG_SHELL",9
"4","WQ1",294432.2625,3239363.726,"AUGUST","9/5/2018",2018,0,"KG_SHELL",8
"6","WQ1",294432.2625,3239363.726,"OCTOBER","10/31/2018",2018,0,"KG_SHELL",10
"13","WQ2",296318.8406,3237017.397,"JUNE","7/9/2018",2018,1270.78891257996,"KG_SHELL",6
"16","WQ2",296318.8406,3237017.397,"SEPTEMBER","12/21/2018",2018,197.333333333333,"KG_SHELL",9
"18","WQ2",296318.8406,3237017.397,"OCTOBER","10/31/2018",2018,3.09597523219814,"KG_SHELL",10
"20","WQ3",296853.0847,3235394.366,"SEPTEMBER","10/4/2018",2018,40.133779264214,"KG_SHELL",9
"21","WQ3",296853.0847,3235394.366,"APRIL","6/8/2018",2018,394.919168591224,"KG_SHELL",4
"22","WQ3",296853.0847,3235394.366,"AUGUST","9/5/2018",2018,221.938775510204,"KG_SHELL",8
"23","WQ3",296853.0847,3235394.366,"JULY","8/6/2018",2018,165.079365079365,"KG_SHELL",7
"24","WQ3",296853.0847,3235394.366,"OCTOBER","10/31/2018",2018,2.94985250737463,"KG_SHELL",10
"28","WQ3",296853.0847,3235394.366,"JUNE","7/9/2018",2018,1735.66878980892,"KG_SHELL",6
"33","WQ4",296657.402,3235300.409,"AUGUST","9/5/2018",2018,74.2705570291777,"KG_SHELL",8
"34","WQ4",296657.402,3235300.409,"APRIL","6/8/2018",2018,489.977728285078,"KG_SHELL",4
"36","WQ4",296657.402,3235300.409,"JULY","8/6/2018",2018,93.1372549019608,"KG_SHELL",7
"37","WQ4",296657.402,3235300.409,"JUNE","7/9/2018",2018,1360.09174311927,"KG_SHELL",6
"39","WQ4",296657.402,3235300.409,"SEPTEMBER","10/4/2018",2018,88.8888888888889,"KG_SHELL",9
"43","WQ5",295776.6448,3237081.32,"AUGUST","9/5/2018",2018,222.222222222222,"KG_SHELL",8
"44","WQ5",295776.6448,3237081.32,"JULY","8/6/2018",2018,17.7777777777778,"KG_SHELL",7
"45","WQ5",295776.6448,3237081.32,"APRIL","6/8/2018",2018,354.066985645933,"KG_SHELL",4
"46","WQ5",295776.6448,3237081.32,"SEPTEMBER","10/4/2018",2018,94.4309927360775,"KG_SHELL",9
"48","WQ5",295776.6448,3237081.32,"JUNE","7/9/2018",2018,2740.96385542169,"KG_SHELL",6
"49","WQ5",295776.6448,3237081.32,"OCTOBER","10/31/2018",2018,2.9940119760479,"KG_SHELL",10
"55","WQ6",294200.647,3239291.522,"AUGUST","9/5/2018",2018,177.011494252874,"KG_SHELL",8
"56","WQ6",294200.647,3239291.522,"JULY","8/6/2018",2018,0,"KG_SHELL",7
"57","WQ6",294200.647,3239291.522,"JUNE","7/9/2018",2018,185.534591194969,"KG_SHELL",6
"58","WQ6",294200.647,3239291.522,"APRIL","6/8/2018",2018,656.75057208238,"KG_SHELL",4
"59","WQ6",294200.647,3239291.522,"SEPTEMBER","10/4/2018",2018,28.6624203821656,"KG_SHELL",9
"62","WQ6",294200.647,3239291.522,"OCTOBER","10/31/2018",2018,0,"KG_SHELL",10
"69","WQ7",296135.7189,3239475.559,"JULY","8/6/2018",2018,133.802816901408,"KG_SHELL",7
"70","WQ7",296135.7189,3239475.559,"OCTOBER","10/31/2018",2018,2.60416666666667,"KG_SHELL",10
"71","WQ7",296135.7189,3239475.559,"AUGUST","9/5/2018",2018,0,"KG_SHELL",8
"73","WQ7",296135.7189,3239475.559,"JUNE","7/9/2018",2018,1426.35658914729,"KG_SHELL",6
"76","WQ7",296135.7189,3239475.559,"APRIL","6/8/2018",2018,144.736842105263,"KG_SHELL",4
"79","WQ8",297806.3428,3238300.146,"JUNE","7/9/2018",2018,277.41935483871,"KG_SHELL",6
"80","WQ8",297806.3428,3238300.146,"OCTOBER","10/31/2018",2018,0,"KG_SHELL",10
"81","WQ8",297806.3428,3238300.146,"JULY","8/6/2018",2018,0,"KG_SHELL",7
"83","WQ8",297806.3428,3238300.146,"SEPTEMBER","10/4/2018",2018,220.253164556962,"KG_SHELL",9
"87","WQ8",297806.3428,3238300.146,"APRIL","6/8/2018",2018,548.672566371681,"KG_SHELL",4
"90","WQ8",297806.3428,3238300.146,"AUGUST","9/5/2018",2018,231.914893617021,"KG_SHELL",8
"91","WQ9",297581.9315,3235502.473,"AUGUST","9/5/2018",2018,115.168539325843,"KG_SHELL",8
"92","WQ9",297581.9315,3235502.473,"JULY","8/6/2018",2018,0,"KG_SHELL",7
"93","WQ9",297581.9315,3235502.473,"JUNE","7/9/2018",2018,1304.14746543779,"KG_SHELL",6
"94","WQ9",297581.9315,3235502.473,"APRIL","6/8/2018",2018,222.222222222222,"KG_SHELL",4
"95","WQ9",297581.9315,3235502.473,"SEPTEMBER","12/21/2018",2018,64.6067415730337,"KG_SHELL",9
"98","WQ9",297581.9315,3235502.473,"OCTOBER","10/31/2018",2018,0,"KG_SHELL",10
