obs,station,date_dep,date_ret,month,year,side,cnt,mx_mm1,mx_mm2,mx_mm3,barnacle,recorder,status,mult_rec,other
1,WQ1,6/8/2018,7/9/2018,JUNE,2018,TOP,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
2,WQ1,6/8/2018,7/9/2018,JUNE,2018,BOTTOM,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
3,WQ1,6/8/2018,7/9/2018,JUNE,2018,SIDE,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
4,WQ2,6/8/2018,7/9/2018,JUNE,2018,TOP,578,13,-999,-999,LIGHT,SB,RETR,Y,N_A
5,WQ2,6/8/2018,7/9/2018,JUNE,2018,BOTTOM,447,16,-999,-999,LIGHT,SB,RETR,Y,N_A
6,WQ2,6/8/2018,7/9/2018,JUNE,2018,SIDE,126,5,-999,-999,LIGHT,SB,RETR,Y,N_A
7,WQ3,6/8/2018,7/9/2018,JUNE,2018,TOP,646,9,-999,-999,LIGHT,SB,RETR,Y,N_A
8,WQ3,6/8/2018,7/9/2018,JUNE,2018,BOTTOM,527,14,-999,-999,LIGHT,SB,RETR,Y,N_A
9,WQ3,6/8/2018,7/9/2018,JUNE,2018,SIDE,87,10,-999,-999,LIGHT,SB,RETR,Y,N_A
10,WQ4,6/8/2018,7/9/2018,JUNE,2018,TOP,2,11,-999,-999,HEAVY,SB,RETR,N,N_A
11,WQ4,6/8/2018,7/9/2018,JUNE,2018,BOTTOM,192,8,-999,-999,HEAVY,SB,RETR,N,N_A
12,WQ4,6/8/2018,7/9/2018,JUNE,2018,SIDE,5,1,-999,-999,HEAVY,SB,RETR,N,N_A
13,WQ5,6/8/2018,7/9/2018,JUNE,2018,TOP,218,5,-999,-999,MODERATE,SB,RETR,Y,N_A
14,WQ5,6/8/2018,7/9/2018,JUNE,2018,BOTTOM,718,13,-999,-999,MODERATE,SB,RETR,Y,N_A
15,WQ5,6/8/2018,7/9/2018,JUNE,2018,SIDE,31,2,-999,-999,MODERATE,SB,RETR,Y,N_A
16,WQ6,6/8/2018,7/9/2018,JUNE,2018,TOP,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
17,WQ6,6/8/2018,7/9/2018,JUNE,2018,BOTTOM,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
18,WQ6,6/8/2018,7/9/2018,JUNE,2018,SIDE,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
19,WQ7,6/8/2018,7/9/2018,JUNE,2018,TOP,3,1,-999,-999,LIGHT,SB,RETR,N,N_A
20,WQ7,6/8/2018,7/9/2018,JUNE,2018,BOTTOM,917,1,-999,-999,LIGHT,SB,RETR,N,N_A
21,WQ7,6/8/2018,7/9/2018,JUNE,2018,SIDE,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
22,WQ8,6/8/2018,7/9/2018,JUNE,2018,TOP,5,1,-999,-999,LIGHT,SB,RETR,N,N_A
23,WQ8,6/8/2018,7/9/2018,JUNE,2018,BOTTOM,931,3,-999,-999,LIGHT,SB,RETR,N,N_A
24,WQ8,6/8/2018,7/9/2018,JUNE,2018,SIDE,19,1,-999,-999,LIGHT,SB,RETR,N,N_A
25,WQ9,6/8/2018,7/9/2018,JUNE,2018,TOP,506,9,-999,-999,LIGHT,SB,RETR,N,N_A
26,WQ9,6/8/2018,7/9/2018,JUNE,2018,BOTTOM,662,16,-999,-999,LIGHT,SB,RETR,N,N_A
27,WQ9,6/8/2018,7/9/2018,JUNE,2018,SIDE,55,7,-999,-999,LIGHT,SB,RETR,N,N_A
28,WQ1,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,N_A,-999,N_A,-999,-999,-999,-999,N_A,N_A,RMVD,N_A,N_A
29,WQ2,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,N_A,-999,N_A,-999,-999,-999,-999,N_A,N_A,RMVD,N_A,N_A
30,WQ3,7/9/2018,8/6/2018,JULY,2018,TOP,0,-999,-999,-999,HEAVY,SB,RETR,N,GOOSBARN
31,WQ3,7/9/2018,8/6/2018,JULY,2018,BOTTOM,4,11,12,5,HEAVY,SB,RETR,N,GOOSBARN
32,WQ3,7/9/2018,8/6/2018,JULY,2018,SIDE,0,-999,-999,-999,HEAVY,SB,RETR,N,GOOSBARN
33,WQ4,7/9/2018,8/6/2018,JULY,2018,TOP,0,-999,-999,-999,HEAVY,SB,RETR,N,N_A
34,WQ4,7/9/2018,8/6/2018,JULY,2018,BOTTOM,0,-999,-999,-999,HEAVY,SB,RETR,N,N_A
35,WQ4,7/9/2018,8/6/2018,JULY,2018,SIDE,0,-999,-999,-999,HEAVY,SB,RETR,N,N_A
36,WQ5,7/9/2018,8/6/2018,JULY,2018,N_A,-999,-999,-999,-999,N_A,SB,LOST,N,N_A
37,WQ6,7/9/2018,8/6/2018,JULY,2018,TOP,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
38,WQ6,7/9/2018,8/6/2018,JULY,2018,BOTTOM,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
39,WQ6,7/9/2018,8/6/2018,JULY,2018,SIDE,0,-999,-999,-999,LIGHT,SB,RETR,N,N_A
40,WQ7,7/9/2018,8/6/2018,JULY,2018,N_A,-999,-999,-999,-999,N_A,SB,LOST,N,N_A
41,WQ8,7/9/2018,9/5/2018,JULY,2018,TOP,,,,,,SB,DLYD,,
42,WQ8,7/9/2018,9/5/2018,JULY,2018,BOTTOM,,,,,,SB,DLYD,,
43,WQ8,7/9/2018,9/5/2018,JULY,2018,SIDE,,,,,,SB,DLYD,,
44,WQ9,7/9/2018,8/6/2018,JULY,2018,TOP,0,-999,-999,-999,LIGHT,SB,RETR,Y,WHELKEGGS
45,WQ9,7/9/2018,8/6/2018,JULY,2018,BOTTOM,410,12,13,13,LIGHT,SB,RETR,Y,WHELKEGGS
46,WQ9,7/9/2018,8/6/2018,JULY,2018,SIDE,0,-999,-999,-999,LIGHT,SB,RETR,Y,WHELKEGGS
,WQ1,8/6/2018,9/5/2018,,,,,,,,,,,,
,WQ2,,,,,,,,,,,,RMVD,,
,WQ3,8/6/2018,9/5/2018,,,,,,,,,,,,
,WQ4,8/6/2018,9/5/2018,,,,,,,,,,LOST,,
,WQ5,8/6/2018,9/5/2018,,,,,,,,,,,,
,WQ6,8/6/2018,9/5/2018,,,,,,,,,,,,
,WQ7,8/6/2018,9/5/2018,,,,,,,,,,,,
,WQ8,8/6/2018,9/5/2018,,,,,,,,,,,,
