"","station","month_num","year","side","cnt"
"1","WQ1","6",2018,"TOP",0
"2","WQ1","6",2018,"BOTTOM",0
"3","WQ1","6",2018,"SIDE",0
"4","WQ2","6",2018,"TOP",578
"5","WQ2","6",2018,"BOTTOM",447
"6","WQ2","6",2018,"SIDE",126
"7","WQ3","6",2018,"TOP",646
"8","WQ3","6",2018,"BOTTOM",527
"9","WQ3","6",2018,"SIDE",87
"10","WQ4","6",2018,"TOP",2
"11","WQ4","6",2018,"BOTTOM",192
"12","WQ4","6",2018,"SIDE",5
"13","WQ5","6",2018,"TOP",218
"14","WQ5","6",2018,"BOTTOM",718
"15","WQ5","6",2018,"SIDE",31
"16","WQ6","6",2018,"TOP",0
"17","WQ6","6",2018,"BOTTOM",0
"18","WQ6","6",2018,"SIDE",0
"19","WQ7","6",2018,"TOP",3
"20","WQ7","6",2018,"BOTTOM",917
"21","WQ7","6",2018,"SIDE",0
"22","WQ8","6",2018,"TOP",5
"23","WQ8","6",2018,"BOTTOM",931
"24","WQ8","6",2018,"SIDE",19
"25","WQ9","6",2018,"TOP",506
"26","WQ9","6",2018,"BOTTOM",662
"27","WQ9","6",2018,"SIDE",55
"30","WQ3","7",2018,"TOP",0
"31","WQ3","7",2018,"BOTTOM",4
"32","WQ3","7",2018,"SIDE",0
"33","WQ4","7",2018,"TOP",0
"34","WQ4","7",2018,"BOTTOM",0
"35","WQ4","7",2018,"SIDE",0
"37","WQ6","7",2018,"TOP",0
"38","WQ6","7",2018,"BOTTOM",0
"39","WQ6","7",2018,"SIDE",0
"41","WQ9","7",2018,"TOP",0
"42","WQ9","7",2018,"BOTTOM",410
"43","WQ9","7",2018,"SIDE",0
"44","WQ1","8",2018,"TOP",0
"45","WQ1","8",2018,"BOTTOM",0
"46","WQ1","8",2018,"SIDE",0
"48","WQ3","8",2018,"TOP",0
"49","WQ3","8",2018,"BOTTOM",38
"50","WQ3","8",2018,"SIDE",0
"52","WQ5","8",2018,"TOP",7
"53","WQ5","8",2018,"BOTTOM",52
"54","WQ5","8",2018,"SIDE",0
"55","WQ6","8",2018,"TOP",0
"56","WQ6","8",2018,"BOTTOM",0
"57","WQ6","8",2018,"SIDE",0
"58","WQ7","8",2018,"TOP",0
"59","WQ7","8",2018,"BOTTOM",12
"60","WQ7","8",2018,"SIDE",0
"61","WQ8","7",2018,"TOP",58
"62","WQ8","7",2018,"BOTTOM",410
"63","WQ8","7",2018,"SIDE",1
"64","WQ9","8",2018,"TOP",0
"65","WQ9","8",2018,"BOTTOM",5
"66","WQ9","8",2018,"SIDE",0
"67","WQ1","9",2018,"TOP",0
"68","WQ1","9",2018,"SIDE",0
"69","WQ1","9",2018,"BOTTOM",0
"70","WQ2","9",2018,"TOP",0
"71","WQ2","9",2018,"SIDE",2
"72","WQ2","9",2018,"BOTTOM",36
"73","WQ3","9",2018,"TOP",0
"74","WQ3","9",2018,"SIDE",0
"75","WQ3","9",2018,"BOTTOM",12
"76","WQ4","9",2018,"TOP",0
"77","WQ4","9",2018,"SIDE",0
"78","WQ4","9",2018,"BOTTOM",46
"79","WQ5","9",2018,"TOP",2
"80","WQ5","9",2018,"SIDE",0
"81","WQ5","9",2018,"BOTTOM",30
"82","WQ6","9",2018,"TOP",0
"83","WQ6","9",2018,"SIDE",0
"84","WQ6","9",2018,"BOTTOM",13
"85","WQ7","9",2018,"TOP",23
"86","WQ7","9",2018,"SIDE",3
"87","WQ7","9",2018,"BOTTOM",75
"88","WQ8","9",2018,"TOP",15
"89","WQ8","9",2018,"SIDE",0
"90","WQ8","9",2018,"BOTTOM",145
"91","WQ9","9",2018,"TOP",0
"92","WQ9","9",2018,"SIDE",0
"93","WQ9","9",2018,"BOTTOM",23
"94","WQ1","10",2018,"TOP",0
"95","WQ1","10",2018,"SIDE",0
"96","WQ1","10",2018,"BOTTOM",0
"97","WQ2","10",2018,"TOP",0
"98","WQ2","10",2018,"SIDE",0
"99","WQ2","10",2018,"BOTTOM",0
"100","WQ3","10",2018,"TOP",0
"101","WQ3","10",2018,"SIDE",0
"102","WQ3","10",2018,"BOTTOM",0
"106","WQ5","10",2018,"TOP",0
"107","WQ5","10",2018,"SIDE",0
"108","WQ5","10",2018,"BOTTOM",0
"109","WQ6","10",2018,"TOP",0
"110","WQ6","10",2018,"SIDE",0
"111","WQ6","10",2018,"BOTTOM",0
"112","WQ7","10",2018,"TOP",0
"113","WQ7","10",2018,"SIDE",0
"114","WQ7","10",2018,"BOTTOM",5
"115","WQ8","10",2018,"TOP",0
"116","WQ8","10",2018,"SIDE",0
"117","WQ8","10",2018,"BOTTOM",8
"118","WQ9","10",2018,"TOP",0
"119","WQ9","10",2018,"SIDE",0
"120","WQ9","10",2018,"BOTTOM",0
"121","WQ1","11",2018,"TOP",0
"122","WQ1","11",2018,"SIDE",0
"123","WQ1","11",2018,"BOTTOM",0
"124","WQ2","11",2018,"TOP",0
"125","WQ2","11",2018,"SIDE",0
"126","WQ2","11",2018,"BOTTOM",0
"127","WQ3","11",2018,"TOP",0
"128","WQ3","11",2018,"SIDE",0
"129","WQ3","11",2018,"BOTTOM",3
"130","WQ4","11",2018,"TOP",0
"131","WQ4","11",2018,"SIDE",0
"132","WQ4","11",2018,"BOTTOM",0
"133","WQ5","11",2018,"TOP",0
"134","WQ5","11",2018,"SIDE",0
"135","WQ5","11",2018,"BOTTOM",0
"136","WQ6","11",2018,"TOP",0
"137","WQ6","11",2018,"SIDE",0
"138","WQ6","11",2018,"BOTTOM",0
"139","WQ7","11",2018,"TOP",0
"140","WQ7","11",2018,"SIDE",0
"141","WQ7","11",2018,"BOTTOM",0
