"","station","month_num","year","total","type"
"1","WQ1","1","2019",0,"TILE"
"2","WQ1","2","2019",0,"TILE"
"3","WQ1","3","2019",0,"TILE"
"4","WQ1","4","2019",0,"TILE"
"5","WQ1","5","2019",326,"TILE"
"6","WQ1","6","2018",0,"TILE"
"7","WQ1","8","2018",0,"TILE"
"8","WQ1","9","2018",0,"TILE"
"9","WQ1","10","2018",0,"TILE"
"10","WQ1","11","2018",0,"TILE"
"11","WQ1","12","2018",0,"TILE"
"12","WQ10","3","2019",0,"TILE"
"13","WQ10","4","2019",28,"TILE"
"14","WQ10","5","2019",197,"TILE"
"15","WQ2","1","2019",0,"TILE"
"16","WQ2","2","2019",0,"TILE"
"17","WQ2","3","2019",0,"TILE"
"18","WQ2","4","2019",11,"TILE"
"19","WQ2","5","2019",174,"TILE"
"20","WQ2","6","2018",1151,"TILE"
"21","WQ2","9","2018",38,"TILE"
"22","WQ2","10","2018",0,"TILE"
"23","WQ2","11","2018",0,"TILE"
"24","WQ2","12","2018",0,"TILE"
"25","WQ3","1","2019",0,"TILE"
"26","WQ3","2","2019",0,"TILE"
"27","WQ3","3","2019",0,"TILE"
"28","WQ3","4","2019",8,"TILE"
"29","WQ3","5","2019",100,"TILE"
"30","WQ3","6","2018",1260,"TILE"
"31","WQ3","7","2018",4,"TILE"
"32","WQ3","8","2018",38,"TILE"
"33","WQ3","9","2018",12,"TILE"
"34","WQ3","10","2018",0,"TILE"
"35","WQ3","11","2018",3,"TILE"
"36","WQ3","12","2018",0,"TILE"
"37","WQ4","1","2019",0,"TILE"
"38","WQ4","2","2019",0,"TILE"
"39","WQ4","3","2019",0,"TILE"
"40","WQ4","4","2019",0,"TILE"
"41","WQ4","5","2019",68,"TILE"
"42","WQ4","6","2018",199,"TILE"
"43","WQ4","7","2018",0,"TILE"
"44","WQ4","9","2018",46,"TILE"
"45","WQ4","11","2018",0,"TILE"
"46","WQ4","12","2018",0,"TILE"
"47","WQ5","1","2019",0,"TILE"
"48","WQ5","2","2019",0,"TILE"
"49","WQ5","3","2019",0,"TILE"
"50","WQ5","4","2019",0,"TILE"
"51","WQ5","5","2019",168,"TILE"
"52","WQ5","6","2018",967,"TILE"
"53","WQ5","8","2018",59,"TILE"
"54","WQ5","9","2018",32,"TILE"
"55","WQ5","10","2018",0,"TILE"
"56","WQ5","11","2018",0,"TILE"
"57","WQ5","12","2018",0,"TILE"
"58","WQ6","1","2019",0,"TILE"
"59","WQ6","2","2019",0,"TILE"
"60","WQ6","3","2019",0,"TILE"
"61","WQ6","4","2019",0,"TILE"
"62","WQ6","5","2019",281,"TILE"
"63","WQ6","6","2018",0,"TILE"
"64","WQ6","7","2018",0,"TILE"
"65","WQ6","8","2018",0,"TILE"
"66","WQ6","9","2018",13,"TILE"
"67","WQ6","10","2018",0,"TILE"
"68","WQ6","11","2018",0,"TILE"
"69","WQ6","12","2018",0,"TILE"
"70","WQ7","1","2019",0,"TILE"
"71","WQ7","2","2019",0,"TILE"
"72","WQ7","3","2019",0,"TILE"
"73","WQ7","4","2019",50,"TILE"
"74","WQ7","5","2019",439,"TILE"
"75","WQ7","6","2018",920,"TILE"
"76","WQ7","8","2018",12,"TILE"
"77","WQ7","9","2018",101,"TILE"
"78","WQ7","10","2018",5,"TILE"
"79","WQ7","11","2018",0,"TILE"
"80","WQ7","12","2018",0,"TILE"
"81","WQ8","1","2019",0,"TILE"
"82","WQ8","2","2019",0,"TILE"
"83","WQ8","3","2019",0,"TILE"
"84","WQ8","4","2019",90,"TILE"
"85","WQ8","5","2019",984,"TILE"
"86","WQ8","6","2018",955,"TILE"
"87","WQ8","7","2018",469,"TILE"
"88","WQ8","9","2018",160,"TILE"
"89","WQ8","10","2018",8,"TILE"
"90","WQ8","11","2018",0,"TILE"
"91","WQ8","12","2018",0,"TILE"
"92","WQ9","1","2019",0,"TILE"
"93","WQ9","2","2019",0,"TILE"
"94","WQ9","3","2019",0,"TILE"
"95","WQ9","4","2019",11,"TILE"
"96","WQ9","5","2019",123,"TILE"
"97","WQ9","6","2018",1223,"TILE"
"98","WQ9","7","2018",410,"TILE"
"99","WQ9","8","2018",5,"TILE"
"100","WQ9","9","2018",23,"TILE"
"101","WQ9","10","2018",0,"TILE"
"102","WQ9","11","2018",0,"TILE"
"103","WQ9","12","2018",0,"TILE"
