"","day","month","year","Season","treatment","locality","site","bar","station","count_live","tran_length","area","density"
"2",10,1,2020,"Winter","control","LC","I","28","LCI28",1285,17.4,2.6796,479.549186445738
"3",10,1,2020,"Winter","control","LC","I","30","LCI30",880,38.2,5.8828,149.588631264024
"7",10,1,2020,"Winter","control","NN","I","5","NNI5",727,29,4.466,162.785490371697
"8",11,1,2020,"Winter","control","LC","I","23","LCI23",823,25.7,3.9578,207.943807165597
"10",11,1,2020,"Winter","control","LC","I","29","LCI29",1376,34.9,5.3746,256.019052580657
"12",11,1,2020,"Winter","control","LT","I","12","LTI12",877,17,2.618,334.988540870894
"18",13,11,2019,"Winter","control","LC","I","23","LCI23",877,19.5,3.003,292.041292041292
"19",13,11,2019,"Winter","control","LC","I","24","LCI24",1522,28.7,4.4198,344.359473279334
"25",14,12,2019,"Winter","control","BT","I","5","BTI5",5734,44.9,6.9146,829.259827032655
"28",15,11,2019,"Winter","control","LT","I","8","LTI8",2783,32,4.928,564.732142857143
"29",15,11,2019,"Winter","control","LT","I","9","LTI9",750,42.8,6.5912,113.788081077801
"30",15,11,2019,"Winter","control","NN","I","3","NNI3",509,43.1,6.6374,76.6866544128725
"31",15,12,2019,"Winter","control","LT","I","10","LTI10",2124,12.9,1.9866,1069.16339474479
"32",15,12,2019,"Winter","control","LT","I","7","LTI7",1171,10.3,1.5862,738.242340184088
"33",15,12,2019,"Winter","control","NN","I","2","NNI2",767,35.2,5.4208,141.492030696576
"36",16,12,2019,"Winter","control","BT","I","4","BTI4",1275,26.2,4.0348,316.00079310003
"44",28,10,2019,"Winter","control","LT","I","11","LTI11",1994,38.4,5.9136,337.188852813853
"53",9,1,2020,"Winter","control","BT","I","5","BTI5",2753,25.3,3.8962,706.585904214363
"54",9,1,2020,"Winter","control","LC","I","29","LCI29",875,32.3,4.9742,175.907683647622
"58",9,1,2020,"Winter","control","LT","I","3","LTI3",1264,22.4,3.4496,366.419294990724
"59",9,1,2020,"Winter","control","NN","I","6","NNI6",2369,18.6,2.8644,827.04929479123
