"","day","month","year","Season","treatment","locality","site","bar","station","count_live","tran_length","area","density"
"1",10,1,2020,"Winter","control","LC","I","2","LCI2",169,16.7,2.5718,65.7127303833891
"3",10,1,2020,"Winter","control","LC","I","30","LCI30",880,38.2,5.8828,149.588631264024
"4",10,1,2020,"Winter","control","LC","I","32","LCI32",1451,34.7,5.3438,271.529623114638
"5",10,1,2020,"Winter","control","LC","I","33","LCI33",1341,12.4,1.9096,702.241307080017
"6",10,1,2020,"Winter","control","LC","N","11","LCN11",41,50.3,7.7462,5.29291781776871
"9",11,1,2020,"Winter","control","LC","I","25","LCI25",459,20.8,3.2032,143.294205794206
"10",11,1,2020,"Winter","control","LC","I","29","LCI29",1376,34.9,5.3746,256.019052580657
"11",11,1,2020,"Winter","control","LC","I","3","LCI3",802,30.5,4.697,170.747285501384
"14",12,12,2019,"Winter","control","LC","N","10","LCN10",1980,41.4,6.3756,310.55900621118
"22",14,11,2019,"Winter","control","LC","I","14","LCI14",934,23.8,3.6652,254.829204409036
"23",14,11,2019,"Winter","control","LC","N","3","LCN3",149,59.4,9.1476,16.2884253793345
"26",14,12,2019,"Winter","control","LC","I","25","LCI25",1260,26,4.004,314.685314685315
"37",16,12,2019,"Winter","control","LC","I","21","LCI21",278,20.4,3.1416,88.4899414311179
"39",19,12,2019,"Winter","control","LC","I","18","LCI18",769,33,5.082,151.318378591106
"40",19,12,2019,"Winter","control","LC","N","2","LCN2",356,19.1,2.9414,121.030801659074
"42",26,11,2019,"Winter","control","LC","I","3","LCI3",1914,57.4,8.8396,216.525634644102
"48",29,10,2019,"Winter","control","LC","I","20","LCI20",1125,45.8,7.0532,159.502069982419
"50",30,10,2019,"Winter","control","LC","I","22","LCI22",855,16.8,2.5872,330.473098330241
"51",30,10,2019,"Winter","control","LC","I","27","LCI27",1486,25,3.85,385.974025974026
"54",9,1,2020,"Winter","control","LC","I","29","LCI29",875,32.3,4.9742,175.907683647622
"55",9,1,2020,"Winter","control","LC","I","31","LCI31",1934,33.4,5.1436,376.001244264717
"56",9,1,2020,"Winter","control","LC","N","10","LCN10",717,26.2,4.0348,177.703975413899
"57",9,1,2020,"Winter","control","LC","N","8","LCN8",500,8.8,1.3552,368.949232585596
