year,month,day,locality,site,bar,quadrat,bucket_kg,tot_rf_kg,lg_rf_kg,sm_rf_kg
2019,8,26,LC,I,19,1,0.86,16.92,0.86,1.06
2019,8,26,LC,I,19,2,0.86,13.7,0.86,1.08
2019,8,26,LC,I,19,3,0.86,10.94,0.86,1.06
2019,8,26,LC,I,19,4,0.86,15.02,0.86,1.86
2019,8,26,LC,I,2,2,0.86,20.04,1.84,1.22
2019,8,26,LC,I,2,4,0.86,17.74,2.86,1.6
2019,8,26,LC,I,2,3,0.86,16.46,2.26,0.96
2019,8,26,LC,I,2,1,0.86,12.02,1.36,0.86
2019,8,26,LC,I,1,4,0.86,21.28,4.53,2.15
2019,8,26,LC,I,1,2,0.86,17.69,4.99,2.49
2019,8,26,LC,I,1,1,0.86,23.13,2.38,7.03
2019,8,26,LC,I,1,3,0.86,-999,0.86,1.25
2019,8,26,LC,I,12,1,0.86,-999,2.49,2.15
2019,8,26,LC,I,12,4,0.86,-999,1.59,0.86
2019,8,26,LC,I,12,3,0.86,-999,0.86,0.86
2019,8,26,LC,I,12,2,0.86,-999,4.08,0.86
