Harvest,Locality,Site,POLY_AREA,Bar,Quartile,POINT_X,POINT_Y,station,label,quadrat
no,BT,I,1367.302069,1,3,297469.44,3239340.73,BTI1,BTI1 1,1
no,BT,I,1367.302069,1,3,297457.44,3239382.73,BTI1,BTI1 2,2
no,BT,I,1367.302069,1,3,297469.44,3239342.73,BTI1,BTI1 3,3
no,BT,I,1367.302069,1,3,297451.44,3239382.73,BTI1,BTI1 4,4
no,BT,I,1292.190084,5,4,297875.44,3239048.73,BTI5,BTI5 1,1
no,BT,I,1292.190084,5,4,297775.44,3239006.73,BTI5,BTI5 2,2
no,BT,I,1292.190084,5,4,297855.44,3239050.73,BTI5,BTI5 3,3
no,BT,I,1292.190084,5,4,297879.44,3239026.73,BTI5,BTI5 4,4
no,BT,I,293.8362692,6,4,297797.44,3239166.73,BTI6,BTI6 1,1
no,BT,I,293.8362692,6,4,297799.44,3239152.73,BTI6,BTI6 2,2
no,BT,I,293.8362692,6,4,297807.44,3239160.73,BTI6,BTI6 3,3
no,BT,I,293.8362692,6,4,297799.44,3239156.73,BTI6,BTI6 4,4
no,LC,I,3486.475107,1,3,299295.44,3235966.73,LCI1,LCI1 1,1
no,LC,I,3486.475107,1,3,299279.44,3235944.73,LCI1,LCI1 2,2
no,LC,I,3486.475107,1,3,299283.44,3235972.73,LCI1,LCI1 3,3
no,LC,I,3486.475107,1,3,299271.44,3235926.73,LCI1,LCI1 4,4
yes,LC,I,2077.73713,12,2,298225.44,3236060.73,LCI12,LCI12 1,1
yes,LC,I,2077.73713,12,2,298227.44,3236090.73,LCI12,LCI12 2,2
yes,LC,I,2077.73713,12,2,298229.44,3236080.73,LCI12,LCI12 3,3
yes,LC,I,2077.73713,12,2,298222.12,3236046.39,LCI12,LCI12 4,4
yes,LC,I,1375.207951,19,1,298339.44,3235102.73,LCI19,LCI19 1,1
yes,LC,I,1375.207951,19,1,298353.44,3235106.73,LCI19,LCI19 2,2
yes,LC,I,1375.207951,19,1,298327.44,3235100.73,LCI19,LCI19 3,3
yes,LC,I,1375.207951,19,1,298325.44,3235116.73,LCI19,LCI19 4,4
yes,LC,I,2700.90951,2,4,298887.44,3235784.73,LCI2,LCI2 1,1
yes,LC,I,2700.90951,2,4,298847.44,3235748.73,LCI2,LCI2 2,2
yes,LC,I,2700.90951,2,4,298873.44,3235780.73,LCI2,LCI2 3,3
yes,LC,I,2700.90951,2,4,298839.44,3235772.73,LCI2,LCI2 4,4
yes,LC,I,756.8899547,6,2,298845.44,3235974.73,LCI6,LCI6 1,1
yes,LC,I,756.8899547,6,2,298835.44,3235988.73,LCI6,LCI6 2,2
yes,LC,I,756.8899547,6,2,298859.44,3235996.73,LCI6,LCI6 3,3
yes,LC,I,756.8899547,6,2,298837.44,3236000.73,LCI6,LCI6 4,4
yes,LC,I,1042.858829,8,1,298619.47,3236549.10,LCI8,LCI8 1,1
yes,LC,I,1042.858829,8,1,298617.80,3236549.21,LCI8,LCI8 2,2
yes,LC,I,1042.858829,8,1,298615.45,3236542.69,LCI8,LCI8 3,3
yes,LC,I,1042.858829,8,1,298619.92,3236545.83,LCI8,LCI8 4,4
yes,LC,N,1935.093966,3,1,298511.44,3236706.73,LCN3,LCN3 1,1
yes,LC,N,1935.093966,3,1,298533.44,3236706.73,LCN3,LCN3 2,2
yes,LC,N,1935.093966,3,1,298501.44,3236732.73,LCN3,LCN3 3,3
yes,LC,N,1935.093966,3,1,298515.44,3236728.73,LCN3,LCN3 4,4
yes,LC,N,720.9243809,7,4,298699.44,3236790.73,LCN7,LCN7 1,1
yes,LC,N,720.9243809,7,4,298699.44,3236804.73,LCN7,LCN7 2,2
yes,LC,N,720.9243809,7,4,298691.44,3236792.73,LCN7,LCN7 3,3
yes,LC,N,720.9243809,7,4,298697.44,3236790.73,LCN7,LCN7 4,4
yes,LC,N,1524.02246,8,1,298473.44,3236494.73,LCN8,LCN8 1,1
yes,LC,N,1524.02246,8,1,298533.44,3236518.73,LCN8,LCN8 2,2
yes,LC,N,1524.02246,8,1,298473.44,3236490.73,LCN8,LCN8 3,3
yes,LC,N,1524.02246,8,1,298611.44,3236556.73,LCN8,LCN8 4,4
no,LT,I,143.3596617,1,2,298139.44,3238428.73,LTI1,LTI1 1,1
no,LT,I,143.3596617,1,2,298137.44,3238424.73,LTI1,LTI1 2,2
no,LT,I,143.3596617,1,2,298139.44,3238426.73,LTI1,LTI1 3,3
no,LT,I,143.3596617,1,2,298133.44,3238428.73,LTI1,LTI1 4,4
no,LT,I,1096.851992,5,3,298236.98,3238534.61,LTI5,LTI5 1,1
no,LT,I,1096.851992,5,3,298223.44,3238566.73,LTI5,LTI5 2,2
no,LT,I,1096.851992,5,3,298229.44,3238540.73,LTI5,LTI5 3,3
no,LT,I,1096.851992,5,3,298238.82,3238531.90,LTI5,LTI5 4,4
no,LT,I,672.4937845,6,3,297799.86,3239159.04,LTI6,LTI6 1,1
no,LT,I,672.4937845,6,3,297802.81,3239162.38,LTI6,LTI6 2,2
no,LT,I,672.4937845,6,3,298221.44,3238510.73,LTI6,LTI6 3,3
no,LT,I,672.4937845,6,3,298225.44,3238514.73,LTI6,LTI6 4,4
no,NN,I,2673.721465,1,2,298577.44,3237266.73,NNI1,NNI1 1,1
no,NN,I,2673.721465,1,2,298461.44,3237194.73,NNI1,NNI1 2,2
no,NN,I,2673.721465,1,2,298515.44,3237214.73,NNI1,NNI1 3,3
no,NN,I,2673.721465,1,2,298465.44,3237206.73,NNI1,NNI1 4,4
