"","X","FID","Id","station","POINT_X","POINT_Y","quadrat","label"
"1",1,2756,0,"LCI14",298245.4375,3235758.733,1,"LCI14 1"
"2",2,2605,0,"LCI14",298237.4375,3235742.733,2,"LCI14 2"
"3",3,2725,0,"LCI14",298251.4375,3235754.733,3,"LCI14 3"
"4",4,4320,0,"LCI20",298401.4375,3236302.733,1,"LCI20 1"
"5",5,5049,0,"LCI20",298535.4375,3236376.733,2,"LCI20 2"
"6",6,4514,0,"LCI20",298551.4375,3236320.733,3,"LCI20 3"
"7",7,2489,0,"LCI21",298543.4375,3235726.733,1,"LCI21 1"
"8",8,2762,0,"LCI21",298541.4375,3235758.733,2,"LCI21 2"
"9",9,2087,0,"LCI21",298677.4375,3235656.733,3,"LCI21 3"
"10",10,3063,0,"LCI22",298335.4375,3235976.733,1,"LCI22 1"
"11",11,3046,0,"LCI22",298335.4375,3235974.733,2,"LCI22 2"
"12",12,3102,0,"LCI22",298331.4375,3235982.733,3,"LCI22 3"
"13",13,1230,0,"LCI25",298579.4375,3235562.733,1,"LCI25 1"
"14",14,1299,0,"LCI25",298587.4375,3235568.733,2,"LCI25 2"
"15",15,1131,0,"LCI25",298585.4375,3235552.733,3,"LCI25 3"
"16",16,741,0,"LCI26",298349.4375,3235204.733,1,"LCI26 1"
"17",17,593,0,"LCI26",298305.4375,3235196.733,2,"LCI26 2"
"18",18,799,0,"LCI26",298351.4375,3235208.733,3,"LCI26 3"
"19",19,2953,0,"LCI27",298293.4375,3235936.733,1,"LCI27 1"
"20",20,3146,0,"LCI27",298305.4375,3235988.733,2,"LCI27 2"
"21",21,2931,0,"LCI27",298303.4375,3235928.733,3,"LCI27 3"
"22",22,1439,0,"LCI3",298715.4375,3235588.733,1,"LCI3 1"
"23",23,1971,0,"LCI3",298751.4375,3235642.733,2,"LCI3 2"
"24",24,1397,0,"LCI3",298707.4375,3235582.733,3,"LCI3 3"
"25",25,119,0,"LCN10",297751.4375,3234646.733,1,"LCN10 1"
"26",26,63,0,"LCN10",297757.4375,3234636.733,2,"LCN10 2"
"27",27,239,0,"LCN10",297733.4375,3234664.733,3,"LCN10 3"
"28",28,5896,0,"LCN2",298631.4375,3236626.733,1,"LCN2 1"
"29",29,6199,0,"LCN2",298651.4375,3236656.733,2,"LCN2 2"
"30",30,6156,0,"LCN2",298653.4375,3236648.733,3,"LCN2 3"
"31",31,6242,0,"LCN3",298563.4375,3236700.733,1,"LCN3 1"
"32",32,6569,0,"LCN3",298527.4375,3236728.733,2,"LCN3 2"
"33",33,6556,0,"LCN3",298501.4375,3236728.733,3,"LCN3 3"
