,FID,FID_wildre,Id,FID_reefma,Id_1,Harvest,Locality,Site,POLY_AREA,Bar,Quartile,POINT_X,POINT_Y,station
1,5543,2657728,0,0,0,no,BT,I,1367.302069,1,3,297469.4375,3239340.733,BTI1
2,5750,2680633,0,0,0,no,BT,I,1367.302069,1,3,297457.4375,3239382.733,BTI1
3,5554,2658819,0,0,0,no,BT,I,1367.302069,1,3,297469.4375,3239342.733,BTI1
4,5747,2680630,0,0,0,no,BT,I,1367.302069,1,3,297451.4375,3239382.733,BTI1
5,5317,2498645,0,2,0,no,BT,I,1292.190084,5,4,297875.4375,3239048.733,BTI5
6,5072,2475684,0,2,0,no,BT,I,1292.190084,5,4,297775.4375,3239006.733,BTI5
7,5326,2499726,0,2,0,no,BT,I,1292.190084,5,4,297855.4375,3239050.733,BTI5
8,5151,2486646,0,2,0,no,BT,I,1292.190084,5,4,297879.4375,3239026.733,BTI5
9,5455,2562975,0,1,0,no,BT,I,293.8362692,6,4,297797.4375,3239166.733,BTI6
10,5388,2555339,0,1,0,no,BT,I,293.8362692,6,4,297799.4375,3239152.733,BTI6
11,5431,2559707,0,1,0,no,BT,I,293.8362692,6,4,297807.4375,3239160.733,BTI6
12,5403,2557521,0,1,0,no,BT,I,293.8362692,6,4,297799.4375,3239156.733,BTI6
13,1632,818124,0,15,0,no,LC,I,3486.475107,1,3,299295.4375,3235966.733,LCI1
14,1443,806115,0,15,0,no,LC,I,3486.475107,1,3,299279.4375,3235944.733,LCI1
15,1668,821391,0,15,0,no,LC,I,3486.475107,1,3,299283.4375,3235972.733,LCI1
16,1187,796292,0,15,0,no,LC,I,3486.475107,1,3,299271.4375,3235926.733,LCI1
17,2262,868866,0,12,0,yes,LC,I,2077.73713,12,2,298225.4375,3236060.733,LCI12
18,2565,885232,0,12,0,yes,LC,I,2077.73713,12,2,298227.4375,3236090.733,LCI12
19,2458,879778,0,12,0,yes,LC,I,2077.73713,12,2,298229.4375,3236080.733,LCI12
20,2329,872144,0,12,0,yes,LC,I,2077.73713,12,2,298235.4375,3236066.733,LCI12
21,46,346334,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235102.733,LCI19
22,89,348523,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235106.733,LCI19
23,25,345237,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235100.733,LCI19
