station,count_live,tran_length,area,density,harvest
BTI5,5734,44.9,6.9146,829.259827,N
LCI24,1522,28.7,4.4198,344.3594733,N
LCI27,1486,25,3.85,385.974026,Y
LCI28,1285,17.4,2.6796,479.5491864,N
LCI31,1934,33.4,5.1436,376.0012443,Y
LCI33,1341,12.4,1.9096,702.2413071,Y
LCN8,500,8.8,1.3552,368.9492326,Y
LTI10,2124,12.9,1.9866,1069.163395,N
LTI3,1264,22.4,3.4496,366.419295,N
LTI7,1171,10.3,1.5862,738.2423402,N
LTI8,2783,32,4.928,564.7321429,N
NNI6,2369,18.6,2.8644,827.0492948,N
,,,,,
Extra,,,,,
LCI23,823,25.7,3.9578,207.9438072,N
LCI29,1376,34.9,5.3746,256.0190526,N
LCI29,875,32.3,4.9742,175.9076836,N
LCI30,880,38.2,5.8828,149.5886313,N
LTI9,750,42.8,6.5912,113.7880811,N
NNI2,767,35.2,5.4208,141.4920307,N
NNI3,509,43.1,6.6374,76.68665441,N
NNI5,727,29,4.466,162.7854904,N
