FID,FID_wildre,Id,FID_reefma,Id_1,Harvest,Locality,Site,POLY_AREA,Bar,Quartile,POINT_X,POINT_Y
0,341969,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235094.733
1,341970,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235094.733
2,341971,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235094.733
3,341972,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235094.733
4,343057,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235096.733
5,343058,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235096.733
6,343059,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235096.733
7,343060,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235096.733
8,343061,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235096.733
9,343062,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235096.733
10,343063,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235096.733
11,343064,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235096.733
12,343065,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235096.733
13,344147,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235098.733
14,344148,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235098.733
15,344149,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235098.733
16,344150,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235098.733
17,344151,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235098.733
18,344152,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235098.733
19,344153,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235098.733
20,344154,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235098.733
21,344155,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235098.733
22,344156,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235098.733
23,344157,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235098.733
24,344158,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235098.733
25,345237,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235100.733
26,345238,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235100.733
27,345239,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235100.733
28,345240,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235100.733
29,345241,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235100.733
30,345242,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235100.733
31,345243,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235100.733
32,345244,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235100.733
33,345245,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235100.733
34,345246,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235100.733
35,345247,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235100.733
36,345248,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235100.733
37,345249,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235100.733
38,345250,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235100.733
39,346327,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235102.733
40,346328,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235102.733
41,346329,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235102.733
42,346330,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235102.733
43,346331,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235102.733
44,346332,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235102.733
45,346333,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235102.733
46,346334,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235102.733
47,346335,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235102.733
48,346336,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235102.733
49,346337,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235102.733
50,346338,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235102.733
51,346339,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235102.733
52,346340,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235102.733
53,346341,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235102.733
54,346342,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235102.733
55,347417,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235104.733
56,347418,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235104.733
57,347419,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235104.733
58,347420,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235104.733
59,347421,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235104.733
60,347422,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235104.733
61,347423,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235104.733
62,347424,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235104.733
63,347425,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235104.733
64,347426,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235104.733
65,347427,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235104.733
66,347428,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235104.733
67,347429,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235104.733
68,347430,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235104.733
69,347431,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235104.733
70,347432,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235104.733
71,347433,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235104.733
72,347434,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235104.733
73,348507,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235106.733
74,348508,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235106.733
75,348509,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235106.733
76,348510,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235106.733
77,348511,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235106.733
78,348512,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235106.733
79,348513,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235106.733
80,348514,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235106.733
81,348515,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235106.733
82,348516,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235106.733
83,348517,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235106.733
84,348518,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235106.733
85,348519,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235106.733
86,348520,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235106.733
87,348521,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235106.733
88,348522,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235106.733
89,348523,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235106.733
90,348524,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235106.733
91,348525,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235106.733
92,348526,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235106.733
93,349598,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235108.733
94,349599,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235108.733
95,349600,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235108.733
96,349601,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235108.733
97,349602,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235108.733
98,349603,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235108.733
99,349604,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235108.733
100,349605,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235108.733
101,349606,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235108.733
102,349607,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235108.733
103,349608,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235108.733
104,349609,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235108.733
105,349610,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235108.733
106,349611,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235108.733
107,349612,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235108.733
108,349613,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235108.733
109,349614,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235108.733
110,349615,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235108.733
111,349616,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235108.733
112,349617,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235108.733
113,349618,0,14,0,yes,LC,I,1375.207951,19,1,298361.4375,3235108.733
114,350688,0,14,0,yes,LC,I,1375.207951,19,1,298319.4375,3235110.733
115,350689,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235110.733
116,350690,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235110.733
117,350691,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235110.733
118,350692,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235110.733
119,350693,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235110.733
120,350694,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235110.733
121,350695,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235110.733
122,350696,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235110.733
123,350697,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235110.733
124,350698,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235110.733
125,350699,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235110.733
126,350700,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235110.733
127,350701,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235110.733
128,350702,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235110.733
129,350703,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235110.733
130,350704,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235110.733
131,350705,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235110.733
132,350706,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235110.733
133,350707,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235110.733
134,350708,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235110.733
135,350709,0,14,0,yes,LC,I,1375.207951,19,1,298361.4375,3235110.733
136,350710,0,14,0,yes,LC,I,1375.207951,19,1,298363.4375,3235110.733
137,351779,0,14,0,yes,LC,I,1375.207951,19,1,298319.4375,3235112.733
138,351780,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235112.733
139,351781,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235112.733
140,351782,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235112.733
141,351783,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235112.733
142,351784,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235112.733
143,351785,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235112.733
144,351786,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235112.733
145,351787,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235112.733
146,351788,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235112.733
147,351789,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235112.733
148,351790,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235112.733
149,351791,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235112.733
150,351792,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235112.733
151,351793,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235112.733
152,351794,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235112.733
153,351795,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235112.733
154,351796,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235112.733
155,351797,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235112.733
156,351798,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235112.733
157,351799,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235112.733
158,351800,0,14,0,yes,LC,I,1375.207951,19,1,298361.4375,3235112.733
159,351801,0,14,0,yes,LC,I,1375.207951,19,1,298363.4375,3235112.733
160,351802,0,14,0,yes,LC,I,1375.207951,19,1,298365.4375,3235112.733
161,352869,0,14,0,yes,LC,I,1375.207951,19,1,298317.4375,3235114.733
162,352870,0,14,0,yes,LC,I,1375.207951,19,1,298319.4375,3235114.733
163,352871,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235114.733
164,352872,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235114.733
165,352873,0,14,0,yes,LC,I,1375.207951,19,1,298325.4375,3235114.733
166,352874,0,14,0,yes,LC,I,1375.207951,19,1,298327.4375,3235114.733
167,352875,0,14,0,yes,LC,I,1375.207951,19,1,298329.4375,3235114.733
168,352876,0,14,0,yes,LC,I,1375.207951,19,1,298331.4375,3235114.733
169,352877,0,14,0,yes,LC,I,1375.207951,19,1,298333.4375,3235114.733
170,352878,0,14,0,yes,LC,I,1375.207951,19,1,298335.4375,3235114.733
171,352879,0,14,0,yes,LC,I,1375.207951,19,1,298337.4375,3235114.733
172,352880,0,14,0,yes,LC,I,1375.207951,19,1,298339.4375,3235114.733
173,352881,0,14,0,yes,LC,I,1375.207951,19,1,298341.4375,3235114.733
174,352882,0,14,0,yes,LC,I,1375.207951,19,1,298343.4375,3235114.733
175,352883,0,14,0,yes,LC,I,1375.207951,19,1,298345.4375,3235114.733
176,352884,0,14,0,yes,LC,I,1375.207951,19,1,298347.4375,3235114.733
177,352885,0,14,0,yes,LC,I,1375.207951,19,1,298349.4375,3235114.733
178,352886,0,14,0,yes,LC,I,1375.207951,19,1,298351.4375,3235114.733
179,352887,0,14,0,yes,LC,I,1375.207951,19,1,298353.4375,3235114.733
180,352888,0,14,0,yes,LC,I,1375.207951,19,1,298355.4375,3235114.733
181,352889,0,14,0,yes,LC,I,1375.207951,19,1,298357.4375,3235114.733
182,352890,0,14,0,yes,LC,I,1375.207951,19,1,298359.4375,3235114.733
183,352891,0,14,0,yes,LC,I,1375.207951,19,1,298361.4375,3235114.733
184,352892,0,14,0,yes,LC,I,1375.207951,19,1,298363.4375,3235114.733
185,352893,0,14,0,yes,LC,I,1375.207951,19,1,298365.4375,3235114.733
186,352894,0,14,0,yes,LC,I,1375.207951,19,1,298367.4375,3235114.733
187,352895,0,14,0,yes,LC,I,1375.207951,19,1,298369.4375,3235114.733
188,353960,0,14,0,yes,LC,I,1375.207951,19,1,298317.4375,3235116.733
189,353961,0,14,0,yes,LC,I,1375.207951,19,1,298319.4375,3235116.733
190,353962,0,14,0,yes,LC,I,1375.207951,19,1,298321.4375,3235116.733
191,353963,0,14,0,yes,LC,I,1375.207951,19,1,298323.4375,3235116.733
