FID,Id,station,POINT_X,POINT_Y
0,0,LCN10,297751.4375,3234624.733
1,0,LCN10,297753.4375,3234624.733
2,0,LCN10,297755.4375,3234624.733
3,0,LCN10,297757.4375,3234624.733
4,0,LCN10,297759.4375,3234624.733
5,0,LCN10,297747.4375,3234626.733
6,0,LCN10,297749.4375,3234626.733
7,0,LCN10,297751.4375,3234626.733
8,0,LCN10,297753.4375,3234626.733
9,0,LCN10,297755.4375,3234626.733
10,0,LCN10,297757.4375,3234626.733
11,0,LCN10,297759.4375,3234626.733
12,0,LCN10,297743.4375,3234628.733
13,0,LCN10,297745.4375,3234628.733
14,0,LCN10,297747.4375,3234628.733
15,0,LCN10,297749.4375,3234628.733
16,0,LCN10,297751.4375,3234628.733
17,0,LCN10,297753.4375,3234628.733
18,0,LCN10,297755.4375,3234628.733
19,0,LCN10,297757.4375,3234628.733
20,0,LCN10,297759.4375,3234628.733
21,0,LCN10,297761.4375,3234628.733
22,0,LCN10,297741.4375,3234630.733
23,0,LCN10,297743.4375,3234630.733
24,0,LCN10,297745.4375,3234630.733
25,0,LCN10,297747.4375,3234630.733
26,0,LCN10,297749.4375,3234630.733
27,0,LCN10,297751.4375,3234630.733
28,0,LCN10,297753.4375,3234630.733
29,0,LCN10,297755.4375,3234630.733
30,0,LCN10,297757.4375,3234630.733
31,0,LCN10,297759.4375,3234630.733
32,0,LCN10,297761.4375,3234630.733
33,0,LCN10,297741.4375,3234632.733
34,0,LCN10,297743.4375,3234632.733
35,0,LCN10,297745.4375,3234632.733
36,0,LCN10,297747.4375,3234632.733
37,0,LCN10,297749.4375,3234632.733
38,0,LCN10,297751.4375,3234632.733
39,0,LCN10,297753.4375,3234632.733
40,0,LCN10,297755.4375,3234632.733
41,0,LCN10,297757.4375,3234632.733
42,0,LCN10,297759.4375,3234632.733
43,0,LCN10,297761.4375,3234632.733
44,0,LCN10,297741.4375,3234634.733
45,0,LCN10,297743.4375,3234634.733
46,0,LCN10,297745.4375,3234634.733
47,0,LCN10,297747.4375,3234634.733
48,0,LCN10,297749.4375,3234634.733
49,0,LCN10,297751.4375,3234634.733
50,0,LCN10,297753.4375,3234634.733
51,0,LCN10,297755.4375,3234634.733
52,0,LCN10,297757.4375,3234634.733
53,0,LCN10,297759.4375,3234634.733
54,0,LCN10,297761.4375,3234634.733
55,0,LCN10,297741.4375,3234636.733
