FID,Shape,Id,POINT_X,POINT_Y,STATION,quadrat,label
50305,Point,0,297871.44,3239054.73,BTI5,1,BTI5 1
50252,Point,0,297851.44,3239052.73,BTI5,2,BTI5 2
50055,Point,0,297871.44,3239042.73,BTI5,3,BTI5 3
12007,Point,0,299055.44,3235634.73,LCI24,1,LCI24 1
10589,Point,0,299093.44,3235584.73,LCI24,2,LCI24 2
11550,Point,0,299055.44,3235618.73,LCI24,3,LCI24 3
22294,Point,0,298295.44,3235934.73,LCI27,1,LCI27 1
23666,Point,0,298287.44,3235964.73,LCI27,2,LCI27 2
25052,Point,0,298293.44,3235988.73,LCI27,3,LCI27 3
28270,Point,0,299023.44,3236066.73,LCI28,1,LCI28 1
28344,Point,0,299021.44,3236068.73,LCI28,2,LCI28 2
28207,Point,0,299035.44,3236064.73,LCI28,3,LCI28 3
5279,Point,0,298125.44,3235354.73,LCI31,1,LCI31 1
4910,Point,0,298157.44,3235346.73,LCI31,2,LCI31 2
5715,Point,0,298043.44,3235368.73,LCI31,3,LCI31 3
31281,Point,0,298321.44,3236186.73,LCI33,1,LCI33 1
32491,Point,0,298313.44,3236238.73,LCI33,2,LCI33 2
32808,Point,0,298311.44,3236258.73,LCI33,3,LCI33 3
36105,Point,0,298627.44,3236488.73,LCN8,1,LCN8 1
36175,Point,0,298623.44,3236498.73,LCN8,2,LCN8 2
36174,Point,0,298621.44,3236498.73,LCN8,3,LCN8 3
48845,Point,0,298495.44,3238700.73,LTI10,1,LTI10 1
48542,Point,0,298491.44,3238676.73,LTI10,2,LTI10 2
48774,Point,0,298497.44,3238694.73,LTI10,3,LTI10 3
44662,Point,0,298345.44,3238402.73,LTI3,1,LTI3 1
44643,Point,0,298355.44,3238400.73,LTI3,2,LTI3 2
44711,Point,0,298345.44,3238406.73,LTI3,3,LTI3 3
43937,Point,0,298355.44,3238090.73,LTI7,1,LTI7 1
43866,Point,0,298357.44,3238078.73,LTI7,2,LTI7 2
43874,Point,0,298357.44,3238080.73,LTI7,3,LTI7 3
47237,Point,0,298451.44,3238560.73,LTI8,1,LTI8 1
47139,Point,0,298451.44,3238556.73,LTI8,2,LTI8 2
47374,Point,0,298433.44,3238566.73,LTI8,3,LTI8 3
43473,Point,0,298529.44,3237744.73,NNI6,1,NNI6 1
43583,Point,0,298521.44,3237756.73,NNI6,2,NNI6 2
43532,Point,0,298509.44,3237752.73,NNI6,3,NNI6 3
