POINT_X,POINT_Y,STATION,quadrat,label
298879.4375,3235590.734,LCI23,1,LCI23 1
298869.4375,3235576.734,LCI23,2,LCI23 2
298871.4375,3235534.734,LCI23,3,LCI23 3
298885.4375,3235422.734,LCI29,1,LCI29 1
298879.4375,3235378.734,LCI29,2,LCI29 2
298885.4375,3235410.734,LCI29,3,LCI29 3
299233.4375,3235534.734,LCI30,1,LCI30 1
299207.4375,3235550.734,LCI30,2,LCI30 2
299215.4375,3235572.734,LCI30,3,LCI30 3
298189.4375,3238438.734,LTI9,1,LTI9 1
298183.4375,3238440.734,LTI9,2,LTI9 2
298225.4375,3238436.734,LTI9,3,LTI9 3
298471.4375,3237714.734,NNI2,1,NNI2 1
298475.4375,3237708.734,NNI2,2,NNI2 2
298475.4375,3237720.734,NNI2,3,NNI2 3
298401.4375,3237660.734,NNI3,1,NNI3 1
298429.4375,3237692.734,NNI3,2,NNI3 2
298421.4375,3237700.734,NNI3,3,NNI3 3
298445.4375,3237626.734,NNI5,1,NNI5 1
298505.4375,3237682.734,NNI5,2,NNI5 2
298509.4375,3237678.734,NNI5,3,NNI5 3
