FID,Shape,Id,POINT_X,POINT_Y,STATION
49828,Point,0,297879.4375,3239026.734,BTI5
49829,Point,0,297881.4375,3239026.734,BTI5
49830,Point,0,297883.4375,3239026.734,BTI5
49831,Point,0,297885.4375,3239026.734,BTI5
49832,Point,0,297887.4375,3239026.734,BTI5
49855,Point,0,297879.4375,3239028.734,BTI5
49856,Point,0,297881.4375,3239028.734,BTI5
49857,Point,0,297883.4375,3239028.734,BTI5
49858,Point,0,297885.4375,3239028.734,BTI5
49859,Point,0,297887.4375,3239028.734,BTI5
49880,Point,0,297877.4375,3239030.734,BTI5
49881,Point,0,297879.4375,3239030.734,BTI5
49882,Point,0,297881.4375,3239030.734,BTI5
49883,Point,0,297883.4375,3239030.734,BTI5
49884,Point,0,297885.4375,3239030.734,BTI5
49885,Point,0,297887.4375,3239030.734,BTI5
49906,Point,0,297877.4375,3239032.734,BTI5
49907,Point,0,297879.4375,3239032.734,BTI5
49908,Point,0,297881.4375,3239032.734,BTI5
49909,Point,0,297883.4375,3239032.734,BTI5
49910,Point,0,297885.4375,3239032.734,BTI5
49911,Point,0,297887.4375,3239032.734,BTI5
49912,Point,0,297889.4375,3239032.734,BTI5
49913,Point,0,297891.4375,3239032.734,BTI5
49914,Point,0,297893.4375,3239032.734,BTI5
49915,Point,0,297895.4375,3239032.734,BTI5
49933,Point,0,297877.4375,3239034.734,BTI5
49934,Point,0,297879.4375,3239034.734,BTI5
49935,Point,0,297881.4375,3239034.734,BTI5
49936,Point,0,297883.4375,3239034.734,BTI5
49937,Point,0,297885.4375,3239034.734,BTI5
49938,Point,0,297887.4375,3239034.734,BTI5
49939,Point,0,297889.4375,3239034.734,BTI5
49940,Point,0,297891.4375,3239034.734,BTI5
49941,Point,0,297893.4375,3239034.734,BTI5
49942,Point,0,297895.4375,3239034.734,BTI5
49943,Point,0,297897.4375,3239034.734,BTI5
49962,Point,0,297877.4375,3239036.734,BTI5
49963,Point,0,297879.4375,3239036.734,BTI5
49964,Point,0,297881.4375,3239036.734,BTI5
49965,Point,0,297883.4375,3239036.734,BTI5
49966,Point,0,297885.4375,3239036.734,BTI5
49967,Point,0,297887.4375,3239036.734,BTI5
49968,Point,0,297889.4375,3239036.734,BTI5
49969,Point,0,297891.4375,3239036.734,BTI5
