FID,Shape,Id,POINT_X,POINT_Y,STATION
7585,Point,0,298871.4375,3235506.734,LCI23
7586,Point,0,298873.4375,3235506.734,LCI23
7587,Point,0,298875.4375,3235506.734,LCI23
7588,Point,0,298877.4375,3235506.734,LCI23
7589,Point,0,298879.4375,3235506.734,LCI23
7590,Point,0,298881.4375,3235506.734,LCI23
7591,Point,0,298883.4375,3235506.734,LCI23
7606,Point,0,298865.4375,3235508.734,LCI23
7607,Point,0,298867.4375,3235508.734,LCI23
7608,Point,0,298869.4375,3235508.734,LCI23
7609,Point,0,298871.4375,3235508.734,LCI23
7610,Point,0,298873.4375,3235508.734,LCI23
7611,Point,0,298875.4375,3235508.734,LCI23
7612,Point,0,298877.4375,3235508.734,LCI23
7613,Point,0,298879.4375,3235508.734,LCI23
7614,Point,0,298881.4375,3235508.734,LCI23
7615,Point,0,298883.4375,3235508.734,LCI23
7616,Point,0,298885.4375,3235508.734,LCI23
7631,Point,0,298863.4375,3235510.734,LCI23
7632,Point,0,298865.4375,3235510.734,LCI23
7633,Point,0,298867.4375,3235510.734,LCI23
7634,Point,0,298869.4375,3235510.734,LCI23
7635,Point,0,298871.4375,3235510.734,LCI23
7636,Point,0,298873.4375,3235510.734,LCI23
7637,Point,0,298875.4375,3235510.734,LCI23
7638,Point,0,298877.4375,3235510.734,LCI23
7639,Point,0,298879.4375,3235510.734,LCI23
7640,Point,0,298881.4375,3235510.734,LCI23
7641,Point,0,298883.4375,3235510.734,LCI23
7642,Point,0,298885.4375,3235510.734,LCI23
7656,Point,0,298859.4375,3235512.734,LCI23
7657,Point,0,298861.4375,3235512.734,LCI23
7658,Point,0,298863.4375,3235512.734,LCI23
7659,Point,0,298865.4375,3235512.734,LCI23
7660,Point,0,298867.4375,3235512.734,LCI23
7661,Point,0,298869.4375,3235512.734,LCI23
7662,Point,0,298871.4375,3235512.734,LCI23
7663,Point,0,298873.4375,3235512.734,LCI23
7664,Point,0,298875.4375,3235512.734,LCI23
7665,Point,0,298877.4375,3235512.734,LCI23
