"","day","month","year","Season","treatment","locality","site","bar","station","count_live","tran_length","area","density"
"1",12,12,2019,"Winter","control","LC","N","10","LCN10",1980,41.4,6.3756,310.55900621118
"8",14,11,2019,"Winter","control","LC","I","14","LCI14",934,23.8,3.6652,254.829204409036
"9",14,11,2019,"Winter","control","LC","N","3","LCN3",149,59.4,9.1476,16.2884253793345
"12",14,12,2019,"Winter","control","LC","I","25","LCI25",1260,26,4.004,314.685314685315
"23",16,12,2019,"Winter","control","LC","I","21","LCI21",278,20.4,3.1416,88.4899414311179
"25",19,12,2019,"Winter","control","LC","I","18","LCI18",769,33,5.082,151.318378591106
"26",19,12,2019,"Winter","control","LC","N","2","LCN2",356,19.1,2.9414,121.030801659074
"28",26,11,2019,"Winter","control","LC","I","3","LCI3",1914,57.4,8.8396,216.525634644102
"34",29,10,2019,"Winter","control","LC","I","20","LCI20",1125,45.8,7.0532,159.502069982419
"36",30,10,2019,"Winter","control","LC","I","22","LCI22",855,16.8,2.5872,330.473098330241
"37",30,10,2019,"Winter","control","LC","I","27","LCI27",1486,25,3.85,385.974025974026
