year,month,day,locality,site,bar,quadrat,bucket_kg,tot_rf_kg,lg_rf_kg,sm_rf_kg,collector,recorder
2019,8,26,LC,I,19,1,0.86,16.92,0.86,1.06,sbpf,sbpf
2019,8,26,LC,I,19,2,0.86,13.7,0.86,1.08,sbpf,sbpf
2019,8,26,LC,I,19,3,0.86,10.94,0.86,1.06,sbpf,sbpf
2019,8,26,LC,I,19,4,0.86,15.02,0.86,1.86,sbpf,sbpf
2019,8,26,LC,I,2,2,0.86,20.04,1.84,1.22,sbpf,sbpf
2019,8,26,LC,I,2,4,0.86,17.74,2.86,1.6,sbpf,sbpf
2019,8,26,LC,I,2,3,0.86,16.46,2.26,0.96,sbpf,sbpf
2019,8,26,LC,I,2,1,0.86,12.02,1.36,0.86,sbpf,sbpf
2019,8,26,LC,I,1,4,0.86,21.28,4.53,2.15,sbpf,sbpf
2019,8,26,LC,I,1,2,0.86,17.69,4.99,2.49,sbpf,sbpf
2019,8,26,LC,I,1,1,0.86,23.13,2.38,7.03,sbpf,sbpf
2019,8,26,LC,I,1,3,0.86,-999,0.86,1.25,sbpf,sbpf
2019,8,26,LC,I,12,1,0.86,-999,2.49,2.15,sbpf,sbpf
2019,8,26,LC,I,12,4,0.86,-999,1.59,0.86,sbpf,sbpf
2019,8,26,LC,I,12,3,0.86,-999,0.86,0.86,sbpf,sbpf
2019,8,26,LC,I,12,2,0.86,-999,4.08,0.86,sbpf,sbpf
2019,9,23,LC,I,6,2,0.8,-999,2.9,2.8,sbkk,jh
2019,9,23,LC,I,6,4,0.8,-999,2.7,3,sbkk,jh
2019,9,23,LC,I,6,3,0.8,-999,0.8,0.9,sbkk,jh
2019,9,23,LC,I,6,1,0.8,-999,0.8,1.4,sbkk,jh
2019,9,23,LC,I,8,1,0.8,-999,2.8,5.2,sbkk,jh
2019,9,23,LC,I,8,3,0.8,-999,1.2,5.6,sbkk,jh
2019,9,23,LC,I,8,2,0.8,-999,2.5,4.8,sbkk,jh
2019,9,23,LC,I,8,4,0.8,-999,2.4,4.5,sbkk,jh
2019,9,23,LC,N,7,3,0.8,-999,0.8,1,sbkk,jh
2019,9,23,LC,N,7,4,0.8,-999,0.8,1.7,sbkk,jh
2019,9,23,LC,N,7,1,0.8,-999,0.8,0.8,sbkk,jh
2019,9,23,LC,N,7,2,0.8,-999,0.8,1.7,sbkk,jh
2019,9,23,LC,N,8,1,0.8,-999,0.8,2.4,sbkk,jh
2019,9,23,LC,N,8,2,0.8,-999,0.8,1,sbkk,jh
2019,9,23,LC,N,8,3,0.8,-999,0.8,0.9,sbkk,jh
2019,9,23,LC,N,8,4,0.8,-999,0.8,0.9,sbkk,jh
2019,9,23,LT,I,5,2,0.8,-999,1.7,1.4,sbkk,jh
2019,9,23,LT,I,5,3,0.8,-999,9.4,2.4,sbkk,jh
2019,9,23,LT,I,5,1,0.8,-999,9,2.3,sbkk,jh
2019,9,23,LT,I,5,4,0.8,-999,4.9,1.4,sbkk,jh
2019,9,24,BT,I,1,2,0.8,-999,1.3,4.4,sbjh,at
2019,9,24,BT,I,1,4,0.8,-999,0.8,1.9,sbjh,at
2019,9,24,BT,I,1,3,0.8,-999,2.7,3.4,sbjh,at
2019,9,24,BT,I,1,1,0.8,-999,2.4,5.2,sbjh,at
2019,9,24,BT,I,5,1,0.8,-999,6.1,3.5,sbjh,at
2019,9,24,BT,I,5,2,0.8,-999,0.8,0.9,sbjh,at
2019,9,24,BT,I,5,3,0.8,-999,1.3,0.9,sbjh,at
2019,9,24,BT,I,5,4,0.8,-999,1.9,2,sbjh,at
2019,9,24,LC,N,3,2,0.8,-999,0.8,0.8,sbjh,at
2019,9,24,LC,N,3,1,0.8,-999,0.8,0.9,sbjh,at
2019,9,24,LC,N,3,4,0.8,-999,0.8,0.9,sbjh,at
2019,9,24,LC,N,3,3,0.8,-999,0.8,0.8,sbjh,at
2019,9,24,NN,I,1,4,0.8,-999,5.3,3.3,sbjh,at
2019,9,24,NN,I,1,2,0.8,-999,1.9,3,sbjh,at
2019,9,24,NN,I,1,3,0.8,-999,0.8,1,sbjh,at
2019,9,24,NN,I,1,1,0.8,-999,0.8,3.3,sbjh,at
2019,9,25,BT,I,6,4,0.8,-999,2,1,jhkk,sb
2019,9,25,BT,I,6,3,0.8,-999,2.9,3.5,jhkk,sb
2019,9,25,BT,I,6,1,0.8,-999,4.5,4.4,jhkk,sb
2019,9,25,BT,I,6,2,0.8,-999,5.5,3.4,jhkk,sb
2019,9,25,LT,I,1,1,0.8,-999,0.8,1.6,jhkk,sb
2019,9,25,LT,I,1,4,0.8,-999,0.8,1.4,jhkk,sb
2019,9,25,LT,I,1,2,0.8,-999,0.8,1.4,jhkk,sb
2019,9,25,LT,I,1,3,0.8,-999,1.6,1,jhkk,sb
2019,9,25,LT,I,6,1,0.8,-999,2.1,0.8,jhkk,sb
2019,9,25,LT,I,6,3,0.8,-999,0.8,1.4,jhkk,sb
2019,9,25,LT,I,6,4,0.8,-999,0.8,1.4,jhkk,sb
2019,9,25,LT,I,6,2,0.8,-999,5,2.9,jhkk,sb
