FID,Id,POINT_X,POINT_Y
0,0,296738.322400000000000,3235323.632640000000000
1,0,296738.322400000000000,3235325.632640000000000
2,0,296740.322400000000000,3235325.632640000000000
3,0,296742.322400000000000,3235325.632640000000000
4,0,296736.322400000000000,3235327.632640000000000
5,0,296738.322400000000000,3235327.632640000000000
6,0,296740.322400000000000,3235327.632640000000000
7,0,296742.322400000000000,3235327.632640000000000
8,0,296744.322400000000000,3235327.632640000000000
9,0,296746.322400000000000,3235327.632640000000000
10,0,296736.322400000000000,3235329.632640000000000
11,0,296738.322400000000000,3235329.632640000000000
12,0,296740.322400000000000,3235329.632640000000000
13,0,296742.322400000000000,3235329.632640000000000
14,0,296744.322400000000000,3235329.632640000000000
15,0,296734.322400000000000,3235331.632640000000000
16,0,296736.322400000000000,3235331.632640000000000
17,0,296738.322400000000000,3235331.632640000000000
18,0,296740.322400000000000,3235331.632640000000000
19,0,296742.322400000000000,3235331.632640000000000
20,0,296744.322400000000000,3235331.632640000000000
21,0,296734.322400000000000,3235333.632640000000000
22,0,296736.322400000000000,3235333.632640000000000
23,0,296738.322400000000000,3235333.632640000000000
24,0,296740.322400000000000,3235333.632640000000000
25,0,296742.322400000000000,3235333.632640000000000
26,0,296732.322400000000000,3235335.632640000000000
27,0,296734.322400000000000,3235335.632640000000000
28,0,296736.322400000000000,3235335.632640000000000
29,0,296738.322400000000000,3235335.632640000000000
30,0,296740.322400000000000,3235335.632640000000000
31,0,296742.322400000000000,3235335.632640000000000
32,0,296732.322400000000000,3235337.632640000000000
33,0,296734.322400000000000,3235337.632640000000000
34,0,296736.322400000000000,3235337.632640000000000
35,0,296738.322400000000000,3235337.632640000000000
36,0,296740.322400000000000,3235337.632640000000000
37,0,296730.322400000000000,3235339.632640000000000
38,0,296732.322400000000000,3235339.632640000000000
39,0,296734.322400000000000,3235339.632640000000000
40,0,296736.322400000000000,3235339.632640000000000
41,0,296738.322400000000000,3235339.632640000000000
42,0,296730.322400000000000,3235341.632640000000000
43,0,296732.322400000000000,3235341.632640000000000
44,0,296734.322400000000000,3235341.632640000000000
45,0,296736.322400000000000,3235341.632640000000000
46,0,296738.322400000000000,3235341.632640000000000
47,0,296728.322400000000000,3235343.632640000000000
48,0,296730.322400000000000,3235343.632640000000000
49,0,296732.322400000000000,3235343.632640000000000
50,0,296734.322400000000000,3235343.632640000000000
51,0,296736.322400000000000,3235343.632640000000000
52,0,296728.322400000000000,3235345.632640000000000
53,0,296730.322400000000000,3235345.632640000000000
54,0,296732.322400000000000,3235345.632640000000000
55,0,296734.322400000000000,3235345.632640000000000
56,0,296736.322400000000000,3235345.632640000000000
57,0,296726.322400000000000,3235347.632640000000000
58,0,296728.322400000000000,3235347.632640000000000
59,0,296730.322400000000000,3235347.632640000000000
60,0,296732.322400000000000,3235347.632640000000000
61,0,296734.322400000000000,3235347.632640000000000
62,0,296726.322400000000000,3235349.632640000000000
63,0,296728.322400000000000,3235349.632640000000000
64,0,296730.322400000000000,3235349.632640000000000
65,0,296732.322400000000000,3235349.632640000000000
66,0,296734.322400000000000,3235349.632640000000000
67,0,296724.322400000000000,3235351.632640000000000
68,0,296726.322400000000000,3235351.632640000000000
69,0,296728.322400000000000,3235351.632640000000000
70,0,296730.322400000000000,3235351.632640000000000
71,0,296732.322400000000000,3235351.632640000000000
72,0,296724.322400000000000,3235353.632640000000000
73,0,296726.322400000000000,3235353.632640000000000
74,0,296728.322400000000000,3235353.632640000000000
75,0,296730.322400000000000,3235353.632640000000000
76,0,296732.322400000000000,3235353.632640000000000
77,0,296722.322400000000000,3235355.632640000000000
78,0,296724.322400000000000,3235355.632640000000000
79,0,296726.322400000000000,3235355.632640000000000
80,0,296728.322400000000000,3235355.632640000000000
81,0,296730.322400000000000,3235355.632640000000000
82,0,296722.322400000000000,3235357.632640000000000
83,0,296724.322400000000000,3235357.632640000000000
84,0,296726.322400000000000,3235357.632640000000000
85,0,296728.322400000000000,3235357.632640000000000
86,0,296730.322400000000000,3235357.632640000000000
87,0,296720.322400000000000,3235359.632640000000000
88,0,296722.322400000000000,3235359.632640000000000
89,0,296724.322400000000000,3235359.632640000000000
90,0,296726.322400000000000,3235359.632640000000000
91,0,296728.322400000000000,3235359.632640000000000
92,0,296720.322400000000000,3235361.632640000000000
93,0,296722.322400000000000,3235361.632640000000000
94,0,296724.322400000000000,3235361.632640000000000
95,0,296726.322400000000000,3235361.632640000000000
96,0,296728.322400000000000,3235361.632640000000000
97,0,296718.322400000000000,3235363.632640000000000
98,0,296720.322400000000000,3235363.632640000000000
99,0,296722.322400000000000,3235363.632640000000000
100,0,296724.322400000000000,3235363.632640000000000
101,0,296726.322400000000000,3235363.632640000000000
102,0,296718.322400000000000,3235365.632640000000000
103,0,296720.322400000000000,3235365.632640000000000
104,0,296722.322400000000000,3235365.632640000000000
105,0,296724.322400000000000,3235365.632640000000000
106,0,296726.322400000000000,3235365.632640000000000
107,0,296716.322400000000000,3235367.632640000000000
108,0,296718.322400000000000,3235367.632640000000000
109,0,296720.322400000000000,3235367.632640000000000
110,0,296722.322400000000000,3235367.632640000000000
