FID,Id,POINT_X,POINT_Y,STATION
0,0,296738.3224,3235323.633,LCO22
1,0,296738.3224,3235325.633,LCO22
2,0,296740.3224,3235325.633,LCO22
3,0,296742.3224,3235325.633,LCO22
4,0,296736.3224,3235327.633,LCO22
5,0,296738.3224,3235327.633,LCO22
6,0,296740.3224,3235327.633,LCO22
7,0,296742.3224,3235327.633,LCO22
8,0,296744.3224,3235327.633,LCO22
9,0,296746.3224,3235327.633,LCO22
10,0,296736.3224,3235329.633,LCO22
11,0,296738.3224,3235329.633,LCO22
12,0,296740.3224,3235329.633,LCO22
13,0,296742.3224,3235329.633,LCO22
14,0,296744.3224,3235329.633,LCO22
15,0,296734.3224,3235331.633,LCO22
16,0,296736.3224,3235331.633,LCO22
17,0,296738.3224,3235331.633,LCO22
18,0,296740.3224,3235331.633,LCO22
19,0,296742.3224,3235331.633,LCO22
20,0,296744.3224,3235331.633,LCO22
21,0,296734.3224,3235333.633,LCO22
22,0,296736.3224,3235333.633,LCO22
23,0,296738.3224,3235333.633,LCO22
24,0,296740.3224,3235333.633,LCO22
25,0,296742.3224,3235333.633,LCO22
26,0,296732.3224,3235335.633,LCO22
27,0,296734.3224,3235335.633,LCO22
28,0,296736.3224,3235335.633,LCO22
29,0,296738.3224,3235335.633,LCO22
30,0,296740.3224,3235335.633,LCO22
31,0,296742.3224,3235335.633,LCO22
32,0,296732.3224,3235337.633,LCO22
33,0,296734.3224,3235337.633,LCO22
34,0,296736.3224,3235337.633,LCO22
35,0,296738.3224,3235337.633,LCO22
36,0,296740.3224,3235337.633,LCO22
37,0,296730.3224,3235339.633,LCO22
38,0,296732.3224,3235339.633,LCO22
39,0,296734.3224,3235339.633,LCO22
40,0,296736.3224,3235339.633,LCO22
41,0,296738.3224,3235339.633,LCO22
42,0,296730.3224,3235341.633,LCO22
43,0,296732.3224,3235341.633,LCO22
44,0,296734.3224,3235341.633,LCO22
45,0,296736.3224,3235341.633,LCO22
46,0,296738.3224,3235341.633,LCO22
47,0,296728.3224,3235343.633,LCO22
48,0,296730.3224,3235343.633,LCO22
49,0,296732.3224,3235343.633,LCO22
50,0,296734.3224,3235343.633,LCO22
51,0,296736.3224,3235343.633,LCO22
52,0,296728.3224,3235345.633,LCO22
53,0,296730.3224,3235345.633,LCO22
54,0,296732.3224,3235345.633,LCO22
55,0,296734.3224,3235345.633,LCO22
56,0,296736.3224,3235345.633,LCO22
57,0,296726.3224,3235347.633,LCO22
58,0,296728.3224,3235347.633,LCO22
59,0,296730.3224,3235347.633,LCO22
60,0,296732.3224,3235347.633,LCO22
61,0,296734.3224,3235347.633,LCO22
62,0,296726.3224,3235349.633,LCO22
63,0,296728.3224,3235349.633,LCO22
64,0,296730.3224,3235349.633,LCO22
65,0,296732.3224,3235349.633,LCO22
66,0,296734.3224,3235349.633,LCO22
67,0,296724.3224,3235351.633,LCO22
68,0,296726.3224,3235351.633,LCO22
69,0,296728.3224,3235351.633,LCO22
70,0,296730.3224,3235351.633,LCO22
71,0,296732.3224,3235351.633,LCO22
72,0,296724.3224,3235353.633,LCO22
73,0,296726.3224,3235353.633,LCO22
74,0,296728.3224,3235353.633,LCO22
75,0,296730.3224,3235353.633,LCO22
76,0,296732.3224,3235353.633,LCO22
77,0,296722.3224,3235355.633,LCO22
78,0,296724.3224,3235355.633,LCO22
79,0,296726.3224,3235355.633,LCO22
80,0,296728.3224,3235355.633,LCO22
81,0,296730.3224,3235355.633,LCO22
82,0,296722.3224,3235357.633,LCO22
83,0,296724.3224,3235357.633,LCO22
84,0,296726.3224,3235357.633,LCO22
85,0,296728.3224,3235357.633,LCO22
86,0,296730.3224,3235357.633,LCO22
87,0,296720.3224,3235359.633,LCO22
88,0,296722.3224,3235359.633,LCO22
89,0,296724.3224,3235359.633,LCO22
90,0,296726.3224,3235359.633,LCO22
91,0,296728.3224,3235359.633,LCO22
92,0,296720.3224,3235361.633,LCO22
93,0,296722.3224,3235361.633,LCO22
94,0,296724.3224,3235361.633,LCO22
95,0,296726.3224,3235361.633,LCO22
