POINT_X,POINT_Y,STATION,quadrat,label
295408.3224,3238081.633,LCO12,1,LCO12 1
295478.3224,3238011.633,LCO12,2,LCO12 2
295432.3224,3238063.633,LCO12,3,LCO12 3
295552.3224,3237909.633,LCO13,1,LCO13 1
295546.3224,3237907.633,LCO13,2,LCO13 2
295542.3224,3237919.633,LCO13,3,LCO13 3
295622.3224,3237839.633,LCO14,1,LCO14 1
295680.3224,3237779.633,LCO14,2,LCO14 2
295678.3224,3237783.633,LCO14,3,LCO14 3
295762.3224,3237711.633,LCO15,1,LCO15 1
295784.3224,3237691.633,LCO15,2,LCO15 2
295740.3224,3237737.633,LCO15,3,LCO15 3
295912.3224,3237521.633,LCO16,1,LCO16 1
295872.3224,3237583.633,LCO16,2,LCO16 2
295892.3224,3237559.633,LCO16,3,LCO16 3
295952.3224,3236987.633,LCO17,1,LCO17 1
295960.3224,3236969.633,LCO17,2,LCO17 2
295976.3224,3236903.633,LCO17,3,LCO17 3
296066.3224,3236731.633,LCO18,1,LCO18 1
296066.3224,3236729.633,LCO18,2,LCO18 2
296068.3224,3236719.633,LCO18,3,LCO18 3
296240.3224,3236457.633,LCO19,1,LCO19 1
296184.3224,3236555.633,LCO19,2,LCO19 2
296244.3224,3236445.633,LCO19,3,LCO19 3
296430.3224,3235919.633,LCO20,1,LCO20 1
296410.3224,3235961.633,LCO20,2,LCO20 2
296360.3224,3236051.633,LCO20,3,LCO20 3
296516.3224,3235731.633,LCO21,1,LCO21 1
296560.3224,3235645.633,LCO21,2,LCO21 2
296498.3224,3235769.633,LCO21,3,LCO21 3
296650.3224,3235505.633,LCO22,1,LCO22 1
296728.3224,3235353.633,LCO22,2,LCO22 2
296646.3224,3235501.633,LCO22,3,LCO22 3
