obs,date,year,month,day,locality,site,bar,station,quadrat,counter,live_dead,size,count,treatment
1,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,D,58.5,1,control
2,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,58.3,1,control
3,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,37.6,1,control
4,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,44.4,1,control
5,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,31.1,1,control
6,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,51.9,1,control
7,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,39.5,1,control
8,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,30.1,1,control
9,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,49.5,1,control
10,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,47.1,1,control
11,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,49.7,1,control
12,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,53.1,1,control
13,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,30.8,1,control
14,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,26.7,1,control
15,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,45.2,1,control
16,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,33.1,1,control
17,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,47.1,1,control
18,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,28.4,1,control
19,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,D,-999,0,control
20,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,-999,0,control
21,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,D,32.4,1,control
22,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,D,15.4,1,control
23,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,42.6,1,control
24,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,38,1,control
25,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,21.7,1,control
26,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,30,1,control
27,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,54.6,1,control
28,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,33.2,1,control
29,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,22.8,1,control
30,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,56.4,1,control
31,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,27.8,1,control
32,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,52,1,control
33,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,42.7,1,control
34,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,47.8,1,control
35,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,48.2,1,control
36,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,41.2,1,control
37,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,64,1,control
38,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,49,1,control
39,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,48.2,1,control
40,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,54.3,1,control
41,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,44.2,1,control
42,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,29.4,1,control
43,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,58.4,1,control
44,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,53.3,1,control
45,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,60.7,1,control
46,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,44,1,control
47,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,70.7,1,control
48,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,33.2,1,control
49,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,56.5,1,control
50,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,28.6,1,control
51,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,L,42.3,1,control
52,5/23/2010,2010,5,23,CR,N,1,CRN1,-999,DF,D,60.2,1,control
53,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,32.5,1,control
54,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,40.6,1,control
55,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,41.8,1,control
56,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,23,1,control
57,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,37.6,1,control
58,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,50.1,1,control
59,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,37.2,1,control
60,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,25.7,1,control
61,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,41,1,control
62,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,27.1,1,control
63,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,33.6,1,control
64,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,34,1,control
65,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,34.5,1,control
66,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,30.1,1,control
67,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,25.2,1,control
68,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,43.5,1,control
69,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,31.1,1,control
70,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,25.7,1,control
71,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,47.8,1,control
72,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,68.9,1,control
73,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,28.6,1,control
74,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,32.9,1,control
75,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,60.5,1,control
76,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,44.6,1,control
77,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,21.5,1,control
78,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,19.1,1,control
79,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,49.6,1,control
80,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,40,1,control
81,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,51.8,1,control
82,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,42.8,1,control
83,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,24,1,control
84,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,39.9,1,control
85,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,32,1,control
86,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,37.4,1,control
87,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,22.5,1,control
88,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,29.2,1,control
89,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,49.2,1,control
90,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,55.4,1,control
91,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,50.7,1,control
92,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,70,1,control
93,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,43.6,1,control
94,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,42,1,control
95,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,32,1,control
96,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,56,1,control
97,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,-999,2,control
98,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,-999,13,control
99,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,-999,0,control
100,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,-999,0,control
101,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,40.5,1,control
102,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,43.1,1,control
103,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,41.5,1,control
104,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,48.5,1,control
105,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,48.4,1,control
106,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,36.5,1,control
107,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,51.4,1,control
108,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,42.9,1,control
109,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,45.6,1,control
110,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,41.1,1,control
111,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,43.5,1,control
112,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,27.8,1,control
113,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,47,1,control
114,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,29.2,1,control
115,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,60.8,1,control
116,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,42.6,1,control
117,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,39.1,1,control
118,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,54,1,control
119,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,32.7,1,control
120,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,41.6,1,control
121,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,30.4,1,control
122,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,-999,6,control
123,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,-999,5,control
124,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,-999,4,control
125,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,-999,89,control
126,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,54.8,1,control
127,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,48.9,1,control
128,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,20.5,1,control
129,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,25.5,1,control
130,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,24.6,1,control
131,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,50.1,1,control
132,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,D,24.9,1,control
133,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,42.9,1,control
134,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,62.8,1,control
135,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,51.1,1,control
136,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,60.6,1,control
137,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,64,1,control
138,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,31.7,1,control
139,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,43.5,1,control
140,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,52.7,1,control
141,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,49,1,control
142,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,45,1,control
143,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,48.8,1,control
144,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,54.1,1,control
145,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,51,1,control
146,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,49.8,1,control
147,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,60.6,1,control
148,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,55.4,1,control
149,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,28.6,1,control
150,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,64.4,1,control
151,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,37,1,control
152,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,50,1,control
153,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,71.3,1,control
154,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,41,1,control
155,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,24,1,control
156,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,50.7,1,control
157,5/24/2010,2010,5,24,CR,I,1,CRI1,-999,FREDRICK,L,47.4,1,control
