obs,date,year,month,day,start_time,end_time,locality,site,bar,station,transect,counter,tran_length,count_live,count_dead,treatment,pass
3613,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,2.5,54,14,control,1
3614,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,5,102,29,control,1
3615,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,7.5,152,16,control,1
3616,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,10,138,18,control,1
3617,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,12.5,76,22,control,1
3618,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,15,156,25,control,1
3619,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,17.5,101,24,control,1
3620,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,20,102,22,control,1
3621,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,22.5,16,8,control,1
3622,12/8/2018,2018,12,8,14:47,15:41,BT,I,1,BTI1,1,sb,23,0,0,control,1
3623,12/7/2018,2018,12,7,13:20,14:08,BT,I,2,BTI2,1,jc ,2.5,44,48,control,1
3624,12/7/2018,2018,12,7,13:20,14:08,BT,I,2,BTI2,1,jc ,5,77,64,control,1
3625,12/7/2018,2018,12,7,13:20,14:08,BT,I,2,BTI2,1,jc ,7.5,73,61,control,1
3626,12/7/2018,2018,12,7,13:20,14:08,BT,I,2,BTI2,1,ds,10,96,58,control,1
3627,12/7/2018,2018,12,7,13:20,14:08,BT,I,2,BTI2,1,ds,12.5,69,122,control,1
3628,12/7/2018,2018,12,7,13:20,14:08,BT,I,2,BTI2,1,ds,15,88,60,control,1
3629,12/7/2018,2018,12,7,13:20,14:08,BT,I,2,BTI2,1,ds,17.5,30,52,control,1
3630,12/7/2018,2018,12,7,13:20,14:08,BT,I,2,BTI2,1,ds,20,72,54,control,1
3631,12/7/2018,2018,12,7,13:20,14:08,BT,I,2,BTI2,1,ds,20.9,7,15,control,1
3632,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,at,2.5,32,21,control,1
3633,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,at,5,36,19,control,1
3634,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,at,7.5,62,41,control,1
3635,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,ah,10,112,51,control,1
3636,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,ah,12.5,36,29,control,1
3637,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,ah,15,56,27,control,1
3638,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,ah,17.5,49,31,control,1
3639,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,ah,17.75,2,1,control,1
3640,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,sb,2.5,50,25,control,2
3641,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,sb,5,85,16,control,2
3642,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,sb,7.5,140,28,control,2
3643,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,sb,10,142,51,control,2
3644,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,sb,12.5,143,22,control,2
3645,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,sb,15,106,20,control,2
3646,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,sb,17.5,50,17,control,2
3647,12/7/2018,2018,12,7,13:17,14:00,BT,I,2,BTI2,2,sb,17.75,3,1,control,2
3648,12/7/2018,2018,12,7,14:58,15:30,BT,I,3,BTI3,1,jc ,2.5,59,21,control,1
3649,12/7/2018,2018,12,7,14:58,15:30,BT,I,3,BTI3,1,jc ,5,56,11,control,1
3650,12/7/2018,2018,12,7,14:58,15:30,BT,I,3,BTI3,1,jc ,7.5,54,13,control,1
3651,12/7/2018,2018,12,7,14:58,15:30,BT,I,3,BTI3,1,dc,10,52,20,control,1
3652,12/7/2018,2018,12,7,14:58,15:30,BT,I,3,BTI3,1,dc,12.5,32,8,control,1
3653,12/7/2018,2018,12,7,14:58,15:30,BT,I,3,BTI3,1,dc,15,70,13,control,1
3654,12/7/2018,2018,12,7,14:58,15:30,BT,I,3,BTI3,1,dc,17.5,81,26,control,1
3655,12/7/2018,2018,12,7,14:58,15:30,BT,I,3,BTI3,1,dc,20,41,12,control,1
3656,12/7/2018,2018,12,7,14:58,15:30,BT,I,3,BTI3,1,dc,20.2,0,0,control,1
3657,12/7/2018,2018,12,7,15:00,15:33,BT,I,3,BTI3,2,at,2.5,105,28,control,1
3658,12/7/2018,2018,12,7,15:00,15:33,BT,I,3,BTI3,2,at,5,60,34,control,1
3659,12/7/2018,2018,12,7,15:00,15:33,BT,I,3,BTI3,2,at,7.5,105,42,control,1
3660,12/7/2018,2018,12,7,15:00,15:33,BT,I,3,BTI3,2,ar,10,138,29,control,1
3661,12/7/2018,2018,12,7,15:00,15:33,BT,I,3,BTI3,2,ar,12.5,113,36,control,1
3662,12/7/2018,2018,12,7,15:00,15:33,BT,I,3,BTI3,2,ar,15,127,48,control,1
3663,12/7/2018,2018,12,7,15:00,15:33,BT,I,3,BTI3,2,ar,17.5,102,42,control,1
3664,12/7/2018,2018,12,7,15:00,15:33,BT,I,3,BTI3,2,ar,19.7,131,33,control,1
3665,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,2.5,0,0,control,1
3666,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,5,0,0,control,1
3667,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,7.5,0,0,control,1
3668,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,10,30,8,control,1
3669,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,12.5,11,4,control,1
3670,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,15,3,3,control,1
3671,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,17.5,14,3,control,1
3672,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,20,8,1,control,1
3673,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,22.5,0,0,control,1
3674,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,25,0,0,control,1
3675,12/8/2018,2018,12,8,14:39,14:54,BT,I,4,BTI4,1,sb,25.8,13,0,control,1
3676,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,2.5,61,14,control,1
3677,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,5,198,32,control,1
3678,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,7.5,131,22,control,1
3679,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,10,66,21,control,1
3680,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,12.5,37,9,control,1
3681,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,15,17,6,control,1
3682,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,17.5,9,5,control,1
3683,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,20,28,5,control,1
3684,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,22.5,59,14,control,1
3685,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,25,38,13,control,1
3686,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,27.5,5,1,control,1
3687,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,ah,30,34,8,control,1
3688,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,2.5,82,22,control,2
3689,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,5,0,0,control,2
3690,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,7.5,0,0,control,2
3691,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,10,0,0,control,2
3692,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,12.5,7,8,control,2
3693,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,15,10,8,control,2
3694,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,17.5,75,30,control,2
3695,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,20,90,18,control,2
3696,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,22.5,64,20,control,2
3697,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,25,41,17,control,2
3698,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,27.5,19,5,control,2
3699,12/8/2018,2018,12,8,0:00,0:00,BT,I,4,BTI4,2,at,30,26,5,control,2
3700,12/22/2018,2018,12,22,12:30,12:56,BT,I,5,BTI5,1,pf,2.5,227,25,control,1
3701,12/22/2018,2018,12,22,12:30,12:56,BT,I,5,BTI5,1,pf,5,285,82,control,1
3702,12/22/2018,2018,12,22,12:30,12:56,BT,I,5,BTI5,1,pf,7.5,87,47,control,1
3703,12/22/2018,2018,12,22,12:30,12:56,BT,I,5,BTI5,1,pf,10,89,19,control,1
3704,12/22/2018,2018,12,22,12:30,12:56,BT,I,5,BTI5,1,pf,12.5,342,53,control,1
3705,12/22/2018,2018,12,22,12:30,12:56,BT,I,5,BTI5,1,pf,15,224,31,control,1
3706,12/22/2018,2018,12,22,12:30,12:56,BT,I,5,BTI5,1,pf,17.5,218,37,control,1
3707,12/22/2018,2018,12,22,12:30,12:56,BT,I,5,BTI5,1,pf,20,296,71,control,1
3708,12/22/2018,2018,12,22,12:30,12:56,BT,I,5,BTI5,1,pf,21.75,133,23,control,1
3709,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sb,2.5,74,35,control,1
3710,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sb,5,105,10,control,1
3711,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sb,7.5,28,2,control,1
3712,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sb,10,47,10,control,1
3713,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sb,12.5,176,11,control,1
3714,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sb,15,226,31,control,1
3715,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sb,17.5,155,79,control,1
3716,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sl,20,186,61,control,1
3717,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sl,22.5,85,16,control,1
3718,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sl,25,37,8,control,1
3719,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sl,27.5,195,23,control,1
3720,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sl,30,210,138,control,1
3721,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sl,32.5,233,89,control,1
3722,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sl,35,148,53,control,1
3723,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sl,37.5,145,52,control,1
3724,12/22/2018,2018,12,22,12:30,13:24,BT,I,5,BTI5,2,sl,40.94,37,32,control,1
3870,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,ah,2.5,179,9,control,1
3871,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,ah,5,119,9,control,1
3872,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,ah,7.5,148,17,control,1
3873,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,ah,10,104,9,control,1
3874,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,ah,12.5,37,15,control,1
3875,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,ah,15,44,3,control,1
3876,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,ah,17.5,133,14,control,1
3877,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,ah,17.75,8,0,control,1
3878,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,sb,2.5,189,10,control,2
3879,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,sb,5,120,10,control,2
3880,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,sb,7.5,140,19,control,2
3881,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,sb,10,121,10,control,2
3882,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,sb,12.5,39,13,control,2
3883,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,sb,15,48,2,control,2
3884,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,sb,17.5,190,20,control,2
3885,1/5/2019,2019,1,5,13:40,14:26,BT,I,6,BTI6,1,sb,17.75,12,0,control,2
1,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,2.5,65,NA,control,1
2,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,5,195,NA,control,1
3,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,7.5,104,NA,control,1
4,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,10,119,NA,control,1
5,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,12.5,134,NA,control,1
6,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,15,162,NA,control,1
7,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,17.5,63,NA,control,1
8,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,20,116,NA,control,1
9,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,22.5,156,NA,control,1
10,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,24.9,117,NA,control,1
32,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,2.5,6,NA,control,1
33,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,5,2,NA,control,1
34,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,7.5,58,NA,control,1
35,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,10,104,NA,control,1
36,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,12.5,173,NA,control,1
37,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,15,105,NA,control,1
38,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,17.5,50,NA,control,1
39,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,20,48,NA,control,1
40,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,22.5,135,NA,control,1
41,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,25,26,NA,control,1
42,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,27.5,29,NA,control,1
43,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,29.2,1,NA,control,1
63,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,2.5,12,NA,control,1
64,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,5,258,NA,control,1
65,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,7.5,154,NA,control,1
66,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,10,269,NA,control,1
67,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,12.5,276,NA,control,1
68,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,15,222,NA,control,1
69,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,17.5,72,NA,control,1
70,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,20,228,NA,control,1
71,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,22.5,420,NA,control,1
72,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,25,116,NA,control,1
274,10/27/2010,2010,10,27,NA,NA,CK,I,1,CKI1,1,Dummy,NA,0,NA,control,1
275,12/8/2010,2010,12,8,NA,NA,CK,I,1,CKI1,1,Dummy,NA,0,NA,control,1
2197,7/12/2011,2011,7,12,NA,NA,CK,I,1,CKI1,1,,NA,NA,NA,control,1
2198,7/12/2011,2011,7,12,NA,NA,CK,I,1,CKI1,1,,NA,NA,NA,control,1
2199,7/12/2011,2011,7,12,NA,NA,CK,I,1,CKI1,1,,NA,NA,NA,control,1
2383,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,16,53,NA,control,1
2384,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,2.5,124,NA,control,1
2385,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,5,128,NA,control,1
2386,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,7.5,147,NA,control,1
2387,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,10,265,NA,control,1
2388,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,12.5,259,NA,control,1
2389,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,15,284,NA,control,1
2390,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,17.5,110,NA,control,1
2391,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,20,123,NA,control,1
2392,10/17/2012,2012,10,17,8:04 AM,NA,CK,I,1,CKI1,1,.,22.5,198,NA,control,1
11,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,2.5,3,NA,control,1
12,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,5,7,NA,control,1
13,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,7.5,39,NA,control,1
14,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,10,97,NA,control,1
15,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,12.5,145,NA,control,1
16,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,15,87,NA,control,1
17,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,17.5,11,NA,control,1
18,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,20,31,NA,control,1
19,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,22.5,72,NA,control,1
20,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,25,5,NA,control,1
21,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,27.5,42,NA,control,1
22,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,29.2,1,NA,control,1
44,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,2.5,57,NA,control,1
45,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,5,202,NA,control,1
46,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,7.5,98,NA,control,1
47,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,10,111,NA,control,1
48,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,12.5,142,NA,control,1
49,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,15,153,NA,control,1
50,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,17.5,65,NA,control,1
51,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,20,107,NA,control,1
52,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,22.5,180,NA,control,1
53,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,25,63,NA,control,1
73,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,2.5,0,NA,control,1
74,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,5,1,NA,control,1
75,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,7.5,4,NA,control,1
76,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,10,3,NA,control,1
77,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,12.5,192,NA,control,1
78,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,15,131,NA,control,1
79,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,17.5,54,NA,control,1
80,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,20,110,NA,control,1
81,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,22.5,128,NA,control,1
82,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,25,23,NA,control,1
83,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,27.5,36,NA,control,1
84,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,29,0,NA,control,1
2358,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,25,NA,NA,control,1
2359,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,2.5,2,NA,control,1
2360,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,5,44,NA,control,1
2361,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,7.5,72,NA,control,1
2362,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,10,106,NA,control,1
2363,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,12.5,176,NA,control,1
2364,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,15,64,NA,control,1
2365,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,17.5,0,NA,control,1
2366,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,20,42,NA,control,1
2367,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,22.5,4,NA,control,1
2368,10/16/2012,2012,10,16,12:15 PM,12:45 PM,CK,I,2,CKI2,1,Tony B,25,0,NA,control,1
23,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,2.5,86,NA,control,1
24,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,5,157,NA,control,1
25,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,7.5,9,NA,control,1
26,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,10,16,NA,control,1
27,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,12.5,117,NA,control,1
28,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,15,169,NA,control,1
29,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,17.5,119,NA,control,1
30,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,20,64,NA,control,1
31,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,21.9,74,NA,control,1
54,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,2.5,100,NA,control,1
55,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,5,204,NA,control,1
56,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,7.5,8,NA,control,1
57,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,10,7,NA,control,1
58,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,12.5,71,NA,control,1
59,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,15,149,NA,control,1
60,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,17.5,161,NA,control,1
61,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,20,90,NA,control,1
