obs,date,year,month,day,start_time,end_time,locality,site,bar,station,transect,counter,tran_length,count_live,count_dead,treatment,pass
4845,43766,2019,10,28,0.547916667,0.563888889,LC,O,9C,LCO9C,1,sb,2.5,12,0,rocks,1
4846,43766,2019,10,28,0.547916667,0.563888889,LC,O,9C,LCO9C,1,sb,5,44,2,rocks,1
4847,43766,2019,10,28,0.547916667,0.563888889,LC,O,9C,LCO9C,1,sb,7.5,34,2,rocks,1
4848,43766,2019,10,28,0.547916667,0.563888889,LC,O,9C,LCO9C,1,sb,10,16,0,rocks,1
4849,43766,2019,10,28,0.547916667,0.563888889,LC,O,9C,LCO9C,1,ec,12.5,3,0,rocks,1
4850,43766,2019,10,28,0.547916667,0.563888889,LC,O,9C,LCO9C,1,ec,15,8,1,rocks,1
4851,43766,2019,10,28,0.547916667,0.563888889,LC,O,9C,LCO9C,1,ec,17.5,11,15,rocks,1
4852,43766,2019,10,28,0.547916667,0.563888889,LC,O,9C,LCO9C,1,ec,20,2,0,rocks,1
4853,43766,2019,10,28,0.547916667,0.563888889,LC,O,9C,LCO9C,1,ec,22.3,19,4,rocks,1
4854,43766,2019,10,28,0.56875,0.579166667,LC,O,9C,LCO9C,2,ec,2.5,-999,-999,rocks,1
4855,43766,2019,10,28,0.56875,0.579166667,LC,O,9C,LCO9C,2,ec,5,32,4,rocks,1
4856,43766,2019,10,28,0.56875,0.579166667,LC,O,9C,LCO9C,2,ec,7.5,18,2,rocks,1
4857,43766,2019,10,28,0.56875,0.579166667,LC,O,9C,LCO9C,2,ec,10,18,4,rocks,1
4858,43766,2019,10,28,0.56875,0.579166667,LC,O,9C,LCO9C,2,sb,12.5,24,0,rocks,1
4859,43766,2019,10,28,0.56875,0.579166667,LC,O,9C,LCO9C,2,sb,15,9,1,rocks,1
4860,43766,2019,10,28,0.56875,0.579166667,LC,O,9C,LCO9C,2,sb,17.5,14,0,rocks,1
4861,43766,2019,10,28,0.56875,0.579166667,LC,O,9C,LCO9C,2,sb,20,-999,-999,rocks,1
4862,43766,2019,10,28,0.56875,0.579166667,LC,O,9C,LCO9C,2,sb,22,-999,-999,rocks,1
4863,43766,2019,10,28,0.564583333,0.578472222,LC,O,9C,LCO9C,3,jh,2.5,-999,-999,rocks,1
4864,43766,2019,10,28,0.564583333,0.578472222,LC,O,9C,LCO9C,3,jh,5,94,2,rocks,1
4865,43766,2019,10,28,0.564583333,0.578472222,LC,O,9C,LCO9C,3,jh,7.5,45,0,rocks,1
4866,43766,2019,10,28,0.564583333,0.578472222,LC,O,9C,LCO9C,3,jh,10,43,2,rocks,1
4867,43766,2019,10,28,0.564583333,0.578472222,LC,O,9C,LCO9C,3,at,12.5,9,0,rocks,1
4868,43766,2019,10,28,0.564583333,0.578472222,LC,O,9C,LCO9C,3,at,15,4,0,rocks,1
4869,43766,2019,10,28,0.564583333,0.578472222,LC,O,9C,LCO9C,3,at,17.5,11,0,rocks,1
4870,43766,2019,10,28,0.564583333,0.578472222,LC,O,9C,LCO9C,3,at,20,10,2,rocks,1
4871,43766,2019,10,28,0.564583333,0.578472222,LC,O,9C,LCO9C,3,at,22.1,15,0,rocks,1
4872,43766,2019,10,28,0.547916667,0.556944444,LC,O,9C,LCO9C,6,jh,2.5,1,0,rocks,1
4873,43766,2019,10,28,0.547916667,0.556944444,LC,O,9C,LCO9C,6,jh,5,13,0,rocks,1
