"","season","treatment","locality","site","bar","station","count_live","tran_length","area","density","strata"
"1","Winter","control","BT","I","1","BTI1",897,23,3.51,255.91,"N_NA"
"2","Winter","control","BT","I","2","BTI2",1108,38.65,5.89,188.11,"N_NA"
"3","Winter","control","BT","I","3","BTI3",1326,39.9,6.08,218.06,"N_NA"
"4","Winter","control","BT","I","4","BTI4",627.5,55.8,8.5,73.79,"N_NA"
"5","Winter","control","BT","I","5","BTI5",3988,62.69,9.55,417.42,"N_NA"
"6","Winter","control","BT","I","6","BTI6",815.5,17.75,2.71,301.47,"N_NA"
"7","Winter","control","LC","I","1","LCI1",1650,45.39,6.92,238.53,"N_NA"
"8","Winter","control","LC","I","10","LCI10",1686,38.2,5.82,289.61,"Y_NA"
"9","Winter","control","LC","I","11","LCI11",302,17.86,2.72,110.95,"Y_NA"
"10","Winter","control","LC","I","12","LCI12",1106,36.09,5.5,201.09,"Y_NA"
"11","Winter","control","LC","I","13","LCI13",3421.5,71.3,10.87,314.88,"Y_NA"
"12","Winter","control","LC","I","14","LCI14",1501,22.75,3.47,432.93,"Y_NA"
"13","Winter","control","LC","I","15","LCI15",638,20.8,3.17,201.27,"Y_NA"
"14","Winter","control","LC","I","16","LCI16",427.5,24.04,3.66,116.69,"Y_NA"
"15","Winter","control","LC","I","17","LCI17",189,14.65,2.23,84.65,"Y_NA"
"16","Winter","control","LC","I","18","LCI18",1813,68.16,10.39,174.54,"Y_NA"
"17","Winter","control","LC","I","19","LCI19",153,22.21,3.38,45.2,"Y_NA"
"18","Winter","control","LC","I","2","LCI2",1534,32.2,4.91,312.6,"Y_NA"
"19","Winter","control","LC","I","3","LCI3",1104,23.8,3.63,304.37,"Y_NA"
"20","Winter","control","LC","I","4","LCI4",1909,22.5,3.43,556.72,"Y_NA"
"21","Winter","control","LC","I","5","LCI5",942,20.4,3.11,303,"Y_NA"
"22","Winter","control","LC","I","6","LCI6",454,21.5,3.28,138.56,"Y_NA"
"23","Winter","control","LC","I","7","LCI7",853,21.66,3.3,258.41,"N_NA"
"24","Winter","control","LC","I","8","LCI8",96,19,2.9,33.15,"Y_NA"
"25","Winter","control","LC","I","9","LCI9",695,22.24,3.39,205.05,"Y_NA"
"26","Winter","control","LC","N","1","LCN1",109,29.86,4.55,23.95,"Y_NA"
"27","Winter","control","LC","N","2","LCN2",693,32.77,4.99,138.76,"Y_NA"
"28","Winter","control","LC","N","3","LCN3",146,19.9,3.03,48.14,"Y_NA"
"29","Winter","control","LC","N","4","LCN4",35,22,3.35,10.44,"Y_NA"
"30","Winter","control","LC","N","5","LCN5",700,21.75,3.31,211.18,"Y_NA"
"31","Winter","control","LC","N","6","LCN6",2275,32.4,4.94,460.74,"Y_NA"
"32","Winter","control","LC","N","7","LCN7",611,13.3,2.03,301.44,"Y_NA"
"33","Winter","control","LC","N","8","LCN8",58,17.5,2.67,21.75,"Y_NA"
"34","Winter","control","LC","N","9","LCN9",4,36.12,5.5,0.73,"Y_NA"
"45","Winter","rocks","LC","O","10A","LCO10A",1619,113.4,17.28,93.68,"N_LG"
"46","Winter","rocks","LC","O","11B","LCO11B",276,66.77,10.18,27.12,"N_LG"
"47","Winter","rocks","LC","O","12","LCO12",358.5,111.86,17.05,21.03,"N_LG"
"48","Winter","rocks","LC","O","13","LCO13",3678,62.55,9.53,385.83,"N_SM"
"49","Winter","rocks","LC","O","14","LCO14",4612,70.11,10.68,431.64,"N_SM"
"50","Winter","rocks","LC","O","15","LCO15",3390.5,169.84,25.88,130.99,"N_SM"
"51","Winter","rocks","LC","O","16","LCO16",301.5,68.91,10.5,28.71,"N_SM"
"52","Winter","rocks","LC","O","17","LCO17",209,45.37,6.91,30.23,"Y_SM"
"53","Winter","rocks","LC","O","19","LCO19",557.5,116.31,17.73,31.45,"Y_SM"
"54","Winter","rocks","LC","O","2","LCO2",945,20.86,3.18,297.26,"N_LG"
"55","Winter","rocks","LC","O","20","LCO20",385,87.12,13.28,29,"Y_SM"
"56","Winter","rocks","LC","O","21","LCO21",714,129.01,19.66,36.32,"Y_SM"
"57","Winter","rocks","LC","O","3","LCO3",358,18.02,2.75,130.36,"N_LG"
"58","Winter","rocks","LC","O","4","LCO4",953,22.1,3.37,282.95,"N_LG"
"59","Winter","rocks","LC","O","8A","LCO8A",319,15.2,2.32,137.71,"N_LG"
"60","Winter","rocks","LC","O","9B","LCO9B",674.5,115.78,17.64,38.23,"N_LG"
"61","Winter","rocks","LC","O","9C","LCO9C",1161,111.2,16.95,68.51,"N_LG"
"35","Winter","control","LT","I","1","LTI1",692,29.8,4.54,152.37,"N_NA"
"36","Winter","control","LT","I","2","LTI2",190,22.68,3.46,54.97,"N_NA"
"37","Winter","control","LT","I","3","LTI3",883,37.5,5.71,154.51,"N_NA"
"38","Winter","control","LT","I","4","LTI4",1323,34.84,5.31,249.17,"N_NA"
"39","Winter","control","LT","I","5","LTI5",1412,38.75,5.91,239.1,"N_NA"
"40","Winter","control","LT","I","6","LTI6",594,18.87,2.88,206.55,"N_NA"
"41","Winter","control","NN","I","1","NNI1",233.5,14.5,2.21,105.67,"N_NA"
"42","Winter","control","NN","I","2","NNI2",911,22.85,3.48,261.61,"N_NA"
"43","Winter","control","NN","I","3","NNI3",156,33,5.03,31.02,"N_NA"
"44","Winter","control","NN","I","4","NNI4",571,13.3,2.03,281.71,"N_NA"
