FID,Id,ORIG_FID,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
0,0,0,4.226921842,297912.8735,3234539.733,297914.9869,3234539.733,297917.1004,3234539.733
1,0,1,9.750731369,297912.2068,3234541.733,297917.0822,3234541.733,297921.9575,3234541.733
2,0,2,11.6220146,297911.5401,3234543.733,297917.3512,3234543.733,297923.1622,3234543.733
3,0,3,13.1341966,297910.8735,3234545.733,297917.4406,3234545.733,297924.0077,3234545.733
4,0,4,14.46752993,297910.2068,3234547.733,297917.4406,3234547.733,297924.6743,3234547.733
5,0,5,16.49738825,297908.8436,3234549.733,297917.0923,3234549.733,297925.341,3234549.733
6,0,6,21.16405492,297904.8436,3234551.733,297915.4256,3234551.733,297926.0077,3234551.733
7,0,7,28.68568526,297897.9887,3234553.733,297912.3315,3234553.733,297926.6743,3234553.733
8,0,8,32.02980534,297895.3112,3234555.733,297911.3261,3234555.733,297927.341,3234555.733
9,0,9,33.85396696,297894.5744,3234557.733,297911.5013,3234557.733,297928.4283,3234557.733
10,0,10,36.09080907,297893.8375,3234559.733,297911.8829,3234559.733,297929.9283,3234559.733
11,0,11,38.32765117,297893.1007,3234561.733,297912.2645,3234561.733,297931.4283,3234561.733
12,0,12,40.23471621,297892.3638,3234563.733,297912.4812,3234563.733,297932.5985,3234563.733
13,0,13,39.88087395,297893.2177,3234565.733,297913.1581,3234565.733,297933.0985,3234565.733
14,0,14,39.13087395,297894.4677,3234567.733,297914.0331,3234567.733,297933.5985,3234567.733
15,0,15,37.97987709,297895.7177,3234569.733,297914.7076,3234569.733,297933.6976,3234569.733
16,0,16,34.63896799,297896.9677,3234571.733,297914.2872,3234571.733,297931.6066,3234571.733
17,0,17,10.85368028,297790.702,3234573.733,297796.1288,3234573.733,297801.5557,3234573.733
18,0,17,30.15063137,297899.3651,3234573.733,297914.4404,3234573.733,297929.5157,3234573.733
19,0,18,22.90354405,297786.9877,3234575.733,297798.4395,3234575.733,297809.8912,3234575.733
20,0,18,24.786995,297902.6378,3234575.733,297915.0313,3234575.733,297927.4248,3234575.733
21,0,19,31.39409754,297783.7471,3234577.733,297799.4442,3234577.733,297815.1412,3234577.733
22,0,19,19.42335864,297905.9106,3234577.733,297915.6222,3234577.733,297925.3339,3234577.733
23,0,20,19.21837075,297750.3252,3234579.733,297759.9344,3234579.733,297769.5436,3234579.733
24,0,20,39.47815505,297780.5164,3234579.733,297800.2555,3234579.733,297819.9945,3234579.733
25,0,20,8.852732351,297914.3903,3234579.733,297918.8166,3234579.733,297923.243,3234579.733
26,0,21,23.69456123,297750.1348,3234581.733,297761.9821,3234581.733,297773.8293,3234581.733
27,0,21,44.85178142,297777.2856,3234581.733,297799.7115,3234581.733,297822.1374,3234581.733
28,0,22,74.33594934,297749.9443,3234583.733,297787.1123,3234583.733,297824.2802,3234583.733
29,0,23,76.66928268,297749.7538,3234585.733,297788.0885,3234585.733,297826.4231,3234585.733
