"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"1527",2134,0,552,41.92849294,298200.2066,3236057.733,298221.1709,3236057.733,298242.1351,3236057.733
"177",176,0,133,29.65319029,298339.4732,3235185.733,298354.2998,3235185.733,298369.1263,3235185.733
"2586",3329,0,804,16.16067454,298611.7551,3236561.733,298619.8354,3236561.733,298627.9158,3236561.733
"215",214,0,148,31.66703476,298321.0491,3235215.733,298336.8827,3235215.733,298352.7162,3235215.733
"5723",10053,0,2460,19.31462196,298844.4375,3236099.217,298844.4375,3236108.874,298844.4375,3236118.531
"3812",7288,0,2214,25.80481286,298352.4375,3235099.577,298352.4375,3235112.479,298352.4375,3235125.382
"3439",6588,0,2127,22.13341875,298178.4375,3235865.099,298178.4375,3235876.166,298178.4375,3235887.232
"613",841,0,348,20.46092704,298364.914,3235645.733,298375.1445,3235645.733,298385.3749,3235645.733
"351",366,0,229,13.43062998,298536.2532,3235407.733,298542.9685,3235407.733,298549.6838,3235407.733
"3522",6737,0,2153,26.45122003,298230.4375,3235731.294,298230.4375,3235744.52,298230.4375,3235757.746
"3706",7122,0,2201,12.72340952,298326.4375,3236013.001,298326.4375,3236019.363,298326.4375,3236025.724
"4890",9170,0,2351,20.20351222,298626.4375,3236014.966,298626.4375,3236025.068,298626.4375,3236035.17
"5139",9431,0,2378,13.57488009,298680.4375,3236802.167,298680.4375,3236808.955,298680.4375,3236815.742
"5186",9478,0,2383,22.38712906,298690.4375,3236231.12,298690.4375,3236242.314,298690.4375,3236253.507
"4838",9099,0,2344,27.53043723,298612.4375,3236001.876,298612.4375,3236015.641,298612.4375,3236029.407
"3540",6773,0,2159,17.3951082,298242.4375,3235223.828,298242.4375,3235232.525,298242.4375,3235241.223
"1015",1301,0,452,89.5114961,298072.2748,3235857.733,298117.0305,3235857.733,298161.7863,3235857.733
"2676",3419,0,844,45.53083724,298799.8652,3236641.733,298822.6306,3236641.733,298845.396,3236641.733
"4596",8731,0,2316,20.10918404,298556.4375,3235895.964,298556.4375,3235906.019,298556.4375,3235916.074
"1415",1972,0,535,11.78979287,298196.4475,3236023.733,298202.3424,3236023.733,298208.2373,3236023.733
"3049",5849,0,1917,56.15533625,297758.4375,3234684.669,297758.4375,3234712.747,297758.4375,3234740.824
"4737",8942,0,2330,28.84621848,298584.4375,3235635.541,298584.4375,3235649.964,298584.4375,3235664.388
"3366",6507,0,2101,27.0306597,298126.4375,3235330.761,298126.4375,3235344.276,298126.4375,3235357.791
"4429",8489,0,2301,42.9817463,298526.4375,3236703.094,298526.4375,3236724.584,298526.4375,3236746.075
"946",1201,0,421,31.94072208,298438.4972,3235791.733,298454.4676,3235791.733,298470.438,3235791.733
"2153",2896,0,676,11.12532849,298652.059,3236305.733,298657.6217,3236305.733,298663.1844,3236305.733
"738",993,0,382,12.81885776,298548.5671,3235713.733,298554.9765,3235713.733,298561.3859,3235713.733
"3500",6687,0,2146,43.57932655,298216.4375,3235427.32,298216.4375,3235449.109,298216.4375,3235470.899
"2060",2803,0,659,10.34530795,298306.9472,3236271.733,298312.1198,3236271.733,298317.2925,3236271.733
"4764",8982,0,2333,23.81791279,298590.4375,3235640.57,298590.4375,3235652.479,298590.4375,3235664.388
"3542",6775,0,2159,10.15951665,298242.4375,3236058.059,298242.4375,3236063.139,298242.4375,3236068.219
"3247",6378,0,2065,23.66937997,298054.4375,3235517.876,298054.4375,3235529.711,298054.4375,3235541.546
"218",217,0,149,30.82568004,298321.6552,3235217.733,298337.068,3235217.733,298352.4809,3235217.733
"1547",2171,0,557,10.65859115,298656.8137,3236067.733,298662.143,3236067.733,298667.4723,3236067.733
"1344",1873,0,526,14.13035285,298281.416,3236005.733,298288.4812,3236005.733,298295.5463,3236005.733
"5048",9340,0,2370,12.53821254,298664.4375,3236242.91,298664.4375,3236249.179,298664.4375,3236255.448
"1348",1877,0,526,19.22410114,298838.0785,3236005.733,298847.6905,3236005.733,298857.3026,3236005.733
"819",1074,0,396,12.85210586,298747.5369,3235741.733,298753.963,3235741.733,298760.389,3235741.733
"1030",1331,0,457,70.03776766,298113.9652,3235867.733,298148.984,3235867.733,298184.0029,3235867.733
"1816",2559,0,616,26.65601243,298557.1141,3236185.733,298570.4421,3236185.733,298583.7701,3236185.733
