FID,Id,Harvest,Locality,Site,POLY_AREA
0,0,no,BT,I,1367.302069
1,0,no,BT,I,4273.731666
2,0,no,BT,I,1408.403354
3,0,no,BT,I,491.3988322
4,0,no,BT,I,268.8352431
5,0,no,BT,I,298.8322229
6,0,no,BT,I,534.0988504
7,0,no,BT,I,546.0192372
8,0,no,BT,I,523.4637486
9,0,no,BT,I,1456.252912
10,0,no,BT,I,585.3086303
11,0,no,BT,I,581.6417883
12,0,no,BT,I,384.3631679
13,0,no,BT,I,165.2977096
14,0,no,BT,I,112.4372208
15,0,no,BT,I,829.8126475
16,0,no,BT,I,9090.693865
17,0,no,BT,I,2967.194834
18,0,no,BT,I,321.076191
19,0,no,BT,I,179.211828
20,0,no,BT,I,389.6933197
21,0,no,BT,I,238.3544116
22,0,no,BT,I,251.5177543
23,0,no,BT,I,293.8362692
24,0,no,BT,I,269.0326152
25,0,no,BT,I,139.7925235
26,0,no,BT,I,45.36457764
27,0,no,BT,I,228.6722835
28,0,no,BT,I,42.04654501
29,0,no,BT,I,340.3975143
30,0,no,BT,I,1292.190084
31,0,no,BT,I,484.8548004
32,0,no,BT,I,108.757778
33,0,no,LT,I,143.3596617
34,0,no,LT,I,746.3976621
35,0,no,LT,I,123.8787759
36,0,no,LT,I,1339.896833
37,0,no,LT,I,2020.90878
38,0,no,LT,I,672.4937845
39,0,no,LT,I,1096.851992
40,0,no,LT,I,2775.282768
41,0,no,LT,I,267.0242235
42,0,no,LT,I,56.89275489
43,0,no,LT,I,62.23550754
44,0,no,LT,I,98.61410851
45,0,no,LT,I,677.062286
46,0,no,LT,I,2102.333954
47,0,no,LT,I,129.8701366
48,0,no,LT,I,335.3277316
49,0,no,LT,I,1102.13034
50,0,no,LT,I,1324.252603
51,0,no,LT,I,1060.91162
52,0,no,LT,I,584.7009902
53,0,no,LT,I,574.2619012
54,0,no,LT,I,487.2769602
55,0,no,LT,I,297.6290185
56,0,no,LT,I,208.0449809
57,0,no,LT,I,193.9893658
58,0,no,LT,I,536.5197852
59,0,no,LT,I,126.0083165
60,0,no,LT,I,241.9534689
61,0,no,LT,I,98.06115953
62,0,no,LT,I,111.8433191
63,0,no,LT,I,302.387145
64,0,no,LT,I,104.8975482
65,0,no,LT,I,161.2528426
66,0,no,LT,I,48.95738118
67,0,no,LT,I,55.12548828
68,0,no,NN,I,1123.902302
69,0,no,NN,I,601.1099857
70,0,no,NN,I,713.1173782
71,0,no,NN,I,2047.896261
72,0,no,NN,I,311.7067726
73,0,no,NN,I,268.4229159
74,0,no,NN,I,383.2794964
75,0,no,NN,I,302.621573
76,0,no,NN,I,2673.721465
77,0,no,NN,I,1160.816614
78,0,no,NN,I,386.425504
79,0,no,NN,I,709.8818521
80,0,no,NN,I,800.7828516
81,0,no,NN,I,260.6188008
82,0,no,NN,I,134.3538855
83,0,no,NN,I,246.7074827
84,0,no,NN,I,590.2789584
85,0,no,NN,I,227.0165831
86,0,no,NN,I,29.07711909
87,0,no,NN,I,58.87108548
88,0,yes,LC,N,1977.149242
89,0,yes,LC,N,1935.093966
90,0,yes,LC,N,1426.650409
91,0,yes,LC,N,1425.941612
92,0,yes,LC,N,347.2453181
93,0,yes,LC,N,161.7610762
94,0,yes,LC,N,406.7604461
95,0,yes,LC,N,720.9243809
96,0,yes,LC,N,92.78692391
97,0,yes,LC,N,1646.643078
98,0,yes,LC,N,1317.744571
99,0,yes,LC,N,912.4346206
100,0,yes,LC,N,2824.087189
101,0,yes,LC,N,162.545128
102,0,yes,LC,N,453.3611218
103,0,yes,LC,N,376.6808609
104,0,yes,LC,N,1524.02246
105,0,yes,LC,I,3099.10454
106,0,yes,LC,I,82.90087143
107,0,yes,LC,I,193.1203459
108,0,yes,LC,I,230.393606
109,0,yes,LC,I,1628.695294
110,0,yes,LC,I,320.5021531
111,0,yes,LC,I,324.6870293
112,0,yes,LC,I,22.2908712
113,0,yes,LC,I,88.71930549
114,0,yes,LC,I,36.58651471
115,0,yes,LC,I,20.53620538
116,0,yes,LC,I,11.96448965
117,0,yes,LC,I,9.844399726
118,0,yes,LC,I,14.24524018
119,0,yes,LC,I,225.4936326
120,0,yes,LC,I,168.7198855
121,0,yes,LC,I,10839.49791
122,0,yes,LC,I,84.63978621
123,0,yes,LC,I,276.4023925
124,0,yes,LC,I,68.4792196
125,0,yes,LC,I,625.3320219
126,0,yes,LC,I,122.3887276
127,0,yes,LC,I,88.26567552
128,0,yes,LC,I,318.8360431
129,0,yes,LC,I,84.32476544
130,0,yes,LC,I,4443.512471
131,0,yes,LC,I,49.44006304
132,0,yes,LC,I,31.272464
133,0,yes,LC,I,205.9885952
134,0,yes,LC,I,42.45780218
135,0,yes,LC,I,184.5671814
136,0,yes,LC,I,131.5736838
137,0,yes,LC,I,74.55492063
138,0,yes,LC,I,649.6428764
139,0,yes,LC,I,1042.858829
140,0,yes,LC,I,756.8899547
141,0,yes,LC,I,601.0596699
142,0,yes,LC,I,261.6072661
143,0,yes,LC,I,1254.867821
144,0,yes,LC,I,881.9182065
145,0,yes,LC,I,773.6910635
146,0,yes,LC,I,118.4128152
147,0,yes,LC,I,2130.590619
148,0,yes,LC,I,214.3527473
149,0,yes,LC,I,691.8486619
150,0,yes,LC,I,49.77328504
151,0,yes,LC,I,95.40089647
152,0,yes,LC,I,53.04950125
153,0,yes,LC,I,139.970038
154,0,yes,LC,I,115.864647
155,0,yes,LC,I,200.5485362
156,0,yes,LC,I,2077.73713
157,0,yes,LC,I,777.3537053
158,0,yes,LC,I,549.3122545
159,0,yes,LC,I,446.6910815
160,0,yes,LC,I,560.7370086
161,0,yes,LC,I,856.576534
162,0,yes,LC,I,853.881356
163,0,yes,LC,I,663.2237727
164,0,yes,LC,I,2555.247046
165,0,yes,LC,I,481.1389551
166,0,yes,LC,I,1098.008468
167,0,yes,LC,I,784.2981636
168,0,yes,LC,I,311.6269673
169,0,yes,LC,I,746.6860813
170,0,yes,LC,I,685.5972493
171,0,yes,LC,I,1051.81662
172,0,yes,LC,I,1092.452902
173,0,yes,LC,I,940.4588702
174,0,yes,LC,I,4343.221052
175,0,yes,LC,I,554.121572
176,0,yes,LC,I,2700.90951
177,0,yes,LC,I,3173.676962
178,0,yes,LC,I,1970.61256
179,0,yes,LC,I,1093.673432
180,0,yes,LC,I,896.864193
181,0,yes,LC,I,997.2770701
182,0,no,LC,I,1986.757376
183,0,yes,LC,I,4118.03054
184,0,yes,LC,I,2799.353507
185,0,yes,LC,I,1068.156748
186,0,yes,LC,I,1548.169679
187,0,yes,LC,I,1944.072059
188,0,yes,LC,I,608.8564344
189,0,yes,LC,I,2747.690097
190,0,yes,LC,I,816.9539189
191,0,yes,LC,I,698.2698357
192,0,yes,LC,I,1375.207951
193,0,no,LC,I,2087.466373
194,0,no,LC,I,1724.003784
195,0,no,LC,I,3464.003624
196,0,no,LC,I,2551.003366
197,0,no,LC,I,1394.772055
198,0,no,LC,I,10108.45716
199,0,no,LC,I,328.0066484
200,0,no,LC,I,347.2929213
201,0,no,LC,I,186.3522992
202,0,no,LC,I,3486.475107
203,0,no,LC,I,320.2361355
204,0,no,LC,I,816.5688935
205,0,no,LC,I,1005.546366
206,0,no,LC,I,933.3716024
207,0,no,LC,I,712.9970578
208,0,yes,LC,I,445.7894221
209,0,no,LC,I,308.1253362
210,0,yes,LC,I,5127.858038
211,0,yes,LC,I,1899.264551
212,0,yes,LC,I,371.7245337
213,0,no,LC,I,300.591089
214,0,no,LC,I,257.7920142
215,0,no,LC,I,189.8437797
216,0,no,LC,I,889.986239
217,0,no,LC,I,2984.384469
218,0,no,LC,I,4457.927035
219,0,no,LC,I,839.8538302
220,0,yes,LC,N,3046.881094
221,0,yes,LC,N,1713.433086
222,0,yes,LC,N,1101.172677
223,0,yes,LC,N,2728.64009
224,0,yes,LC,N,1068.410515
225,0,yes,LC,I,639.9080339
226,0,yes,LC,I,645.8430256
227,0,yes,LC,I,0
