SEG,ELEMENT,LENGTH,START_X,START_Y
1,str1,27.16947743,295364.6028,3238133.302
2,str1,27.16947743,295382.8691,3238113.191
3,str1,27.16947743,295401.1475,3238093.089
4,str1,27.16947743,295419.4259,3238072.987
5,str1,27.16947743,295437.7043,3238052.885
6,str1,27.16947743,295455.9826,3238032.784
7,str1,27.16947743,295474.261,3238012.682
8,str1,27.16947743,295260.5625,3238257.354
9,str1,27.16947743,295276.868,3238235.83
10,str1,27.16947743,295296.1375,3238216.676
11,str1,27.16947743,295314.4128,3238196.611
12,str1,27.16947743,295331.8131,3238175.745
13,str1,27.16947743,295232.2622,3238312.578
14,str1,27.16947743,295240.3202,3238286.631
15,str1,27.16947743,295147.0453,3238443.753
16,str1,27.16947743,295164.9417,3238423.31
17,str1,27.16947743,295182.8381,3238402.868
18,str1,27.16947743,295003.6349,3238603.097
19,str1,27.16947743,295026.7623,3238588.838
20,str1,27.16947743,295049.3074,3238573.815
21,str1,27.16947743,295069.1958,3238555.305
22,str1,27.16947743,295084.284,3238533.752
23,str1,27.16947743,295093.3504,3238508.208
24,str1,27.16947743,295106.7122,3238484.633
25,str1,27.16947743,294808.4493,3238766.633
26,str1,27.16947743,294830.509,3238750.773
27,str1,27.16947743,294850.71,3238732.749
28,str1,27.16947743,294868.2554,3238712.264
29,str1,27.16947743,294881.0141,3238688.276
30,str1,27.16947743,294899.5992,3238668.68
31,str1,27.16947743,294920.8002,3238651.689
32,str1,27.16947743,294942.0013,3238634.698
33,str1,27.16947743,294706.8367,3238847.251
34,str1,27.16947743,294724.7723,3238826.843
35,str1,27.16947743,294681.7251,3238944.082
36,str1,27.16947743,294683.7932,3238916.991
37,str1,27.16947743,294685.8613,3238889.9
38,str1,27.16947743,294623.3532,3238942.068
39,str1,27.16947743,294629.3078,3238915.559
40,str1,27.16947743,294592.7542,3238982.222
41,str1,27.16947743,294543.3495,3239025.25
42,str2,22.43571837,295865.1282,3237593.405
43,str2,22.43571837,295877.6503,3237574.789
44,str2,22.43571837,295890.1724,3237556.173
45,str2,22.43571837,295902.6945,3237537.557
46,str2,22.43571837,295915.2166,3237518.941
47,str2,22.43571837,295924.572,3237499.512
48,str2,22.43571837,295922.566,3237477.166
49,str2,22.43571837,295920.5601,3237454.82
50,str2,22.43571837,295918.5542,3237432.474
51,str2,22.43571837,295729.5928,3237751.31
52,str2,22.43571837,295744.4546,3237734.502
53,str2,22.43571837,295759.3164,3237717.695
54,str2,22.43571837,295774.1782,3237700.887
55,str2,22.43571837,295789.04,3237684.08
56,str2,22.43571837,295803.9018,3237667.273
57,str2,22.43571837,295818.7637,3237650.465
58,str2,22.43571837,295833.6255,3237633.658
59,str2,22.43571837,295625.4799,3237836.082
60,str2,22.43571837,295641.2186,3237820.093
61,str2,22.43571837,295656.9572,3237804.104
62,str2,22.43571837,295672.6959,3237788.115
63,str2,22.43571837,295515.733,3237951.005
64,str2,22.43571837,295529.2706,3237933.114
65,str2,22.43571837,295542.8083,3237915.223
66,str2,22.43571837,295556.3459,3237897.331
67,str3,21.97183218,296633.3448,3235535.493
68,str3,21.97183218,296643.4781,3235515.998
69,str3,21.97183218,296653.6114,3235496.502
70,str3,21.97183218,296663.7447,3235477.007
71,str3,21.97183218,296673.878,3235457.511
72,str3,21.97183218,296684.0113,3235438.016
73,str3,21.97183218,296694.1445,3235418.52
74,str3,21.97183218,296704.2778,3235399.024
75,str3,21.97183218,296714.4111,3235379.529
76,str3,21.97183218,296724.5444,3235360.033
77,str3,21.97183218,296734.6777,3235340.538
78,str3,21.97183218,296487.0335,3235784.598
79,str3,21.97183218,296496.7439,3235764.889
80,str3,21.97183218,296506.4543,3235745.179
81,str3,21.97183218,296516.1647,3235725.469
82,str3,21.97183218,296525.8751,3235705.76
83,str3,21.97183218,296535.5855,3235686.05
84,str3,21.97183218,296545.2959,3235666.341
85,str3,21.97183218,296555.0063,3235646.631
86,str3,21.97183218,296564.7167,3235626.921
87,str3,21.97183218,296574.4271,3235607.212
88,str3,21.97183218,296584.1375,3235587.502
89,str3,21.97183218,296346.478,3236080.146
90,str3,21.97183218,296356.8651,3236060.784
91,str3,21.97183218,296367.2522,3236041.423
92,str3,21.97183218,296377.6393,3236022.061
93,str3,21.97183218,296388.0264,3236002.7
94,str3,21.97183218,296398.4135,3235983.338
95,str3,21.97183218,296408.8006,3235963.976
96,str3,21.97183218,296419.1877,3235944.615
97,str3,21.97183218,296429.5748,3235925.253
98,str3,21.97183218,296439.9619,3235905.892
99,str3,21.97183218,296450.349,3235886.53
100,str3,21.97183218,296460.736,3235867.169
101,str3,21.97183218,296145.275,3236627.715
102,str3,21.97183218,296155.8082,3236608.433
103,str3,21.97183218,296166.3415,3236589.15
104,str3,21.97183218,296176.8747,3236569.868
105,str3,21.97183218,296187.408,3236550.585
106,str3,21.97183218,296197.9413,3236531.303
107,str3,21.97183218,296208.4745,3236512.021
108,str3,21.97183218,296219.0078,3236492.738
109,str3,21.97183218,296229.541,3236473.456
110,str3,21.97183218,296240.0743,3236454.173
111,str3,21.97183218,296250.6075,3236434.891
112,str3,21.97183218,296261.1408,3236415.608
113,str3,21.97183218,296271.674,3236396.326
114,str3,21.97183218,296282.2073,3236377.044
115,str3,21.97183218,296029.6408,3236796.635
116,str3,21.97183218,296039.9788,3236777.247
117,str3,21.97183218,296050.3168,3236757.86
118,str3,21.97183218,296060.6548,3236738.472
119,str3,21.97183218,296070.9929,3236719.084
120,str3,21.97183218,295945.2306,3237037.185
121,str3,21.97183218,295950.1393,3237015.768
122,str3,21.97183218,295955.0481,3236994.352
123,str3,21.97183218,295959.9569,3236972.935
124,str3,21.97183218,295964.8656,3236951.519
125,str3,21.97183218,295969.7744,3236930.102
126,str3,21.97183218,295974.6831,3236908.686
