element_id,POLY_AREA,INSIDE_X,INSIDE_Y
1,220.7451312,293949.0935,3239386.717
2,718.2244511,294368.3325,3239259.675
3,946.2977402,294410.4231,3239166.369
4,221.9069629,294487.5056,3239057.946
5,416.1464692,294547.2259,3239023.664
6,279.6939353,294587.9091,3238986.835
7,425.3123286,294625.3662,3238933.195
8a,688.6861667,294683.9696,3238914.68
8b,516.3627038,294718.6763,3238833.78
9a,137.1859339,294776.2766,3238787.789
9b,1849.66382,294872.227,3238703.678
10a,1678.032183,295059.6839,3238564.158
10b,888.707183,295166.3534,3238421.713
11a,443.8528621,295235.4585,3238302.286
11b,1301.37928,295294.0044,3238218.882
12,1556.087204,295421.8521,3238070.311
13,911.3539675,295539.8052,3237919.172
14,912.5542518,295646.5524,3237814.674
15,1601.069232,295777.3419,3237697.31
16,1704.72491,295912.5084,3237522.967
17,1486.569544,295961.4321,3236966.499
18,1058.19672,296049.9826,3236758.486
19,2786.341748,296212.6899,3236504.304
20,2411.405348,296403.2449,3235974.332
21,2146.589082,296536.7717,3235683.642
22,2165.919881,296687.9641,3235430.411
