"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"1197",4233,0,1178,10.20909858,298352.7771,3238085.733,298357.8816,3238085.733,298362.9862,3238085.733
"4636",10610,0,2638,2.6742636,299246.4375,3235910.986,299246.4375,3235912.323,299246.4375,3235913.66
"903",3939,0,1022,7.012006668,298392.1246,3237185.733,298395.6306,3237185.733,298399.1366,3237185.733
"1835",4871,0,1475,32.48374067,297522.0398,3239039.733,297538.2817,3239039.733,297554.5235,3239039.733
"4933",10907,0,2741,17.8346608,299452.4375,3236080.486,299452.4375,3236089.404,299452.4375,3236098.321
"1021",4057,0,1092,12.82523451,298485.7336,3237647.733,298492.1462,3237647.733,298498.5588,3237647.733
"2451",5487,0,1766,37.75230532,297456.4375,3239358.948,297456.4375,3239377.824,297456.4375,3239396.701
"261",1262,0,441,13.56962009,299300.4479,3235831.733,299307.2328,3235831.733,299314.0176,3235831.733
"4895",10869,0,2704,9.686796248,299378.4375,3235841.358,299378.4375,3235846.201,299378.4375,3235851.044
"2153",5189,0,1620,19.01234263,297449.4305,3239377.733,297458.9367,3239377.733,297468.4429,3239377.733
"786",3822,0,994,11.56378366,298475.501,3237129.733,298481.2829,3237129.733,298487.0648,3237129.733
"2026",5062,0,1551,33.06031531,297604.4196,3239191.733,297620.9497,3239191.733,297637.4799,3239191.733
"354",1532,0,483,28.60481688,299295.551,3235919.733,299309.8535,3235919.733,299324.1559,3235919.733
"4316",10290,0,2550,31.72399562,299070.4375,3235930.655,299070.4375,3235946.517,299070.4375,3235962.379
"4731",10705,0,2663,14.17497627,299296.4375,3235809.995,299296.4375,3235817.082,299296.4375,3235824.17
"2417",5453,0,1736,9.255158884,297637.8242,3239609.733,297642.4518,3239609.733,297647.0793,3239609.733
"1011",4047,0,1087,10.60056254,298480.1616,3237637.733,298485.4619,3237637.733,298490.7621,3237637.733
"2369",5405,0,1697,31.81694921,297783.3187,3239531.733,297799.2271,3239531.733,297815.1356,3239531.733
"4285",10259,0,2540,54.06805451,299050.4375,3235526.231,299050.4375,3235553.265,299050.4375,3235580.299
"1819",4855,0,1469,10.46673991,297878.1534,3239027.733,297883.3868,3239027.733,297888.6201,3239027.733
"3298",6938,0,2186,7.920785524,298296.4375,3238446.297,298296.4375,3238450.257,298296.4375,3238454.218
"4575",10549,0,2622,25.10450295,299214.4375,3235988.631,299214.4375,3236001.184,299214.4375,3236013.736
"1611",4647,0,1368,33.06175852,298377.6007,3238613.733,298394.1316,3238613.733,298410.6625,3238613.733
"1310",4346,0,1260,20.4525296,298336.8771,3238397.733,298347.1034,3238397.733,298357.3297,3238397.733
"4166",8979,0,2332,5.288725991,298588.4375,3237150.301,298588.4375,3237152.946,298588.4375,3237155.59
"986",4022,0,1072,14.69441916,298592.9124,3237285.733,298600.2596,3237285.733,298607.6068,3237285.733
"2045",5081,0,1559,59.96486167,297892.2933,3239207.733,297922.2758,3239207.733,297952.2582,3239207.733
"3182",6713,0,2149,33.4439514,298222.4375,3238493.89,298222.4375,3238510.612,298222.4375,3238527.334
"84",541,0,294,24.20532713,298867.2714,3235537.733,298879.3741,3235537.733,298891.4768,3235537.733
"2678",5714,0,1877,61.21648292,297678.4375,3239376.748,297678.4375,3239407.356,297678.4375,3239437.964
"4622",10596,0,2634,6.247480534,299238.4375,3236086.382,299238.4375,3236089.506,299238.4375,3236092.63
"3516",7503,0,2231,8.482049716,298386.4375,3237217.861,298386.4375,3237222.102,298386.4375,3237226.343
"4247",10159,0,2479,15.20649459,298882.4375,3235505.762,298882.4375,3235513.365,298882.4375,3235520.968
"1141",4177,0,1145,27.80302266,298545.4058,3237753.733,298559.3073,3237753.733,298573.2089,3237753.733
"2440",5476,0,1757,28.63805548,297644.4376,3239697.733,297658.7566,3239697.733,297673.0756,3239697.733
"3214",6777,0,2159,9.310682729,298242.4375,3238317.146,298242.4375,3238321.801,298242.4375,3238326.456
"1400",4436,0,1293,8.393715889,298305.2187,3238463.733,298309.4156,3238463.733,298313.6124,3238463.733
"2411",5447,0,1730,16.0739853,297640.149,3239597.733,297648.186,3239597.733,297656.223,3239597.733
"287",1324,0,455,32.00872585,299335.9191,3235863.733,299351.9234,3235863.733,299367.9278,3235863.733
"2552",5588,0,1839,24.04919737,297602.4375,3239393.427,297602.4375,3239405.452,297602.4375,3239417.477
"4103",8745,0,2316,4.4217117,298556.4375,3237751.339,298556.4375,3237753.55,298556.4375,3237755.76
