"","FID","Id","ORIG_FID","LENGTH","START_X","START_Y","MID_X","MID_Y","END_X","END_Y"
"1956",4992,0,1528,31.9418541,297572.6707,3239145.733,297588.6416,3239145.733,297604.6125,3239145.733
"1195",4231,0,1177,10.1475164,298352.9637,3238083.733,298358.0374,3238083.733,298363.1112,3238083.733
"4230",10113,0,2471,28.7067365,298866.4375,3235508.285,298866.4375,3235522.639,298866.4375,3235536.992
"2022",5058,0,1549,65.83113375,297833.1723,3239187.733,297866.0878,3239187.733,297899.0034,3239187.733
"1544",4580,0,1340,37.70673665,298427.3351,3238557.733,298446.1884,3238557.733,298465.0418,3238557.733
"1370",4406,0,1282,39.31872544,298178.7634,3238441.733,298198.4228,3238441.733,298218.0822,3238441.733
"1698",4734,0,1406,14.25959715,298494.9731,3238689.733,298502.1029,3238689.733,298509.2327,3238689.733
"1059",4095,0,1112,33.58477167,298398.2611,3237687.733,298415.0535,3237687.733,298431.8459,3237687.733
"4342",10316,0,2558,36.76936831,299086.4375,3235568.109,299086.4375,3235586.493,299086.4375,3235604.878
"3626",7713,0,2248,46.86227629,298420.4375,3238636.025,298420.4375,3238659.456,298420.4375,3238682.888
"1095",4131,0,1127,23.5047043,298461.7847,3237717.733,298473.537,3237717.733,298485.2894,3237717.733
"4266",10240,0,2526,14.01717666,299022.4375,3236060.007,299022.4375,3236067.016,299022.4375,3236074.024
"1326",4362,0,1271,18.25205369,298334.1337,3238419.733,298343.2598,3238419.733,298352.3858,3238419.733
"4254",10177,0,2482,42.22186847,298888.4375,3235384.242,298888.4375,3235405.353,298888.4375,3235426.464
"3871",8162,0,2280,12.47145906,298484.4375,3237632.413,298484.4375,3237638.649,298484.4375,3237644.885
"15",363,0,227,31.56563744,298859.0366,3235403.733,298874.8194,3235403.733,298890.6022,3235403.733
"4034",8511,0,2302,12.04391282,298528.4375,3237695.682,298528.4375,3237701.704,298528.4375,3237707.726
"1196",4232,0,1177,17.77808127,298432.5327,3238083.733,298441.4218,3238083.733,298450.3108,3238083.733
"4598",10572,0,2628,38.16314025,299226.4375,3235523.94,299226.4375,3235543.021,299226.4375,3235562.103
"132",631,0,306,21.51684037,298869.6848,3235561.733,298880.4433,3235561.733,298891.2017,3235561.733
"2999",6152,0,1976,21.66331188,297876.4375,3239032.901,297876.4375,3239043.732,297876.4375,3239054.564
"1119",4155,0,1137,25.58915995,298507.3529,3237737.733,298520.1475,3237737.733,298532.942,3237737.733
"3383",7090,0,2198,28.11156296,298320.4375,3238519.13,298320.4375,3238533.186,298320.4375,3238547.241
"2282",5318,0,1665,27.04616286,297619.1913,3239467.733,297632.7144,3239467.733,297646.2375,3239467.733
"3630",7721,0,2249,27.02288374,298422.4375,3238423.936,298422.4375,3238437.448,298422.4375,3238450.959
"803",3839,0,998,14.90157966,298431.8531,3237137.733,298439.3039,3237137.733,298446.7547,3237137.733
"1689",4725,0,1403,11.91247749,298495.6865,3238683.733,298501.6428,3238683.733,298507.599,3238683.733
"4089",8702,0,2314,17.44812425,298552.4375,3237229.926,298552.4375,3237238.65,298552.4375,3237247.374
"3391",7112,0,2200,11.55752968,298324.4375,3238230.983,298324.4375,3238236.762,298324.4375,3238242.54
"2269",5305,0,1660,10.86809125,298050.3096,3239457.733,298055.7436,3239457.733,298061.1777,3239457.733
"525",1892,0,527,38.7883785,299180.7823,3236007.733,299200.1765,3236007.733,299219.5707,3236007.733
"1212",4248,0,1187,14.22453644,298383.0421,3238107.733,298390.1543,3238107.733,298397.2666,3238107.733
"292",1335,0,457,10.80161489,299294.3414,3235867.733,299299.7422,3235867.733,299305.143,3235867.733
"2608",5644,0,1855,52.99048806,297634.4375,3239183.49,297634.4375,3239209.985,297634.4375,3239236.481
"3389",7103,0,2199,27.15018365,298322.4375,3238518.85,298322.4375,3238532.425,298322.4375,3238546
"609",2159,0,555,38.01078683,299301.0065,3236063.733,299320.0119,3236063.733,299339.0173,3236063.733
"2974",6116,0,1965,11.26467175,297854.4375,3239046.401,297854.4375,3239052.034,297854.4375,3239057.666
"2259",5295,0,1656,16.63555366,297966.9712,3239449.733,297975.2889,3239449.733,297983.6067,3239449.733
"73",521,0,291,33.28388778,299045.1785,3235531.733,299061.8205,3235531.733,299078.4624,3235531.733
"1633",4669,0,1382,13.89281763,298279.9404,3238641.733,298286.8869,3238641.733,298293.8333,3238641.733
"3266",6877,0,2179,55.90718038,298282.4375,3238533.207,298282.4375,3238561.161,298282.4375,3238589.114
"3851",8128,0,2278,23.17468761,298480.4375,3237698.013,298480.4375,3237709.6,298480.4375,3237721.187
"4218",9186,0,2352,13.62355814,298628.4375,3237134.805,298628.4375,3237141.616,298628.4375,3237148.428
"1584",4620,0,1351,14.19602251,298484.3099,3238579.733,298491.4079,3238579.733,298498.5059,3238579.733
"3215",6778,0,2159,18.84918194,298242.4375,3238459.647,298242.4375,3238469.071,298242.4375,3238478.496
"792",3828,0,995,26.90790654,298572.6343,3237131.733,298586.0882,3237131.733,298599.5422,3237131.733
"378",1573,0,488,111.7738014,299080.3772,3235929.733,299136.2641,3235929.733,299192.151,3235929.733
"461",1744,0,512,19.41217389,299076.9558,3235977.733,299086.6619,3235977.733,299096.3679,3235977.733
"3681",7809,0,2257,12.93063015,298438.4375,3237133.603,298438.4375,3237140.069,298438.4375,3237146.534
"3230",6810,0,2164,19.68538136,298252.4375,3238456.233,298252.4375,3238466.076,298252.4375,3238475.918
"365",1549,0,485,31.51617142,299292.6859,3235923.733,299308.444,3235923.733,299324.2021,3235923.733
