"","SEG","ELEMENT","LENGTH","START_X","START_Y","TRANS_NUM","TOT_LEN"
"1",54,"str2",22.43571837,295774.1782,3237700.887,3,67.30715511
"2",59,"str2",22.43571837,295625.4799,3237836.082,3,67.30715511
"3",45,"str2",22.43571837,295902.6945,3237537.557,1,22.43571837
"4",51,"str2",22.43571837,295729.5928,3237751.31,5,112.17859185
"5",57,"str2",22.43571837,295818.7637,3237650.465,4,89.74287348
"6",64,"str2",22.43571837,295529.2706,3237933.114,1,22.43571837
"7",62,"str2",22.43571837,295672.6959,3237788.115,4,89.74287348
"8",63,"str2",22.43571837,295515.733,3237951.005,5,112.17859185
"9",56,"str2",22.43571837,295803.9018,3237667.273,4,89.74287348
"10",55,"str2",22.43571837,295789.04,3237684.08,1,22.43571837
"11",48,"str2",22.43571837,295922.566,3237477.166,3,67.30715511
"12",46,"str2",22.43571837,295915.2166,3237518.941,4,89.74287348
"13",66,"str2",22.43571837,295556.3459,3237897.331,3,67.30715511
"14",58,"str2",22.43571837,295833.6255,3237633.658,3,67.30715511
"15",52,"str2",22.43571837,295744.4546,3237734.502,2,44.87143674
"16",60,"str2",22.43571837,295641.2186,3237820.093,5,112.17859185
"17",47,"str2",22.43571837,295924.572,3237499.512,4,89.74287348
"18",49,"str2",22.43571837,295920.5601,3237454.82,4,89.74287348
"19",42,"str2",22.43571837,295865.1282,3237593.405,5,112.17859185
"20",44,"str2",22.43571837,295890.1724,3237556.173,3,67.30715511
"21",53,"str2",22.43571837,295759.3164,3237717.695,5,112.17859185
"22",50,"str2",22.43571837,295918.5542,3237432.474,3,67.30715511
"23",61,"str2",22.43571837,295656.9572,3237804.104,1,22.43571837
"24",43,"str2",22.43571837,295877.6503,3237574.789,4,89.74287348
"25",65,"str2",22.43571837,295542.8083,3237915.223,2,44.87143674
