,FID,Id,ORIG_FID,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,ROCK,HARVEST
4266,10240,0,2526,14.01717666,299022.4375,3236060.007,299022.4375,3236067.016,299022.4375,3236074.024,N_A,N
1326,4362,0,1271,18.25205369,298334.1337,3238419.733,298343.2598,3238419.733,298352.3858,3238419.733,N_A,N
4254,10177,0,2482,42.22186847,298888.4375,3235384.242,298888.4375,3235405.353,298888.4375,3235426.464,N_A,N
3871,8162,0,2280,12.47145906,298484.4375,3237632.413,298484.4375,3237638.649,298484.4375,3237644.885,N_A,N
15,363,0,227,31.56563744,298859.0366,3235403.733,298874.8194,3235403.733,298890.6022,3235403.733,N_A,N
4034,8511,0,2302,12.04391282,298528.4375,3237695.682,298528.4375,3237701.704,298528.4375,3237707.726,N_A,N
1196,4232,0,1177,17.77808127,298432.5327,3238083.733,298441.4218,3238083.733,298450.3108,3238083.733,N_A,N
4598,10572,0,2628,38.16314025,299226.4375,3235523.94,299226.4375,3235543.021,299226.4375,3235562.103,N_A,N
132,631,0,306,21.51684037,298869.6848,3235561.733,298880.4433,3235561.733,298891.2017,3235561.733,N_A,N
2999,6152,0,1976,21.66331188,297876.4375,3239032.901,297876.4375,3239043.732,297876.4375,3239054.564,N_A,N
1119,4155,0,1137,25.58915995,298507.3529,3237737.733,298520.1475,3237737.733,298532.942,3237737.733,N_A,N
498,628,0,306,23.7337608,298578.1715,3235561.733,298590.0383,3235561.733,298601.9052,3235561.733,N_A,Y
89,88,0,57,28.53412804,297733.3628,3234653.733,297747.6299,3234653.733,297761.8969,3234653.733,N_A,Y
2513,3256,0,771,12.6140928,298621.2079,3236495.733,298627.5149,3236495.733,298633.822,3236495.733,N_A,Y
5522,9842,0,2421,31.54447579,298766.4375,3235609.42,298766.4375,3235625.193,298766.4375,3235640.965,N_A,Y
68,67,0,46,52.54806832,297850.781,3234631.733,297877.0551,3234631.733,297903.3291,3234631.733,N_A,Y
799,1054,0,393,16.88419928,298841.3321,3235735.733,298849.7742,3235735.733,298858.2163,3235735.733,N_A,Y
3278,6419,0,2075,34.10873325,298074.4375,3235330.304,298074.4375,3235347.358,298074.4375,3235364.412,N_A,Y
5372,9675,0,2403,34.29983337,298730.4375,3235946.88,298730.4375,3235964.03,298730.4375,3235981.18,N_A,Y
1931,2674,0,634,10.76442701,298305.1816,3236221.733,298310.5638,3236221.733,298315.946,3236221.733,N_A,Y
