locality,site,bar,org_stn,station,transect,easting,northing
BT,I,1,N_A,BTI1,1,297451.39,3239371.28
BT,I,2,N_A,BTI2,1,297602.88,3239521.37
BT,I,2,N_A,BTI2,2,297608.18,3239489.24
BT,I,3,N_A,BTI3,1,297639.28,3239405.34
BT,I,3,N_A,BTI3,2,297700.04,3239366.05
BT,I,4,N_A,BTI4,1,297570.57,3239128.37
BT,I,4,N_A,BTI4,2,297493.07,3239007.67
BT,I,5,N_A,BTI5,1,297870.12,3239060.07
BT,I,5,N_A,BTI5,2,297849.72,3239052.73
BT,I,6,N_A,BTI6,1,297803.91,3239165.99
LC,I,1,N_A,LCI1,1,299270.63,3235939.14
LC,I,1,N_A,LCI1,2,299310.72,3235934.00
LC,I,10,N_A,LCI10,1,298612.31,3236029.47
LC,I,10,N_A,LCI10,2,298626.21,3236033.66
LC,I,11,N_A,LCI11,1,298325.03,3236027.90
LC,I,12,N_A,LCI12,1,298203.47,3236058.88
LC,I,13,N_A,LCI13,1,298178.98,3235894.12
LC,I,13,N_A,LCI13,2,298071.96,3235858.32
LC,I,14,N_A,LCI14,1,298231.73,3235759.03
LC,I,15,N_A,LCI15,1,298364.87,3235648.02
LC,I,16,N_A,LCI16,1,298524.76,3235404.61
LC,I,17,N_A,LCI17,1,298249.81,3235237.63
LC,I,18,N_A,LCI18,1,298324.41,3235228.55
LC,I,18,N_A,LCI18,2,298374.53,3235178.88
LC,I,19,N_A,LCI19,1,298355.31,3235126.00
LC,I,2,N_A,LCI2,1,298834.61,3235772.77
LC,I,3,N_A,LCI3,1,298753.87,3235648.91
LC,I,4,N_A,LCI4,1,298267.92,3235749.52
LC,I,5,N_A,LCI5,1,298712.48,3235931.25
LC,I,6,N_A,LCI6,1,298833.36,3235992.31
LC,I,7,N_A,LCI7,1,299137.58,3235586.71
LC,I,8,N_A,LCI8,1,298847.85,3236120.66
LC,I,9,N_A,LCI9,1,298701.60,3236257.39
LC,N,1,N_A,LCN1,1,298382.14,3236562.38
LC,N,2,N_A,LCN2,1,298660.90,3236646.15
LC,N,3,N_A,LCN3,1,298533.39,3236724.90
LC,N,4,N_A,LCN4,1,298839.24,3236651.87
LC,N,5,N_A,LCN5,1,298792.05,3236773.55
LC,N,6,N_A,LCN6,1,297915.91,3234582.77
LC,N,7,N_A,LCN7,1,298678.67,3236815.46
LC,N,8,N_A,LCN8,1,298617.44,3236550.46
LC,N,9,N_A,LCN9,1,297247.25,3233315.21
LC,O,10A,N_A,LCO10A,1,295018.32,3238589.14
LC,O,10A,N_A,LCO10A,2,295018.79,3238590.75
LC,O,10A,N_A,LCO10A,3,295020.24,3238593.29
LC,O,10A,N_A,LCO10A,4,295020.90,3238594.72
LC,O,10A,N_A,LCO10A,5,295021.92,3238597.41
LC,O,11B,N_A,LCO11B,1,295300.69,3238213.19
LC,O,11B,N_A,LCO11B,2,295301.99,3238214.19
LC,O,11B,N_A,LCO11B,3,295303.16,3238214.96
LC,O,12,N_A,LCO12,1,295407.77,3238079.65
LC,O,12,N_A,LCO12,2,295409.03,3238080.75
LC,O,12,N_A,LCO12,3,295410.15,3238081.78
LC,O,12,N_A,LCO12,4,295412.39,3238083.97
LC,O,12,N_A,LCO12,5,295414.69,3238085.64
LC,O,13,N_A,LCO13,1,295517.83,3237942.77
LC,O,13,N_A,LCO13,2,295519.83,3237943.84
LC,O,13,N_A,LCO13,3,295521.56,3237944.92
LC,O,14,N_A,LCO14,1,295644.91,3237813.11
LC,O,14,N_A,LCO14,2,295646.23,3237814.55
LC,O,14,N_A,LCO14,3,295648.33,3237816.59
LC,O,15,N_A,LCO15,1,295721.06,3237755.35
LC,O,15,N_A,LCO15,2,295723.04,3237756.37
LC,O,15,N_A,LCO15,3,295724.10,3237758.24
LC,O,15,N_A,LCO15,4,295726.27,3237759.14
LC,O,15,N_A,LCO15,5,295728.39,3237759.91
LC,O,15,N_A,LCO15,6,295761.65,3237708.51
LC,O,15,N_A,LCO15,7,295765.77,3237712.69
LC,O,15,N_A,LCO15,8,295767.41,3237714.28
LC,O,16,N_A,LCO16,1,295897.55,3237546.98
LC,O,16,N_A,LCO16,2,295921.95,3237460.99
LC,O,16,N_A,LCO16,3,295924.04,3237459.85
LC,O,17,N_A,LCO17,1,295955.19,3236972.93
LC,O,17,N_A,LCO17,2,295958.92,3236974.07
LC,O,19,N_A,LCO19,1,296172.45,3236569.42
LC,O,19,N_A,LCO19,2,296174.13,3236570.64
LC,O,19,N_A,LCO19,3,296175.70,3236571.69
LC,O,19,N_A,LCO19,4,296177.66,3236572.51
LC,O,19,N_A,LCO19,5,296179.45,3236573.24
LC,O,2,N_A,LCO2,1,294365.28,3239264.62
LC,O,20,N_A,LCO20,1,296364.13,3236036.62
LC,O,20,N_A,LCO20,2,296365.83,3236037.88
LC,O,20,N_A,LCO20,3,296367.78,3236038.72
LC,O,21,N_A,LCO21,1,296512.96,3235721.55
LC,O,21,N_A,LCO21,2,296514.60,3235722.26
LC,O,21,N_A,LCO21,3,296518.52,3235724.11
LC,O,21,N_A,LCO21,4,296569.58,3235605.42
LC,O,21,N_A,LCO21,5,296575.08,3235607.72
LC,O,21,N_A,LCO21,6,296576.56,3235608.36
LC,O,3,N_A,LCO3,1,294409.76,3239178.19
LC,O,4,N_A,LCO4,1,294475.00,3239058.00
LC,O,8A,N_A,LCO8A,1,294686.62,3238948.82
LC,O,9B,N_A,LCO9B,1,294832.57,3238747.68
LC,O,9B,N_A,LCO9B,2,294833.97,3238749.11
