"","station","X","season","treatment","locality.x","site.x","bar.x","count_live","tran_length","area","density","strata","locality.y","site.y","bar.y","org_stn","transect","easting","northing"
"1","BTI1",1,"Winter","control","BT","I","1",897,23,3.51,255.91,"N_NA","BT","I","1","N_A",1,297451.39,3239371.28
"2","BTI2",2,"Winter","control","BT","I","2",1108,38.65,5.89,188.11,"N_NA","BT","I","2","N_A",1,297602.88,3239521.37
"3","BTI3",3,"Winter","control","BT","I","3",1326,39.9,6.08,218.06,"N_NA","BT","I","3","N_A",1,297639.28,3239405.34
"4","BTI4",4,"Winter","control","BT","I","4",627.5,55.8,8.5,73.79,"N_NA","BT","I","4","N_A",1,297570.57,3239128.37
"5","BTI5",5,"Winter","control","BT","I","5",3988,62.69,9.55,417.42,"N_NA","BT","I","5","N_A",1,297870.12,3239060.07
"6","BTI6",6,"Winter","control","BT","I","6",815.5,17.75,2.71,301.47,"N_NA","BT","I","6","N_A",1,297803.91,3239165.99
"7","LCI1",7,"Winter","control","LC","I","1",1650,45.39,6.92,238.53,"N_NA","LC","I","1","N_A",1,299270.63,3235939.14
"8","LCI10",8,"Winter","control","LC","I","10",1686,38.2,5.82,289.61,"Y_NA","LC","I","10","N_A",1,298612.31,3236029.47
"9","LCI11",9,"Winter","control","LC","I","11",302,17.86,2.72,110.95,"Y_NA","LC","I","11","N_A",1,298325.03,3236027.9
"10","LCI12",10,"Winter","control","LC","I","12",1106,36.09,5.5,201.09,"Y_NA","LC","I","12","N_A",1,298203.47,3236058.88
"11","LCI13",11,"Winter","control","LC","I","13",3421.5,71.3,10.87,314.88,"Y_NA","LC","I","13","N_A",1,298178.98,3235894.12
"12","LCI14",12,"Winter","control","LC","I","14",1501,22.75,3.47,432.93,"Y_NA","LC","I","14","N_A",1,298231.73,3235759.03
"13","LCI15",13,"Winter","control","LC","I","15",638,20.8,3.17,201.27,"Y_NA","LC","I","15","N_A",1,298364.87,3235648.02
"14","LCI16",14,"Winter","control","LC","I","16",427.5,24.04,3.66,116.69,"Y_NA","LC","I","16","N_A",1,298524.76,3235404.61
"15","LCI17",15,"Winter","control","LC","I","17",189,14.65,2.23,84.65,"Y_NA","LC","I","17","N_A",1,298249.81,3235237.63
"16","LCI18",16,"Winter","control","LC","I","18",1813,68.16,10.39,174.54,"Y_NA","LC","I","18","N_A",1,298324.41,3235228.55
"17","LCI19",17,"Winter","control","LC","I","19",153,22.21,3.38,45.2,"Y_NA","LC","I","19","N_A",1,298355.31,3235126
"18","LCI2",18,"Winter","control","LC","I","2",1534,32.2,4.91,312.6,"Y_NA","LC","I","2","N_A",1,298834.61,3235772.77
"19","LCI3",19,"Winter","control","LC","I","3",1104,23.8,3.63,304.37,"Y_NA","LC","I","3","N_A",1,298753.87,3235648.91
"20","LCI4",20,"Winter","control","LC","I","4",1909,22.5,3.43,556.72,"Y_NA","LC","I","4","N_A",1,298267.92,3235749.52
"21","LCI5",21,"Winter","control","LC","I","5",942,20.4,3.11,303,"Y_NA","LC","I","5","N_A",1,298712.48,3235931.25
"22","LCI6",22,"Winter","control","LC","I","6",454,21.5,3.28,138.56,"Y_NA","LC","I","6","N_A",1,298833.36,3235992.31
"23","LCI7",23,"Winter","control","LC","I","7",853,21.66,3.3,258.41,"N_NA","LC","I","7","N_A",1,299137.58,3235586.71
"24","LCI8",24,"Winter","control","LC","I","8",96,19,2.9,33.15,"Y_NA","LC","I","8","N_A",1,298847.85,3236120.66
"25","LCI9",25,"Winter","control","LC","I","9",695,22.24,3.39,205.05,"Y_NA","LC","I","9","N_A",1,298701.6,3236257.39
"26","LCN1",26,"Winter","control","LC","N","1",109,29.86,4.55,23.95,"Y_NA","LC","N","1","N_A",1,298382.14,3236562.38
"27","LCN2",27,"Winter","control","LC","N","2",693,32.77,4.99,138.76,"Y_NA","LC","N","2","N_A",1,298660.9,3236646.15
"28","LCN3",28,"Winter","control","LC","N","3",146,19.9,3.03,48.14,"Y_NA","LC","N","3","N_A",1,298533.39,3236724.9
"29","LCN4",29,"Winter","control","LC","N","4",35,22,3.35,10.44,"Y_NA","LC","N","4","N_A",1,298839.24,3236651.87
"30","LCN5",30,"Winter","control","LC","N","5",700,21.75,3.31,211.18,"Y_NA","LC","N","5","N_A",1,298792.05,3236773.55
"31","LCN6",31,"Winter","control","LC","N","6",2275,32.4,4.94,460.74,"Y_NA","LC","N","6","N_A",1,297915.91,3234582.77
"32","LCN7",32,"Winter","control","LC","N","7",611,13.3,2.03,301.44,"Y_NA","LC","N","7","N_A",1,298678.67,3236815.46
"33","LCN8",33,"Winter","control","LC","N","8",58,17.5,2.67,21.75,"Y_NA","LC","N","8","N_A",1,298617.44,3236550.46
"34","LCN9",34,"Winter","control","LC","N","9",4,36.12,5.5,0.73,"Y_NA","LC","N","9","N_A",1,297247.25,3233315.21
"35","LCO10A",45,"Winter","rocks","LC","O","10A",1619,113.4,17.28,93.68,"N_LG","LC","O","10A","N_A",1,295018.32,3238589.14
"36","LCO11B",46,"Winter","rocks","LC","O","11B",276,66.77,10.18,27.12,"N_LG","LC","O","11B","N_A",1,295300.69,3238213.19
"37","LCO12",47,"Winter","rocks","LC","O","12",358.5,111.86,17.05,21.03,"N_LG","LC","O","12","N_A",1,295407.77,3238079.65
"38","LCO13",48,"Winter","rocks","LC","O","13",3678,62.55,9.53,385.83,"N_SM","LC","O","13","N_A",1,295517.83,3237942.77
"39","LCO14",49,"Winter","rocks","LC","O","14",4612,70.11,10.68,431.64,"N_SM","LC","O","14","N_A",1,295644.91,3237813.11
"40","LCO15",50,"Winter","rocks","LC","O","15",3390.5,169.84,25.88,130.99,"N_SM","LC","O","15","N_A",1,295721.06,3237755.35
"41","LCO16",51,"Winter","rocks","LC","O","16",301.5,68.91,10.5,28.71,"N_SM","LC","O","16","N_A",1,295897.55,3237546.98
"42","LCO17",52,"Winter","rocks","LC","O","17",209,45.37,6.91,30.23,"Y_SM","LC","O","17","N_A",1,295955.19,3236972.93
"43","LCO19",53,"Winter","rocks","LC","O","19",557.5,116.31,17.73,31.45,"Y_SM","LC","O","19","N_A",1,296172.45,3236569.42
"44","LCO2",54,"Winter","rocks","LC","O","2",945,20.86,3.18,297.26,"N_LG","LC","O","2","N_A",1,294365.28,3239264.62
"45","LCO20",55,"Winter","rocks","LC","O","20",385,87.12,13.28,29,"Y_SM","LC","O","20","N_A",1,296364.13,3236036.62
"46","LCO21",56,"Winter","rocks","LC","O","21",714,129.01,19.66,36.32,"Y_SM","LC","O","21","N_A",1,296512.96,3235721.55
"47","LCO3",57,"Winter","rocks","LC","O","3",358,18.02,2.75,130.36,"N_LG","LC","O","3","N_A",1,294409.76,3239178.19
"48","LCO4",58,"Winter","rocks","LC","O","4",953,22.1,3.37,282.95,"N_LG","LC","O","4","N_A",1,294475,3239058
"49","LCO8A",59,"Winter","rocks","LC","O","8A",319,15.2,2.32,137.71,"N_LG","LC","O","8A","N_A",1,294686.62,3238948.82
"50","LCO9B",60,"Winter","rocks","LC","O","9B",674.5,115.78,17.64,38.23,"N_LG","LC","O","9B","N_A",1,294832.57,3238747.68
"51","LCO9C",61,"Winter","rocks","LC","O","9C",1161,111.2,16.95,68.51,"N_LG","LC","O","9C","N_A",1,294903.28,3238662.02
"52","LTI1",35,"Winter","control","LT","I","1",692,29.8,4.54,152.37,"N_NA","LT","I","1","N_A",1,298129.97,3238437.88
"53","LTI2",36,"Winter","control","LT","I","2",190,22.68,3.46,54.97,"N_NA","LT","I","2","N_A",1,298226.44,3238332.86
"54","LTI3",37,"Winter","control","LT","I","3",883,37.5,5.71,154.51,"N_NA","LT","I","3","N_A",1,298345.01,3238420.86
"55","LTI4",38,"Winter","control","LT","I","4",1323,34.84,5.31,249.17,"N_NA","LT","I","4","N_A",1,298304.61,3238558.1
"56","LTI5",39,"Winter","control","LT","I","5",1412,38.75,5.91,239.1,"N_NA","LT","I","5","N_A",1,298225.2,3238537.18
"57","LTI6",40,"Winter","control","LT","I","6",594,18.87,2.88,206.55,"N_NA","LT","I","6","N_A",1,298209.35,3238512.48
"58","NNI1",41,"Winter","control","NN","I","1",233.5,14.5,2.21,105.67,"N_NA","NN","I","1","N_A",1,298531.17,3237228.28
"59","NNI2",42,"Winter","control","NN","I","2",911,22.85,3.48,261.61,"N_NA","NN","I","2","N_A",1,298470.87,3237718.28
"60","NNI3",43,"Winter","control","NN","I","3",156,33,5.03,31.02,"N_NA","NN","I","3","N_A",1,298409.47,3237706.06
"61","NNI4",44,"Winter","control","NN","I","4",571,13.3,2.03,281.71,"N_NA","NN","I","4","N_A",1,298555.71,3237812.12
