"","QUESTION","STATION","TRANSECT","EPOCH","ROCK","HARVEST","LENGTH_M","TYPE","X","Y","LABEL"
"21",2,"LCI23",1,3,NA,"N",28.7067365,"TRAN_ST",298866.4375,3235508.285,"LCI23-1"
"59",2,"LCO12",8,3,"ROCK","N",22,"TRAN_ST",295455.9826,3238032.784,"LCO12-8"
"22",2,"LCI24",1,3,NA,"N",36.76936831,"TRAN_ST",299086.4375,3235568.109,"LCI24-1"
"23",2,"LTI10",1,3,NA,"N",14.25959715,"TRAN_ST",298494.9731,3238689.733,"LTI10-1"
"25",2,"LTI7",1,3,NA,"N",10.1475164,"TRAN_ST",298352.9637,3238083.733,"LTI7-1"
"52",2,"LCO10A",14,3,"ROCK","N",22,"TRAN_ST",295093.3504,3238508.208,"LCO10A-14"
"51",2,"LCO10A",13,3,"ROCK","N",22,"TRAN_ST",295093.3504,3238508.208,"LCO10A-13"
"64",2,"LCO16",6,3,"ROCK","N",22,"TRAN_ST",295924.572,3237499.512,"LCO16-6"
"45",2,"LCO10A",7,3,"ROCK","N",22,"TRAN_ST",295003.6349,3238603.097,"LCO10A-7"
"49",2,"LCO10A",11,3,"ROCK","N",22,"TRAN_ST",295093.3504,3238508.208,"LCO10A-11"
"55",2,"LCO11B",6,3,"ROCK","N",22,"TRAN_ST",295314.4128,3238196.611,"LCO11B-6"
"50",2,"LCO10A",12,3,"ROCK","N",22,"TRAN_ST",295093.3504,3238508.208,"LCO10A-12"
"35",2,"LCI25",1,3,NA,"Y",38.72542906,"TRAN_ST",298592.4375,3235531.694,"LCI25-1"
"65",2,"LCO16",7,3,"ROCK","N",22,"TRAN_ST",295924.572,3237499.512,"LCO16-7"
"57",2,"LCO12",6,3,"ROCK","N",22,"TRAN_ST",295455.9826,3238032.784,"LCO12-6"
"83",2,"LCO21",4,3,"ROCK","Y",22,"TRAN_ST",296496.7439,3235764.889,"LCO21-4"
"38",2,"LCI27",1,3,NA,"Y",11.60013806,"TRAN_ST",298284.3059,3235985.733,"LCI27-1"
"54",2,"LCO11B",5,3,"ROCK","N",22,"TRAN_ST",295314.4128,3238196.611,"LCO11B-5"
"73",2,"LCO19",6,3,"ROCK","Y",22,"TRAN_ST",296271.674,3236396.326,"LCO19-6"
"30",2,"LCN10",1,3,NA,"Y",42.16801054,"TRAN_ST",297756.4375,3234623.527,"LCN10-1"
"58",2,"LCO12",7,3,"ROCK","N",22,"TRAN_ST",295455.9826,3238032.784,"LCO12-7"
"86",2,"LCO21",7,3,"ROCK","Y",22,"TRAN_ST",296555.0063,3235646.631,"LCO21-7"
"36",2,"LCN3",3,3,NA,"Y",45.19152195,"TRAN_ST",298500.7661,3236727.733,"LCN3-3"
"53",2,"LCO11A",1,3,"ROCK","N",22,"TRAN_ST",295240.3202,3238286.631,"LCO11A-1"
"39",2,"LCI14",2,3,NA,"Y",25.64268039,"TRAN_ST",298216.2823,3235737.733,"LCI14-2"
"41",2,"LCI20",2,3,NA,"Y",12.10293262,"TRAN_ST",298559.7002,3236311.733,"LCI20-2"
"76",2,"LCO19",9,3,"ROCK","Y",22,"TRAN_ST",296282.2073,3236377.044,"LCO19-9"
"80",2,"LCO20",6,3,"ROCK","Y",22,"TRAN_ST",296439.9619,3235905.892,"LCO20-6"
"26",2,"LTI8",1,3,NA,"N",37.70673665,"TRAN_ST",298427.3351,3238557.733,"LTI8-1"
"48",2,"LCO10A",10,3,"ROCK","N",22,"TRAN_ST",295069.1958,3238555.305,"LCO10A-10"
"87",2,"LCO21",8,3,"ROCK","Y",22,"TRAN_ST",296555.0063,3235646.631,"LCO21-8"
"46",2,"LCO10A",8,3,"ROCK","N",22,"TRAN_ST",295003.6349,3238603.097,"LCO10A-8"
"34",2,"LCI20",3,3,NA,"Y",14.43775043,"TRAN_ST",298535.6675,3236383.733,"LCI20-3"
"44",2,"LCO10A",6,3,"ROCK","N",22,"TRAN_ST",295003.6349,3238603.097,"LCO10A-6"
"61",2,"LCO12",10,3,"ROCK","N",22,"TRAN_ST",295455.9826,3238032.784,"LCO12-10"
"71",2,"LCO18",1,3,"ROCK","Y",22,"TRAN_ST",296029.6408,3236796.635,"LCO18-1"
"88",2,"LCO21",9,3,"ROCK","Y",22,"TRAN_ST",296555.0063,3235646.631,"LCO21-9"
"68",2,"LCO9B",13,3,"ROCK","N",22,"TRAN_ST",294808.4493,3238766.633,"LCO9B-13"
"47",2,"LCO10A",9,3,"ROCK","N",22,"TRAN_ST",295003.6349,3238603.097,"LCO10A-9"
"28",2,"NNI3",3,3,NA,"N",33.58477167,"TRAN_ST",298398.2611,3237687.733,"NNI3-3"
"81",2,"LCO20",7,3,"ROCK","Y",22,"TRAN_ST",296439.9619,3235905.892,"LCO20-7"
"40",2,"LCI20",1,3,NA,"Y",24.34192403,"TRAN_ST",298530.4375,3236396.941,"LCI20-1"
"42",2,"LCI21",1,3,NA,"Y",16.05160372,"TRAN_ST",298538.2289,3235769.733,"LCI21-1"
"78",2,"LCO20",4,3,"ROCK","Y",22,"TRAN_ST",296408.8006,3235963.976,"LCO20-4"
"66",2,"LCO9B",11,3,"ROCK","N",22,"TRAN_ST",294808.4493,3238766.633,"LCO9B-11"
"70",2,"LCO9B",15,3,"ROCK","N",22,"TRAN_ST",294881.0141,3238688.276,"LCO9B-15"
"85",2,"LCO21",6,3,"ROCK","Y",22,"TRAN_ST",296555.0063,3235646.631,"LCO21-6"
"74",2,"LCO19",7,3,"ROCK","Y",22,"TRAN_ST",296271.674,3236396.326,"LCO19-7"
"27",2,"LTI9",1,3,NA,"N",39.31872544,"TRAN_ST",298178.7634,3238441.733,"LTI9-1"
"82",2,"LCO20",8,3,"ROCK","Y",22,"TRAN_ST",296439.9619,3235905.892,"LCO20-8"
"31",2,"LCN2",2,3,NA,"Y",25.69587788,"TRAN_ST",298670.4375,3236625.243,"LCN2-2"
"33",2,"LCI3",2,3,NA,"Y",62.00082367,"TRAN_ST",298715.9975,3235621.733,"LCI3-2"
"75",2,"LCO19",8,3,"ROCK","Y",22,"TRAN_ST",296271.674,3236396.326,"LCO19-8"
"89",2,"LCO21",10,3,"ROCK","Y",22,"TRAN_ST",296564.7167,3235626.921,"LCO21-10"
"43",2,"LCN3",2,3,NA,"Y",28.97966465,"TRAN_ST",298506.4375,3236712.895,"LCN3-2"
"32",2,"LCI22",1,3,NA,"Y",12.32264133,"TRAN_ST",298341.6638,3235967.733,"LCI22-1"
"90",2,"LCO21",11,3,"ROCK","Y",22,"TRAN_ST",296564.7167,3235626.921,"LCO21-11"
"19",2,"BTI4",3,3,NA,"N",31.9418541,"TRAN_ST",297572.6707,3239145.733,"BTI4-3"
"77",2,"LCO19",10,3,"ROCK","Y",22,"TRAN_ST",296282.2073,3236377.044,"LCO19-10"
"63",2,"LCO16",5,3,"ROCK","N",22,"TRAN_ST",295924.572,3237499.512,"LCO16-5"
"67",2,"LCO9B",12,3,"ROCK","N",22,"TRAN_ST",294808.4493,3238766.633,"LCO9B-12"
"24",2,"LTI11",1,3,NA,"N",46.86227629,"TRAN_ST",298420.4375,3238636.025,"LTI11-1"
"91",2,"LCO21",12,3,"ROCK","Y",22,"TRAN_ST",296564.7167,3235626.921,"LCO21-12"
"72",2,"LCO18",2,3,"ROCK","Y",22,"TRAN_ST",296029.6408,3236796.635,"LCO18-2"
"20",2,"BTI5",3,3,NA,"N",65.83113375,"TRAN_ST",297833.1723,3239187.733,"BTI5-3"
"37",2,"LCI26",1,3,NA,"Y",34.81076877,"TRAN_ST",298331.2937,3235273.733,"LCI26-1"
"56",2,"LCO11B",7,3,"ROCK","N",22,"TRAN_ST",295314.4128,3238196.611,"LCO11B-7"
"84",2,"LCO21",5,3,"ROCK","Y",22,"TRAN_ST",296555.0063,3235646.631,"LCO21-5"
"29",2,"NNI2",2,3,NA,"N",23.5047043,"TRAN_ST",298461.7847,3237717.733,"NNI2-2"
"62",2,"LCO16",4,3,"ROCK","N",22,"TRAN_ST",295924.572,3237499.512,"LCO16-4"
"60",2,"LCO12",9,3,"ROCK","N",22,"TRAN_ST",295455.9826,3238032.784,"LCO12-9"
