day,month,year,Season,treatment,locality,site,bar,station,count_live,tran_length
27,5,2010,Summer,control,CK,I,1,CKI1,1231,24.9
27,5,2010,Summer,control,CK,I,2,CKI2,540,29.2
27,5,2010,Summer,control,CK,I,3,CKI3,811,21.9
27,5,2010,Summer,control,CK,N,1,CKN1,350,15.3
27,5,2010,Summer,control,CK,N,2,CKN2,83,41
27,5,2010,Summer,control,CK,N,3,CKN3,940,16.5
27,5,2010,Summer,control,CK,O,1,CKO1,54,23.2
27,5,2010,Summer,control,CK,O,2,CKO2,26,25.7
27,5,2010,Summer,control,CK,O,3,CKO3,226,33
24,5,2010,Summer,control,CR,I,1,CRI1,711,23.4
27,5,2010,Summer,control,CR,I,2,CRI2,1089,18.6
27,5,2010,Summer,control,CR,I,3,CRI3,693,13.9
23,5,2010,Summer,control,CR,N,1,CRN1,136,20.3
24,5,2010,Summer,control,CR,N,2,CRN2,97,21.6
24,5,2010,Summer,control,CR,N,3,CRN3,1107,35
24,5,2010,Summer,control,CR,O,1,CRO1,318,50
24,5,2010,Summer,control,CR,O,2,CRO2,1664,45
24,5,2010,Summer,control,CR,O,3,CRO3,20,40
25,5,2010,Summer,control,HB,I,1,HBI1,1211,32.5
25,5,2010,Summer,control,HB,I,2,HBI2,1152,16
25,5,2010,Summer,control,HB,I,3,HBI3,1314,26
25,5,2010,Summer,control,HB,I,4,HBI4,93,17.5
25,5,2010,Summer,control,HB,N,1,HBN1,46,18.1
25,5,2010,Summer,control,HB,N,2,HBN2,14,23.3
25,5,2010,Summer,control,HB,N,3,HBN3,45,16.5
25,5,2010,Summer,control,HB,O,1,HBO1,4,31.2
25,5,2010,Summer,control,HB,O,2,HBO2,11,15.6
25,5,2010,Summer,control,HB,O,3,HBO3,62,50
26,5,2010,Summer,control,LC,I,1,LCI1,611,20
26,5,2010,Summer,control,LC,I,2,LCI2,771,20.3
26,5,2010,Summer,control,LC,I,3,LCI3,619,20
26,5,2010,Summer,control,LC,N,1,LCN1,40,12.3
