QUESTION,STATION,TRANSECT,ROCK,HARVEST,LENGTH_M,TYPE,X,Y,LABEL
1,LCO10A,1,ROCK,N,22,TRAN_END,295037.8,3238578.18,LCO10A-1
1,LCO10A,1,ROCK,N,22,TRAN_ST,295018.32,3238589.14,LCO10A-1
1,LCO10A,2,ROCK,N,22,TRAN_END,295038.57,3238579.58,LCO10A-2
1,LCO10A,2,ROCK,N,22,TRAN_ST,295018.79,3238590.75,LCO10A-2
1,LCO10A,3,ROCK,N,22,TRAN_END,295040.2,3238582.07,LCO10A-3
1,LCO10A,3,ROCK,N,22,TRAN_ST,295020.24,3238593.29,LCO10A-3
1,LCO10A,4,ROCK,N,22,TRAN_END,295040.76,3238583.44,LCO10A-4
1,LCO10A,4,ROCK,N,22,TRAN_ST,295020.9,3238594.72,LCO10A-4
1,LCO10A,5,ROCK,N,22,TRAN_END,295042.29,3238585.94,LCO10A-5
1,LCO10A,5,ROCK,N,22,TRAN_ST,295021.92,3238597.41,LCO10A-5
1,LCO11B,1,ROCK,N,22,TRAN_END,295316.16,3238196.9,LCO11B-1
1,LCO11B,1,ROCK,N,22,TRAN_ST,295300.69,3238213.19,LCO11B-1
1,LCO11B,2,ROCK,N,22,TRAN_END,295317.29,3238197.98,LCO11B-2
1,LCO11B,2,ROCK,N,22,TRAN_ST,295301.99,3238214.19,LCO11B-2
1,LCO11B,3,ROCK,N,22,TRAN_END,295318.37,3238198.76,LCO11B-3
1,LCO11B,3,ROCK,N,22,TRAN_ST,295303.16,3238214.96,LCO11B-3
1,LCO12,1,ROCK,N,22,TRAN_END,295422.45,3238062.8,LCO12-1
1,LCO12,1,ROCK,N,22,TRAN_ST,295407.77,3238079.65,LCO12-1
1,LCO12,2,ROCK,N,22,TRAN_END,295423.61,3238063.57,LCO12-2
1,LCO12,2,ROCK,N,22,TRAN_ST,295409.03,3238080.75,LCO12-2
1,LCO12,3,ROCK,N,22,TRAN_END,295424.83,3238064.54,LCO12-3
1,LCO12,3,ROCK,N,22,TRAN_ST,295410.15,3238081.78,LCO12-3
1,LCO12,4,ROCK,N,22,TRAN_END,295427.14,3238066.53,LCO12-4
1,LCO12,4,ROCK,N,22,TRAN_ST,295412.39,3238083.97,LCO12-4
1,LCO12,5,ROCK,N,22,TRAN_END,295429.2,3238068.78,LCO12-5
1,LCO12,5,ROCK,N,22,TRAN_ST,295414.69,3238085.64,LCO12-5
1,LCO9C,1,ROCK,N,22,TRAN_END,294921.61,3238648.78,LCO9C-1
1,LCO9C,1,ROCK,N,22,TRAN_ST,294903.28,3238662.02,LCO9C-1
1,LCO9C,2,ROCK,N,22,TRAN_END,294922.51,3238650.04,LCO9C-2
1,LCO9C,2,ROCK,N,22,TRAN_ST,294904.01,3238663.09,LCO9C-2
1,LCO9C,3,ROCK,N,22,TRAN_END,294923.33,3238651.41,LCO9C-3
1,LCO9C,3,ROCK,N,22,TRAN_ST,294905.08,3238664.31,LCO9C-3
1,LCO9C,4,ROCK,N,22,TRAN_END,294924.24,3238652.57,LCO9C-4
1,LCO9C,4,ROCK,N,22,TRAN_ST,294905.97,3238665.53,LCO9C-4
1,LCO9C,5,ROCK,N,22,TRAN_END,294925.02,3238653.54,LCO9C-5
1,LCO9C,5,ROCK,N,22,TRAN_ST,294906.73,3238666.82,LCO9C-5
2,BTI4,3,NA,N,32,TRAN_END,297604.6125,3239145.733,BTI4-3
2,BTI4,3,NA,N,32,TRAN_ST,297572.6707,3239145.733,BTI4-3
2,BTI5,3,NA,N,66,TRAN_END,297899.0034,3239187.733,BTI5-3
2,BTI5,3,NA,N,66,TRAN_ST,297833.1723,3239187.733,BTI5-3
2,LCI14,2,NA,Y,26,TRAN_END,298241.9249,3235737.733,LCI14-2
2,LCI14,2,NA,Y,26,TRAN_ST,298216.2823,3235737.733,LCI14-2
2,LCI20,1,NA,Y,24,TRAN_END,298530.4375,3236421.283,LCI20-1
2,LCI20,1,NA,Y,24,TRAN_ST,298530.4375,3236396.941,LCI20-1
2,LCI20,2,NA,Y,12,TRAN_END,298571.8031,3236311.733,LCI20-2
2,LCI20,2,NA,Y,12,TRAN_ST,298559.7002,3236311.733,LCI20-2
2,LCI20,3,NA,Y,14,TRAN_END,298550.1052,3236383.733,LCI20-3
2,LCI20,3,NA,Y,14,TRAN_ST,298535.6675,3236383.733,LCI20-3
2,LCI21,1,NA,Y,16,TRAN_END,298554.2805,3235769.733,LCI21-1
2,LCI21,1,NA,Y,16,TRAN_ST,298538.2289,3235769.733,LCI21-1
2,LCI22,1,NA,Y,12,TRAN_END,298353.9864,3235967.733,LCI22-1
2,LCI22,1,NA,Y,12,TRAN_ST,298341.6638,3235967.733,LCI22-1
2,LCI23,1,NA,N,29,TRAN_END,298866.4375,3235536.992,LCI23-1
2,LCI23,1,NA,N,29,TRAN_ST,298866.4375,3235508.285,LCI23-1
2,LCI24,1,NA,N,37,TRAN_END,299086.4375,3235604.878,LCI24-1
2,LCI24,1,NA,N,37,TRAN_ST,299086.4375,3235568.109,LCI24-1
2,LCI25,1,NA,Y,39,TRAN_END,298592.4375,3235570.42,LCI25-1
2,LCI25,1,NA,Y,39,TRAN_ST,298592.4375,3235531.694,LCI25-1
2,LCI26,1,NA,Y,35,TRAN_END,298366.1045,3235273.733,LCI26-1
2,LCI26,1,NA,Y,35,TRAN_ST,298331.2937,3235273.733,LCI26-1
2,LCI27,1,NA,Y,12,TRAN_END,298295.9061,3235985.733,LCI27-1
2,LCI27,1,NA,Y,12,TRAN_ST,298284.3059,3235985.733,LCI27-1
2,LCI3,2,NA,Y,62,TRAN_END,298777.9984,3235621.733,LCI3-2
2,LCI3,2,NA,Y,62,TRAN_ST,298715.9975,3235621.733,LCI3-2
2,LCN10,1,NA,Y,42,TRAN_END,297756.4375,3234665.695,LCN10-1
2,LCN10,1,NA,Y,42,TRAN_ST,297756.4375,3234623.527,LCN10-1
2,LCN2,2,NA,Y,26,TRAN_END,298670.4375,3236650.939,LCN2-2
2,LCN2,2,NA,Y,26,TRAN_ST,298670.4375,3236625.243,LCN2-2
2,LCN3,2,NA,Y,29,TRAN_END,298506.4375,3236741.875,LCN3-2
2,LCN3,2,NA,Y,29,TRAN_ST,298506.4375,3236712.895,LCN3-2
2,LCN3,3,NA,Y,45,TRAN_END,298545.9577,3236727.733,LCN3-3
2,LCN3,3,NA,Y,45,TRAN_ST,298500.7661,3236727.733,LCN3-3
2,LCO10A,6,ROCK,N,22,TRAN_ST,295003.6349,3238603.097,LCO10A-6
2,LCO10A,7,ROCK,N,22,TRAN_ST,295003.6349,3238603.097,LCO10A-7
2,LCO10A,8,ROCK,N,22,TRAN_ST,295003.6349,3238603.097,LCO10A-8
2,LCO10A,9,ROCK,N,22,TRAN_ST,295003.6349,3238603.097,LCO10A-9
2,LCO10A,10,ROCK,N,22,TRAN_ST,295069.1958,3238555.305,LCO10A-10
2,LCO10A,11,ROCK,N,22,TRAN_ST,295093.3504,3238508.208,LCO10A-11
2,LCO10A,12,ROCK,N,22,TRAN_ST,295093.3504,3238508.208,LCO10A-12
2,LCO10A,13,ROCK,N,22,TRAN_ST,295093.3504,3238508.208,LCO10A-13
2,LCO10A,14,ROCK,N,22,TRAN_ST,295093.3504,3238508.208,LCO10A-14
