"","Date.Time","Water.Level","Sigma","O","F","R","L","Quality"
"22940","2014-01-03 13:54",-2.051,0.013,0,0,0,0,"v"
"22941","2014-01-03 14:00",-2.126,0.013,0,0,0,0,"v"
"22942","2014-01-03 14:06",-2.195,0.01,0,0,0,0,"v"
"22943","2014-01-03 14:12",-2.247,0.007,0,0,0,0,"v"
"22944","2014-01-03 14:18",-2.303,0.01,0,0,0,0,"v"
"22945","2014-01-03 14:24",-2.343,0.007,0,0,0,0,"v"
"22946","2014-01-03 14:30",-2.379,0.007,0,0,0,0,"v"
"22947","2014-01-03 14:36",-2.415,0.007,0,0,0,0,"v"
"22948","2014-01-03 14:42",-2.428,0.007,0,0,0,0,"v"
"22949","2014-01-03 14:48",-2.434,0.007,0,0,0,0,"v"
"22950","2014-01-03 14:54",-2.438,0.007,0,0,0,0,"v"
"22951","2014-01-03 15:00",-2.451,0.007,0,0,0,0,"v"
"22952","2014-01-03 15:06",-2.451,0.007,0,0,0,0,"v"
"22953","2014-01-03 15:12",-2.431,0.02,0,0,0,0,"v"
"22954","2014-01-03 15:18",-2.428,0.007,0,0,0,0,"v"
"22955","2014-01-03 15:24",-2.405,0.007,0,0,0,0,"v"
"22956","2014-01-03 15:30",-2.372,0.016,0,0,0,0,"v"
"22957","2014-01-03 15:36",-2.369,0.007,0,0,0,0,"v"
"22958","2014-01-03 15:42",-2.349,0.007,0,0,0,0,"v"
"22959","2014-01-03 15:48",-2.3,0.007,0,0,0,0,"v"
"22960","2014-01-03 15:54",-2.283,0.01,0,0,0,0,"v"
"22961","2014-01-03 16:00",-2.26,0.007,0,0,0,0,"v"
"22962","2014-01-03 16:06",-2.224,0.02,0,0,0,0,"v"
"22963","2014-01-03 16:12",-2.172,0.013,0,0,0,0,"v"
"22964","2014-01-03 16:18",-2.096,0.013,0,0,0,0,"v"
"22965","2014-01-03 16:24",-2.018,0.01,0,0,0,0,"v"
"39013","2015-01-08 13:12",-2.005,0.01,0,0,0,0,"v"
"39014","2015-01-08 13:18",-2.067,0.007,0,0,0,0,"v"
"39015","2015-01-08 13:24",-2.116,0.007,0,0,0,0,"v"
"39016","2015-01-08 13:30",-2.159,0.007,0,0,0,0,"v"
"39017","2015-01-08 13:36",-2.201,0.003,0,0,0,0,"v"
"39018","2015-01-08 13:42",-2.238,0.007,0,0,0,0,"v"
"39019","2015-01-08 13:48",-2.277,0.007,0,0,0,0,"v"
"39020","2015-01-08 13:54",-2.31,0.007,0,0,0,0,"v"
"39021","2015-01-08 14:00",-2.343,0.007,0,0,0,0,"v"
"39022","2015-01-08 14:06",-2.362,0.003,0,0,0,0,"v"
"39023","2015-01-08 14:12",-2.379,0.003,0,0,0,0,"v"
"39024","2015-01-08 14:18",-2.385,0.003,0,0,0,0,"v"
"39025","2015-01-08 14:24",-2.388,0.003,0,0,0,0,"v"
"39026","2015-01-08 14:30",-2.382,0.003,0,0,0,0,"v"
"39027","2015-01-08 14:36",-2.362,0.003,0,0,0,0,"v"
"39028","2015-01-08 14:42",-2.339,0.007,0,0,0,0,"v"
"39029","2015-01-08 14:48",-2.313,0.003,0,0,0,0,"v"
"39030","2015-01-08 14:54",-2.287,0.003,0,0,0,0,"v"
"39031","2015-01-08 15:00",-2.27,0.003,0,0,0,0,"v"
"39032","2015-01-08 15:06",-2.26,0.003,0,0,0,0,"v"
"39033","2015-01-08 15:12",-2.244,0,0,0,0,0,"v"
"39034","2015-01-08 15:18",-2.211,0.003,0,0,0,0,"v"
"39035","2015-01-08 15:24",-2.175,0.007,0,0,0,0,"v"
"39036","2015-01-08 15:30",-2.126,0.007,0,0,0,0,"v"
"39037","2015-01-08 15:36",-2.06,0.01,0,0,0,0,"v"
"82202","2018-01-02 12:06",-2.064,0.01,0,0,0,0,"p"
"82203","2018-01-02 12:12",-2.142,0.013,0,0,0,0,"p"
"82204","2018-01-02 12:18",-2.205,0.007,1,0,0,0,"p"
"82205","2018-01-02 12:24",-2.267,0.007,1,0,0,0,"p"
"82206","2018-01-02 12:30",-2.323,0.007,1,0,0,0,"p"
"82207","2018-01-02 12:36",-2.369,0.007,0,0,0,0,"p"
"82208","2018-01-02 12:42",-2.421,0.01,1,0,0,0,"p"
"82209","2018-01-02 12:48",-2.48,0.007,1,0,0,0,"p"
"82210","2018-01-02 12:54",-2.533,0.01,0,0,0,0,"p"
