Date Time, Water Level, Sigma, O, F, R, L, Quality 
2016-12-01 00:00,2.651,0.007,0,0,0,0,v
2016-12-01 00:06,2.625,0.010,0,0,0,0,v
2016-12-01 00:12,2.589,0.010,0,0,0,0,v
2016-12-01 00:18,2.549,0.010,0,0,0,0,v
2016-12-01 00:24,2.500,0.010,0,0,0,0,v
2016-12-01 00:30,2.461,0.007,0,0,0,0,v
2016-12-01 00:36,2.448,0.007,0,0,0,0,v
2016-12-01 00:42,2.444,0.010,0,0,0,0,v
2016-12-01 00:48,2.444,0.007,0,0,0,0,v
2016-12-01 00:54,2.438,0.010,0,0,0,0,v
2016-12-01 01:00,2.441,0.007,0,0,0,0,v
2016-12-01 01:06,2.444,0.007,0,0,0,0,v
2016-12-01 01:12,2.461,0.007,0,0,0,0,v
2016-12-01 01:18,2.484,0.007,0,0,0,0,v
2016-12-01 01:24,2.507,0.007,0,0,0,0,v
2016-12-01 01:30,2.523,0.007,0,0,0,0,v
2016-12-01 01:36,2.543,0.007,0,0,0,0,v
2016-12-01 01:42,2.579,0.007,0,0,0,0,v
2016-12-01 01:48,2.621,0.007,0,0,0,0,v
2016-12-01 01:54,2.677,0.010,0,0,0,0,v
2016-12-01 02:00,2.730,0.007,0,0,0,0,v
2016-12-01 02:06,2.776,0.010,0,0,0,0,v
2016-12-01 02:12,2.818,0.010,0,0,0,0,v
2016-12-01 02:18,2.864,0.007,0,0,0,0,v
2016-12-01 02:24,2.900,0.007,0,0,0,0,v
2016-12-01 02:30,2.943,0.010,0,0,0,0,v
2016-12-01 02:36,3.002,0.010,0,0,0,0,v
2016-12-01 02:42,3.048,0.010,0,0,0,0,v
2016-12-01 02:48,3.087,0.010,0,0,0,0,v
2016-12-01 02:54,3.143,0.010,0,0,0,0,v
2016-12-01 03:00,3.209,0.013,0,0,0,0,v
2016-12-01 03:06,3.274,0.010,0,0,0,0,v
2016-12-01 03:12,3.323,0.010,0,0,0,0,v
2016-12-01 03:18,3.392,0.010,0,0,0,0,v
2016-12-01 03:24,3.468,0.013,0,0,0,0,v
2016-12-01 03:30,3.537,0.010,0,0,0,0,v
2016-12-01 03:36,3.593,0.010,0,0,0,0,v
2016-12-01 03:42,3.668,0.013,0,0,0,0,v
2016-12-01 03:48,3.750,0.010,0,0,0,0,v
2016-12-01 03:54,3.829,0.010,0,0,0,0,v
2016-12-01 04:00,3.907,0.013,0,0,0,0,v
2016-12-01 04:06,3.980,0.010,0,0,0,0,v
2016-12-01 04:12,4.029,0.010,0,0,0,0,v
2016-12-01 04:18,4.091,0.010,0,0,0,0,v
2016-12-01 04:24,4.157,0.010,0,0,0,0,v
2016-12-01 04:30,4.222,0.013,0,0,0,0,v
2016-12-01 04:36,4.295,0.010,0,0,0,0,v
2016-12-01 04:42,4.347,0.010,0,0,0,0,v
2016-12-01 04:48,4.403,0.010,0,0,0,0,v
2016-12-01 04:54,4.495,0.010,0,0,0,0,v
2016-12-01 05:00,4.577,0.010,0,0,0,0,v
2016-12-01 05:06,4.626,0.007,0,0,0,0,v
2016-12-01 05:12,4.646,0.007,0,0,0,0,v
2016-12-01 05:18,4.685,0.013,0,0,0,0,v
2016-12-01 05:24,4.747,0.010,0,0,0,0,v
2016-12-01 05:30,4.800,0.010,0,0,0,0,v
2016-12-01 05:36,4.846,0.010,0,0,0,0,v
2016-12-01 05:42,4.895,0.010,0,0,0,0,v
2016-12-01 05:48,4.934,0.007,0,0,0,0,v
2016-12-01 05:54,4.961,0.010,0,0,0,0,v
2016-12-01 06:00,4.961,0.010,0,0,0,0,v
2016-12-01 06:06,4.961,0.010,0,0,0,0,v
2016-12-01 06:12,4.980,0.007,0,0,0,0,v
2016-12-01 06:18,4.997,0.010,0,0,0,0,v
2016-12-01 06:24,4.987,0.013,0,0,0,0,v
2016-12-01 06:30,4.993,0.010,0,0,0,0,v
2016-12-01 06:36,4.993,0.010,0,0,0,0,v
2016-12-01 06:42,5.000,0.010,0,0,0,0,v
2016-12-01 06:48,5.003,0.010,0,0,0,0,v
2016-12-01 06:54,4.984,0.010,0,0,0,0,v
2016-12-01 07:00,4.944,0.010,0,0,0,0,v
2016-12-01 07:06,4.905,0.013,0,0,0,0,v
2016-12-01 07:12,4.859,0.010,0,0,0,0,v
2016-12-01 07:18,4.820,0.010,0,0,0,0,v
2016-12-01 07:24,4.797,0.007,0,0,0,0,v
2016-12-01 07:30,4.770,0.010,0,0,0,0,v
2016-12-01 07:36,4.724,0.013,0,0,0,0,v
2016-12-01 07:42,4.692,0.007,0,0,0,0,v
2016-12-01 07:48,4.678,0.010,0,0,0,0,v
2016-12-01 07:54,4.610,0.010,0,0,0,0,v
2016-12-01 08:00,4.537,0.010,0,0,0,0,v
2016-12-01 08:06,4.508,0.010,0,0,0,0,v
2016-12-01 08:12,4.459,0.010,0,0,0,0,v
2016-12-01 08:18,4.386,0.013,0,0,0,0,v
2016-12-01 08:24,4.321,0.013,0,0,0,0,v
2016-12-01 08:30,4.252,0.010,0,0,0,0,v
2016-12-01 08:36,4.193,0.010,0,0,0,0,v
2016-12-01 08:42,4.131,0.013,0,0,0,0,v
2016-12-01 08:48,4.049,0.013,0,0,0,0,v
2016-12-01 08:54,3.957,0.010,0,0,0,0,v
2016-12-01 09:00,3.875,0.013,0,0,0,0,v
2016-12-01 09:06,3.802,0.010,0,0,0,0,v
2016-12-01 09:12,3.720,0.010,0,0,0,0,v
2016-12-01 09:18,3.632,0.016,0,0,0,0,v
2016-12-01 09:24,3.543,0.013,0,0,0,0,v
2016-12-01 09:30,3.455,0.013,0,0,0,0,v
2016-12-01 09:36,3.376,0.013,0,0,0,0,v
2016-12-01 09:42,3.287,0.013,0,0,0,0,v
2016-12-01 09:48,3.199,0.013,0,0,0,0,v
2016-12-01 09:54,3.107,0.013,0,0,0,0,v
2016-12-01 10:00,3.005,0.013,0,0,0,0,v
2016-12-01 10:06,2.923,0.010,0,0,0,0,v
2016-12-01 10:12,2.831,0.013,0,0,0,0,v
2016-12-01 10:18,2.746,0.013,0,0,0,0,v
2016-12-01 10:24,2.644,0.013,0,0,0,0,v
2016-12-01 10:30,2.549,0.013,0,0,0,0,v
2016-12-01 10:36,2.444,0.013,0,0,0,0,v
2016-12-01 10:42,2.349,0.013,0,0,0,0,v
2016-12-01 10:48,2.260,0.013,0,0,0,0,v
2016-12-01 10:54,2.165,0.013,0,0,0,0,v
2016-12-01 11:00,2.067,0.013,0,0,0,0,v
2016-12-01 11:06,1.972,0.013,0,0,0,0,v
2016-12-01 11:12,1.877,0.013,0,0,0,0,v
2016-12-01 11:18,1.781,0.013,0,0,0,0,v
2016-12-01 11:24,1.696,0.000,0,0,0,0,v
2016-12-01 11:30,1.614,0.010,0,0,0,0,v
2016-12-01 11:36,1.535,0.010,0,0,0,0,v
2016-12-01 11:42,1.463,0.010,0,0,0,0,v
2016-12-01 11:48,1.398,0.013,0,0,0,0,v
2016-12-01 11:54,1.316,0.010,0,0,0,0,v
2016-12-01 12:00,1.243,0.010,0,0,0,0,v
2016-12-01 12:06,1.171,0.010,0,0,0,0,v
2016-12-01 12:12,1.096,0.010,0,0,0,0,v
2016-12-01 12:18,1.017,0.010,0,0,0,0,v
2016-12-01 12:24,0.935,0.010,0,0,0,0,v
2016-12-01 12:30,0.853,0.010,0,0,0,0,v
2016-12-01 12:36,0.774,0.010,0,0,0,0,v
2016-12-01 12:42,0.689,0.010,0,0,0,0,v
2016-12-01 12:48,0.614,0.010,0,0,0,0,v
2016-12-01 12:54,0.545,0.010,0,0,0,0,v
2016-12-01 13:00,0.469,0.010,0,0,0,0,v
2016-12-01 13:06,0.400,0.010,0,0,0,0,v
2016-12-01 13:12,0.338,0.010,0,0,0,0,v
2016-12-01 13:18,0.282,0.007,0,0,0,0,v
2016-12-01 13:24,0.230,0.007,0,0,0,0,v
2016-12-01 13:30,0.180,0.007,0,0,0,0,v
2016-12-01 13:36,0.148,0.003,0,0,0,0,v
2016-12-01 13:42,0.125,0.003,0,0,0,0,v
2016-12-01 13:48,0.102,0.003,0,0,0,0,v
2016-12-01 13:54,0.082,0.003,0,0,0,0,v
2016-12-01 14:00,0.069,0.003,0,0,0,0,v
2016-12-01 14:06,0.075,0.003,0,0,0,0,v
2016-12-01 14:12,0.089,0.003,0,0,0,0,v
2016-12-01 14:18,0.112,0.003,0,0,0,0,v
2016-12-01 14:24,0.144,0.003,0,0,0,0,v
2016-12-01 14:30,0.194,0.007,0,0,0,0,v
2016-12-01 14:36,0.240,0.003,0,0,0,0,v
2016-12-01 14:42,0.276,0.007,0,0,0,0,v
2016-12-01 14:48,0.312,0.003,0,0,0,0,v
2016-12-01 14:54,0.341,0.007,0,0,0,0,v
2016-12-01 15:00,0.394,0.007,0,0,0,0,v
2016-12-01 15:06,0.440,0.007,0,0,0,0,v
2016-12-01 15:12,0.479,0.007,0,0,0,0,v
2016-12-01 15:18,0.522,0.007,0,0,0,0,v
2016-12-01 15:24,0.577,0.007,0,0,0,0,v
2016-12-01 15:30,0.630,0.007,0,0,0,0,v
2016-12-01 15:36,0.689,0.007,0,0,0,0,v
2016-12-01 15:42,0.748,0.007,0,0,0,0,v
2016-12-01 15:48,0.804,0.007,0,0,0,0,v
2016-12-01 15:54,0.860,0.007,0,0,0,0,v
2016-12-01 16:00,0.919,0.010,0,0,0,0,v
2016-12-01 16:06,0.988,0.010,0,0,0,0,v
2016-12-01 16:12,1.053,0.010,0,0,0,0,v
2016-12-01 16:18,1.122,0.010,0,0,0,0,v
2016-12-01 16:24,1.201,0.016,0,0,0,0,v
2016-12-01 16:30,1.270,0.010,0,0,0,0,v
2016-12-01 16:36,1.342,0.010,0,0,0,0,v
2016-12-01 16:42,1.404,0.010,0,0,0,0,v
2016-12-01 16:48,1.463,0.010,0,0,0,0,v
2016-12-01 16:54,1.526,0.010,0,0,0,0,v
2016-12-01 17:00,1.591,0.010,0,0,0,0,v
2016-12-01 17:06,1.667,0.010,0,0,0,0,v
2016-12-01 17:12,1.752,0.010,0,0,0,0,v
2016-12-01 17:18,1.824,0.010,0,0,0,0,v
2016-12-01 17:24,1.906,0.013,0,0,0,0,v
2016-12-01 17:30,2.001,0.013,0,0,0,0,v
2016-12-01 17:36,2.087,0.010,0,0,0,0,v
2016-12-01 17:42,2.152,0.007,0,0,0,0,v
2016-12-01 17:48,2.208,0.007,0,0,0,0,v
2016-12-01 17:54,2.274,0.010,0,0,0,0,v
2016-12-01 18:00,2.369,0.013,0,0,0,0,v
2016-12-01 18:06,2.454,0.007,0,0,0,0,v
2016-12-01 18:12,2.503,0.007,0,0,0,0,v
2016-12-01 18:18,2.562,0.010,0,0,0,0,v
2016-12-01 18:24,2.628,0.010,0,0,0,0,v
2016-12-01 18:30,2.687,0.007,0,0,0,0,v
2016-12-01 18:36,2.730,0.010,0,0,0,0,v
2016-12-01 18:42,2.782,0.007,0,0,0,0,v
2016-12-01 18:48,2.835,0.007,0,0,0,0,v
2016-12-01 18:54,2.874,0.007,0,0,0,0,v
