Date Time, Water Level, Sigma, O, F, R, L, Quality 
2016-01-01 00:00,3.593,0.007,0,0,0,0,v
2016-01-01 00:06,3.566,0.010,0,0,0,0,v
2016-01-01 00:12,3.524,0.010,0,0,0,0,v
2016-01-01 00:18,3.471,0.010,0,0,0,0,v
2016-01-01 00:24,3.428,0.010,0,0,0,0,v
2016-01-01 00:30,3.386,0.010,0,0,0,0,v
2016-01-01 00:36,3.337,0.007,0,0,0,0,v
2016-01-01 00:42,3.287,0.007,0,0,0,0,v
2016-01-01 00:48,3.251,0.010,0,0,0,0,v
2016-01-01 00:54,3.215,0.007,0,0,0,0,v
2016-01-01 01:00,3.156,0.010,0,0,0,0,v
2016-01-01 01:06,3.104,0.010,0,0,0,0,v
2016-01-01 01:12,3.048,0.010,0,0,0,0,v
2016-01-01 01:18,2.986,0.010,0,0,0,0,v
2016-01-01 01:24,2.930,0.007,0,0,0,0,v
2016-01-01 01:30,2.894,0.007,0,0,0,0,v
2016-01-01 01:36,2.835,0.010,0,0,0,0,v
2016-01-01 01:42,2.766,0.010,0,0,0,0,v
2016-01-01 01:48,2.700,0.007,0,0,0,0,v
2016-01-01 01:54,2.651,0.007,0,0,0,0,v
2016-01-01 02:00,2.615,0.007,0,0,0,0,v
2016-01-01 02:06,2.575,0.007,0,0,0,0,v
2016-01-01 02:12,2.523,0.007,0,0,0,0,v
2016-01-01 02:18,2.477,0.010,0,0,0,0,v
2016-01-01 02:24,2.425,0.010,0,0,0,0,v
2016-01-01 02:30,2.359,0.013,0,0,0,0,v
2016-01-01 02:36,2.287,0.010,0,0,0,0,v
2016-01-01 02:42,2.231,0.007,0,0,0,0,v
2016-01-01 02:48,2.198,0.007,0,0,0,0,v
2016-01-01 02:54,2.162,0.007,0,0,0,0,v
2016-01-01 03:00,2.103,0.007,0,0,0,0,v
2016-01-01 03:06,2.047,0.007,0,0,0,0,v
2016-01-01 03:12,2.008,0.007,0,0,0,0,v
2016-01-01 03:18,1.978,0.007,0,0,0,0,v
2016-01-01 03:24,1.949,0.007,0,0,0,0,v
2016-01-01 03:30,1.916,0.007,0,0,0,0,v
2016-01-01 03:36,1.886,0.007,0,0,0,0,v
2016-01-01 03:42,1.850,0.007,0,0,0,0,v
2016-01-01 03:48,1.824,0.007,0,0,0,0,v
2016-01-01 03:54,1.798,0.007,0,0,0,0,v
2016-01-01 04:00,1.775,0.007,0,0,0,0,v
2016-01-01 04:06,1.749,0.007,0,0,0,0,v
2016-01-01 04:12,1.739,0.007,0,0,0,0,v
2016-01-01 04:18,1.729,0.007,0,0,0,0,v
2016-01-01 04:24,1.703,0.007,0,0,0,0,v
2016-01-01 04:30,1.680,0.007,0,0,0,0,v
2016-01-01 04:36,1.673,0.007,0,0,0,0,v
2016-01-01 04:42,1.683,0.007,0,0,0,0,v
2016-01-01 04:48,1.686,0.007,0,0,0,0,v
2016-01-01 04:54,1.699,0.007,0,0,0,0,v
2016-01-01 05:00,1.713,0.003,0,0,0,0,v
2016-01-01 05:06,1.719,0.003,0,0,0,0,v
2016-01-01 05:12,1.713,0.003,0,0,0,0,v
2016-01-01 05:18,1.709,0.007,0,0,0,0,v
2016-01-01 05:24,1.739,0.007,0,0,0,0,v
2016-01-01 05:30,1.785,0.007,0,0,0,0,v
2016-01-01 05:36,1.814,0.007,0,0,0,0,v
2016-01-01 05:42,1.847,0.003,0,0,0,0,v
2016-01-01 05:48,1.880,0.007,0,0,0,0,v
2016-01-01 05:54,1.926,0.007,0,0,0,0,v
2016-01-01 06:00,1.959,0.007,0,0,0,0,v
2016-01-01 06:06,2.001,0.007,0,0,0,0,v
2016-01-01 06:12,2.031,0.007,0,0,0,0,v
2016-01-01 06:18,2.067,0.003,0,0,0,0,v
2016-01-01 06:24,2.106,0.007,0,0,0,0,v
2016-01-01 06:30,2.146,0.007,0,0,0,0,v
2016-01-01 06:36,2.185,0.007,0,0,0,0,v
2016-01-01 06:42,2.228,0.003,0,0,0,0,v
2016-01-01 06:48,2.244,0.003,0,0,0,0,v
2016-01-01 06:54,2.267,0.007,0,0,0,0,v
2016-01-01 07:00,2.303,0.007,0,0,0,0,v
2016-01-01 07:06,2.349,0.007,0,0,0,0,v
2016-01-01 07:12,2.388,0.007,0,0,0,0,v
2016-01-01 07:18,2.434,0.010,0,0,0,0,v
2016-01-01 07:24,2.484,0.007,0,0,0,0,v
2016-01-01 07:30,2.543,0.010,0,0,0,0,v
2016-01-01 07:36,2.595,0.007,0,0,0,0,v
2016-01-01 07:42,2.641,0.007,0,0,0,0,v
2016-01-01 07:48,2.680,0.007,0,0,0,0,v
2016-01-01 07:54,2.717,0.007,0,0,0,0,v
2016-01-01 08:00,2.756,0.007,0,0,0,0,v
2016-01-01 08:06,2.799,0.007,0,0,0,0,v
2016-01-01 08:12,2.861,0.007,0,0,0,0,v
2016-01-01 08:18,2.913,0.007,0,0,0,0,v
2016-01-01 08:24,2.963,0.007,0,0,0,0,v
2016-01-01 08:30,2.999,0.007,0,0,0,0,v
2016-01-01 08:36,3.048,0.007,0,0,0,0,v
2016-01-01 08:42,3.091,0.007,0,0,0,0,v
2016-01-01 08:48,3.123,0.003,0,0,0,0,v
2016-01-01 08:54,3.150,0.007,0,0,0,0,v
2016-01-01 09:00,3.163,0.003,0,0,0,0,v
2016-01-01 09:06,3.192,0.010,0,0,0,0,v
2016-01-01 09:12,3.235,0.010,0,0,0,0,v
2016-01-01 09:18,3.261,0.007,0,0,0,0,v
2016-01-01 09:24,3.274,0.007,0,0,0,0,v
2016-01-01 09:30,3.268,0.007,0,0,0,0,v
2016-01-01 09:36,3.294,0.010,0,0,0,0,v
2016-01-01 09:42,3.333,0.007,0,0,0,0,v
2016-01-01 09:48,3.373,0.007,0,0,0,0,v
2016-01-01 09:54,3.376,0.000,1,0,0,0,v
2016-01-01 10:00,3.369,0.000,1,0,0,0,v
2016-01-01 10:06,3.369,0.010,0,0,0,0,v
2016-01-01 10:12,3.399,0.010,0,0,0,0,v
2016-01-01 10:18,3.422,0.010,0,0,0,0,v
2016-01-01 10:24,3.422,0.010,0,0,0,0,v
2016-01-01 10:30,3.412,0.007,0,0,0,0,v
2016-01-01 10:36,3.379,0.010,0,0,0,0,v
2016-01-01 10:42,3.356,0.007,0,0,0,0,v
2016-01-01 10:48,3.337,0.010,0,0,0,0,v
2016-01-01 10:54,3.340,0.007,0,0,0,0,v
2016-01-01 11:00,3.340,0.007,0,0,0,0,v
2016-01-01 11:06,3.314,0.010,0,0,0,0,v
2016-01-01 11:12,3.284,0.007,0,0,0,0,v
2016-01-01 11:18,3.268,0.007,0,0,0,0,v
2016-01-01 11:24,3.245,0.010,0,0,0,0,v
2016-01-01 11:30,3.202,0.007,0,0,0,0,v
2016-01-01 11:36,3.169,0.007,0,0,0,0,v
2016-01-01 11:42,3.143,0.003,0,0,0,0,v
2016-01-01 11:48,3.117,0.003,0,0,0,0,v
2016-01-01 11:54,3.091,0.007,0,0,0,0,v
2016-01-01 12:00,3.051,0.007,0,0,0,0,v
2016-01-01 12:06,3.015,0.007,0,0,0,0,v
2016-01-01 12:12,2.999,0.007,0,0,0,0,v
2016-01-01 12:18,2.969,0.007,0,0,0,0,v
2016-01-01 12:24,2.923,0.007,0,0,0,0,v
2016-01-01 12:30,2.874,0.010,0,0,0,0,v
2016-01-01 12:36,2.828,0.007,0,0,0,0,v
2016-01-01 12:42,2.785,0.007,0,0,0,0,v
2016-01-01 12:48,2.743,0.007,0,0,0,0,v
2016-01-01 12:54,2.703,0.007,0,0,0,0,v
2016-01-01 13:00,2.667,0.007,0,0,0,0,v
2016-01-01 13:06,2.628,0.007,0,0,0,0,v
2016-01-01 13:12,2.579,0.007,0,0,0,0,v
2016-01-01 13:18,2.546,0.007,0,0,0,0,v
2016-01-01 13:24,2.497,0.013,0,0,0,0,v
2016-01-01 13:30,2.438,0.007,0,0,0,0,v
2016-01-01 13:36,2.398,0.007,0,0,0,0,v
2016-01-01 13:42,2.369,0.007,0,0,0,0,v
2016-01-01 13:48,2.349,0.007,0,0,0,0,v
2016-01-01 13:54,2.300,0.010,0,0,0,0,v
