FID,point,elev_ft,transect,element,type,F8,POINT_X,POINT_Y,POINT_Z,POINT_M
0,417.000000000000000,-2.664000000000000,1.000000000000000,2.000000000000000,GS, ,294351.895635000020000,3239295.651459999800000,-2.664000000000000,1.000000000000000
1,418.000000000000000,-2.438000000000000,1.000000000000000,2.000000000000000,GS, ,294352.578633000030000,3239294.853089999900000,-2.438000000000000,1.000000000000000
2,419.000000000000000,-1.309000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294349.938643999980000,3239294.612569999900000,-1.309000000000000,1.000000000000000
3,420.000000000000000,-1.769000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294351.936155000000000,3239294.256550000000000,-1.769000000000000,1.000000000000000
4,421.000000000000000,-1.781000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294351.994045000000000,3239293.896370000200000,-1.781000000000000,1.000000000000000
5,422.000000000000000,-1.923000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294350.951371999980000,3239293.589780000000000,-1.923000000000000,1.000000000000000
6,423.000000000000000,-1.838000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294350.735173999970000,3239293.187729999900000,-1.838000000000000,1.000000000000000
7,424.000000000000000,-1.867000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294349.870167999990000,3239292.911630000000000,-1.867000000000000,1.000000000000000
8,425.000000000000000,-2.022000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294349.112499999990000,3239292.283160000100000,-2.022000000000000,1.000000000000000
9,426.000000000000000,-1.687000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294348.550251999990000,3239291.836519999900000,-1.687000000000000,1.000000000000000
10,427.000000000000000,-1.667000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294347.557919999990000,3239291.606620000200000,-1.667000000000000,1.000000000000000
11,428.000000000000000,-1.735000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294346.029209000000000,3239291.567850000200000,-1.735000000000000,1.000000000000000
12,429.000000000000000,-1.899000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294345.452845999970000,3239291.074690000200000,-1.899000000000000,1.000000000000000
13,430.000000000000000,-1.695000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294345.000555999980000,3239290.582599999800000,-1.695000000000000,1.000000000000000
14,431.000000000000000,-1.731000000000000,1.000000000000000,2.000000000000000,ROCK TOP, ,294344.719828000000000,3239289.905859999800000,-1.731000000000000,1.000000000000000
15,432.000000000000000,-2.554000000000000,1.000000000000000,2.000000000000000,GS, ,294344.509678000000000,3239289.569600000000000,-2.554000000000000,1.000000000000000
16,433.000000000000000,-2.500000000000000,2.000000000000000,2.000000000000000,GS, ,294354.763152999980000,3239274.807289999900000,-2.500000000000000,1.000000000000000
17,434.000000000000000,-1.756000000000000,2.000000000000000,2.000000000000000,ROCK TOP, ,294355.027938999990000,3239275.044929999900000,-1.756000000000000,1.000000000000000
