"","point","bar","station","date","POINT_X","POINT_Y","locality","site","elev_m"
"1","PC100","3","LCO3","9/5/2017 0:00",294390.4624,3239200.575,"LC","O",-0.576072
"2","PC1005","19","LCO19","9/6/2017 0:00",296170.2097,3236582.417,"LC","O",-0.71628
"3","PC101","3","LCO3","9/5/2017 0:00",294396.2803,3239202.58,"LC","O",-0.56388
"4","PC1039","19","LCO19","9/6/2017 0:00",296183.5605,3236559.505,"LC","O",-0.643128
"5","PC1057","19","LCO19","9/6/2017 0:00",296197.3871,3236526.622,"LC","O",-0.722376
"6","PC1058","19","LCO19","9/6/2017 0:00",296202.7837,3236529.627,"LC","O",-0.6858
"7","PC1077","19","LCO19","9/6/2017 0:00",296215.8368,3236506.124,"LC","O",-0.70104
"8","PC1078","19","LCO19","9/6/2017 0:00",296210.7168,3236502.671,"LC","O",-0.704088
"9","PC1098","19","LCO19","9/6/2017 0:00",296230.3773,3236473.668,"LC","O",-0.801624
"10","PC112","3","LCO3","9/5/2017 0:00",294409.0016,3239173.422,"LC","O",-0.707136
"11","PC1120","19","LCO19","9/6/2017 0:00",296242.8368,3236447.042,"LC","O",-0.856488
"12","PC113","3","LCO3","9/5/2017 0:00",294403.7827,3239170.177,"LC","O",-0.688848
"13","PC1141","19","LCO19","9/6/2017 0:00",296260.2453,3236420.267,"LC","O",-0.932688
"14","PC1158","11B","LCO11B","9/6/2017 0:00",295304.9897,3238207.485,"LC","O",-0.691896
"15","PC1173","11B","LCO11B","9/6/2017 0:00",295287.1069,3238222.257,"LC","O",-0.697992
"16","PC1174","11B","LCO11B","9/6/2017 0:00",295291.1407,3238227.017,"LC","O",-0.621792
"17","PC1185","11B","LCO11B","9/6/2017 0:00",295269.7893,3238241.813,"LC","O",-0.652272
"18","PC1201","11B","LCO11B","9/6/2017 0:00",295250.7913,3238272.713,"LC","O",-0.484632
"19","PC1213","10B","LCO10B","9/6/2017 0:00",295184.9315,3238401.636,"LC","O",-0.780288
"20","PC1227","10B","LCO10B","9/6/2017 0:00",295161.1343,3238422.735,"LC","O",-0.627888
"21","PC1228","10B","LCO10B","9/6/2017 0:00",295164.7994,3238427.867,"LC","O",-0.618744
"22","PC1242","10B","LCO10B","9/6/2017 0:00",295140.6056,3238453.931,"LC","O",-0.6096
"23","PC1243","10B","LCO10B","9/6/2017 0:00",295137.2045,3238448.657,"LC","O",-0.661416
"24","PC1282","19","LCO19","9/7/2017 0:00",296272.9463,3236395.858,"LC","O",-0.935736
"25","PC129","3","LCO3","9/5/2017 0:00",294420.5843,3239146.94,"LC","O",-0.676656
"26","PC1311","20","LCO20","9/7/2017 0:00",296368.1382,3236039.518,"LC","O",-1.018032
"27","PC1333","20","LCO20","9/7/2017 0:00",296378.5714,3236013.337,"LC","O",-0.880872
"28","PC1334","20","LCO20","9/7/2017 0:00",296383.1874,3236017.738,"LC","O",-0.917448
"29","PC1360","20","LCO20","9/7/2017 0:00",296397.3021,3235985.039,"LC","O",-0.798576
"30","PC1380","20","LCO20","9/7/2017 0:00",296409.8249,3235959.397,"LC","O",-0.819912
"31","PC1397","20","LCO20","9/7/2017 0:00",296427.4529,3235934.41,"LC","O",-0.74676
"32","PC1398","20","LCO20","9/7/2017 0:00",296422.498,3235930.651,"LC","O",-0.743712
"33","PC14","2","LCO2","9/5/2017 0:00",294365.6902,3239271.703,"LC","O",-0.652272
"34","PC140","3","LCO3","9/5/2017 0:00",294434.4285,3239121.491,"LC","O",-0.783336
"35","PC1420","20","LCO20","9/7/2017 0:00",296435.461,3235905.512,"LC","O",-0.722376
"36","PC1421","20","LCO20","9/7/2017 0:00",296441.1877,3235907.904,"LC","O",-0.725424
"37","PC1446","21","LCO21","9/7/2017 0:00",296513.3386,3235740.991,"LC","O",-0.826008
"38","PC1447","21","LCO21","9/7/2017 0:00",296508.111,3235737.777,"LC","O",-0.819912
"39","PC1467","21","LCO21","9/7/2017 0:00",296524.722,3235709.701,"LC","O",-0.813816
"40","PC1490","21","LCO21","9/7/2017 0:00",296537.993,3235681.712,"LC","O",-0.74676
"41","PC15","2","LCO2","9/5/2017 0:00",294359.115,3239270.616,"LC","O",-0.71628
"42","PC1515","21","LCO21","9/7/2017 0:00",296549.6359,3235654.761,"LC","O",-0.829056
"43","PC1532","21","LCO21","9/7/2017 0:00",296552.971,3235656.955,"LC","O",-0.88392
"44","PC1533","21","LCO21","9/7/2017 0:00",296547.6257,3235653.882,"LC","O",-0.86868
"45","PC1553","21","LCO21","9/7/2017 0:00",296564.5668,3235629.483,"LC","O",-0.847344
"46","PC1573","22","LCO22","9/7/2017 0:00",296647.5026,3235505.479,"LC","O",-0.938784
"47","PC1590","22","LCO22","9/7/2017 0:00",296664.1016,3235477.419,"LC","O",-0.917448
"48","PC1615","22","LCO22","9/7/2017 0:00",296676.2681,3235452.533,"LC","O",-0.847344
"49","PC1637","22","LCO22","9/7/2017 0:00",296692.5072,3235422.662,"LC","O",-0.768096
"50","PC1663","22","LCO22","9/7/2017 0:00",296704.3875,3235397.81,"LC","O",-0.737616
"51","PC1688","22","LCO22","9/7/2017 0:00",296704.4196,3235395.855,"LC","O",-0.74676
"52","PC1703","22","LCO22","9/7/2017 0:00",296715.2154,3235369.646,"LC","O",-0.722376
"53","PC1704","22","LCO22","9/7/2017 0:00",296720.3059,3235373.218,"LC","O",-0.722376
"54","PC1730","8B","LCO8B","9/7/2017 0:00",294716.074,3238835.7,"LC","O",-0.877824
"55","PC1731","8B","LCO8B","9/7/2017 0:00",294722.7443,3238834.006,"LC","O",-0.85344
"56","PC1743","9A","LCO9A","9/7/2017 0:00",294773.9383,3238789.616,"LC","O",-0.911352
"57","PC1744","9A","LCO9A","9/7/2017 0:00",294778.8359,3238785.944,"LC","O",-0.832104
"58","PC1758","8B","LCO8B","9/7/2017 0:00",294731.9672,3238815.674,"LC","O",-0.969264
"59","PC1759","8B","LCO8B","9/7/2017 0:00",294727.2324,3238818.424,"LC","O",-0.9144
"60","PC1763","7","LCO7","9/7/2017 0:00",294623.6164,3238922.592,"LC","O",-0.749808
"61","PC1764","7","LCO7","9/7/2017 0:00",294629.7569,3238922.753,"LC","O",-0.765048
"62","PC1772","8A","LCO8A","9/7/2017 0:00",294678.8734,3238925.315,"LC","O",-0.627888
"63","PC1773","8A","LCO8A","9/7/2017 0:00",294684.9738,3238926.128,"LC","O",-0.62484
"64","PC1784","6","LCO6","9/7/2017 0:00",294600.9373,3238979.684,"LC","O",-0.734568
"65","PC1785","6","LCO6","9/7/2017 0:00",294596.7143,3238984.189,"LC","O",-0.673608
"66","PC1792","5","LCO5","9/7/2017 0:00",294567.8273,3239016.082,"LC","O",-0.679704
"67","PC1793","5","LCO5","9/7/2017 0:00",294562.8447,3239019.8,"LC","O",-0.630936
"68","PC1794","5","LCO5","9/7/2017 0:00",294551.9887,3239025.005,"LC","O",-0.591312
"69","PC1795","5","LCO5","9/7/2017 0:00",294556.1664,3239020.552,"LC","O",-0.585216
"70","PC1801","6","LCO6","9/7/2017 0:00",294578.6152,3238991.122,"LC","O",-0.679704
