FID,point,depth_ft,date,POINT_X,POINT_Y
0,PC1,-4.54,9/5/2017 0:00,294360.7778,3239302.215
1,PC2,-4.25,9/5/2017 0:00,294354.9154,3239299.991
2,PC3,-2.25,9/5/2017 0:00,294350.8188,3239295.021
3,PC4,-2.3,9/5/2017 0:00,294347.1399,3239289.346
4,PC5,-2.04,9/5/2017 0:00,294341.7857,3239286.304
5,PC6,-1.77,9/5/2017 0:00,294341.2601,3239286.15
6,PC7,-2.46,9/5/2017 0:00,294351.577,3239267.072
7,PC8,-2.55,9/5/2017 0:00,294357.3368,3239269.415
8,PC9,-2.18,9/5/2017 0:00,294363.7042,3239270.803
9,PC10,-2.22,9/5/2017 0:00,294366.3331,3239278.102
10,PC11,-2.91,9/5/2017 0:00,294371.2481,3239281.816
11,PC12,-3.44,9/5/2017 0:00,294376.6603,3239277.365
12,PC13,-1.71,9/5/2017 0:00,294371.9829,3239273.265
13,PC14,-2.14,9/5/2017 0:00,294365.6902,3239271.703
14,PC15,-2.35,9/5/2017 0:00,294359.115,3239270.616
15,PC16,-2.72,9/5/2017 0:00,294354.3719,3239266.682
16,PC17,-1.81,9/5/2017 0:00,294363.6099,3239241.903
17,PC18,-1.5,9/5/2017 0:00,294369.3496,3239244.043
18,PC19,-1.55,9/5/2017 0:00,294374.7305,3239246.99
19,PC20,-1.6,9/5/2017 0:00,294380.9719,3239247.891
20,PC21,-1.85,9/5/2017 0:00,294387.7391,3239247.55
21,PC22,-3.8,9/5/2017 0:00,294392.3489,3239251.229
22,PC23,-3.19,9/5/2017 0:00,294390.2822,3239251.945
23,PC24,-1.9,9/5/2017 0:00,294386.5971,3239251.964
24,PC25,-1.88,9/5/2017 0:00,294384.246,3239250.433
25,PC26,-1.55,9/5/2017 0:00,294380.1583,3239244.359
26,PC27,-1.47,9/5/2017 0:00,294374.6606,3239241.66
27,PC28,-1.73,9/5/2017 0:00,294368.7387,3239239.604
28,PC29,-1.83,9/5/2017 0:00,294364.0741,3239234.87
29,PC30,-2.22,9/5/2017 0:00,294359.4457,3239230.09
30,PC31,-2.78,9/5/2017 0:00,294354.1545,3239226.935
31,PC32,-3.19,9/5/2017 0:00,294349.3857,3239222.486
32,PC33,-3.51,9/5/2017 0:00,294345.199,3239216.608
33,PC34,-3.72,9/5/2017 0:00,294340.6967,3239211.595
34,PC35,-3.48,9/5/2017 0:00,294335.9789,3239207.057
35,PC36,-3.6,9/5/2017 0:00,294331.369,3239202.296
36,PC37,-3.86,9/5/2017 0:00,294327.7258,3239199.739
37,PC38,-3.62,9/5/2017 0:00,294332.8524,3239203.6
38,PC39,-3.51,9/5/2017 0:00,294337.9441,3239207.662
39,PC40,-3.61,9/5/2017 0:00,294343.5434,3239210.489
40,PC41,-3.4,9/5/2017 0:00,294348.7459,3239214.322
41,PC42,-3.13,9/5/2017 0:00,294354.9503,3239215.18
42,PC43,-2.51,9/5/2017 0:00,294361.089,3239216.204
43,PC44,-2.22,9/5/2017 0:00,294366.7017,3239218.802
44,PC45,-1.93,9/5/2017 0:00,294372.596,3239220.474
45,PC46,-2.19,9/5/2017 0:00,294379.1395,3239221.787
46,PC47,-2.09,9/5/2017 0:00,294384.7159,3239224.421
47,PC48,-2.07,9/5/2017 0:00,294390.004,3239227.921
48,PC49,-3.8,9/5/2017 0:00,294396.4763,3239228.39
49,PC50,-3.55,9/5/2017 0:00,294402.6156,3239229.481
50,PC51,-3.73,9/5/2017 0:00,294407.8648,3239235.569
51,PC52,-3.2,9/5/2017 0:00,294412.7563,3239240.106
52,PC53,-4.59,9/5/2017 0:00,294368.0237,3239298.675
53,PC54,-4.34,9/5/2017 0:00,294364.2853,3239293.169
54,PC55,-2.48,9/5/2017 0:00,294358.8383,3239290.338
55,PC56,-2.23,9/5/2017 0:00,294351.529,3239290.373
56,PC57,-2.47,9/5/2017 0:00,294345.5377,3239288.406
57,PC58,-2.14,9/5/2017 0:00,294340.0029,3239285.64
58,PC59,-3.16,9/5/2017 0:00,294333.2616,3239284.737
59,PC60,-3.7,9/5/2017 0:00,294326.1883,3239283.142
60,PC61,-3.69,9/5/2017 0:00,294321.6379,3239278.923
61,PC62,-3.82,9/5/2017 0:00,294316.9511,3239274.445
62,PC63,-3.85,9/5/2017 0:00,294324.33,3239244.348
63,PC64,-4.01,9/5/2017 0:00,294328.5074,3239249.15
64,PC65,-3.61,9/5/2017 0:00,294333.2476,3239253.106
65,PC66,-3.55,9/5/2017 0:00,294338.3854,3239256.5
66,PC67,-3.27,9/5/2017 0:00,294343.1291,3239260.499
67,PC68,-2.77,9/5/2017 0:00,294348.1609,3239263.973
68,PC69,-2.8,9/5/2017 0:00,294354.0327,3239266.581
69,PC70,-2.44,9/5/2017 0:00,294359.6426,3239269.216
70,PC71,-2.33,9/5/2017 0:00,294364.344,3239273.26
71,PC72,-2.37,9/5/2017 0:00,294370.2453,3239275.405
72,PC73,-3.49,9/5/2017 0:00,294376.0323,3239277.712
73,PC74,-4.94,9/5/2017 0:00,294380.9469,3239281.385
74,PC75,-3.74,9/5/2017 0:00,294403.3607,3239256.058
75,PC76,-4.32,9/5/2017 0:00,294398.3701,3239252.059
76,PC77,-4.11,9/5/2017 0:00,294392.8236,3239249.348
77,PC78,-1.88,9/5/2017 0:00,294386.0824,3239249.518
78,PC79,-1.87,9/5/2017 0:00,294380.1247,3239247.926
79,PC80,-1.66,9/5/2017 0:00,294374.8997,3239244.31
80,PC81,-1.84,9/5/2017 0:00,294369.6034,3239240.913
81,PC82,-1.89,9/5/2017 0:00,294363.704,3239239.001
82,PC83,-2.21,9/5/2017 0:00,294357.3518,3239238.326
83,PC84,-2.58,9/5/2017 0:00,294351.3132,3239236.887
84,PC85,-3.1,9/5/2017 0:00,294345.4686,3239234.971
85,PC86,-3.24,9/5/2017 0:00,294339.5993,3239233.012
86,PC87,-3.1,9/5/2017 0:00,294334.0325,3239230.429
87,PC88,-3.55,9/5/2017 0:00,294328.7681,3239227.204
88,PC89,-3.76,9/5/2017 0:00,294323.6529,3239223.602
89,PC90,-4.27,9/5/2017 0:00,294334.0752,3239175.448
90,PC91,-4.09,9/5/2017 0:00,294339.7018,3239177.894
91,PC92,-3.99,9/5/2017 0:00,294345.8854,3239179.182
92,PC93,-3.8,9/5/2017 0:00,294351.2039,3239182.316
93,PC94,-3.61,9/5/2017 0:00,294357.0279,3239184.324
94,PC95,-3.29,9/5/2017 0:00,294362.957,3239186.145
95,PC96,-2.89,9/5/2017 0:00,294367.8887,3239190.385
96,PC97,-2.68,9/5/2017 0:00,294373.8805,3239192.056
97,PC98,-2.29,9/5/2017 0:00,294379.7226,3239194.043
98,PC99,-1.99,9/5/2017 0:00,294385.3152,3239197.15
99,PC100,-1.89,9/5/2017 0:00,294390.4624,3239200.575
100,PC101,-1.85,9/5/2017 0:00,294396.2803,3239202.58
101,PC102,-2.03,9/5/2017 0:00,294401.9276,3239204.955
102,PC103,-2.21,9/5/2017 0:00,294407.3354,3239207.835
103,PC104,-2.56,9/5/2017 0:00,294413.3334,3239209.521
104,PC105,-3.68,9/5/2017 0:00,294418.5404,3239212.799
105,PC106,-4.01,9/5/2017 0:00,294424.4302,3239214.666
106,PC107,-4.01,9/5/2017 0:00,294437.3545,3239185.007
107,PC108,-4.19,9/5/2017 0:00,294431.2492,3239183.614
108,PC109,-3.87,9/5/2017 0:00,294425.8621,3239180.657
109,PC110,-2.69,9/5/2017 0:00,294420.5415,3239177.624
110,PC111,-2.51,9/5/2017 0:00,294414.5406,3239175.971
111,PC112,-2.32,9/5/2017 0:00,294409.0016,3239173.422
112,PC113,-2.26,9/5/2017 0:00,294403.7827,3239170.177
113,PC114,-2.3,9/5/2017 0:00,294397.9349,3239168.24
114,PC115,-2.57,9/5/2017 0:00,294391.4797,3239167.63
115,PC116,-2.86,9/5/2017 0:00,294385.584,3239165.8
116,PC117,-3.29,9/5/2017 0:00,294380.5711,3239162.029
117,PC118,-3.52,9/5/2017 0:00,294375.6422,3239158.121
118,PC119,-3.78,9/5/2017 0:00,294370.3607,3239155.029
119,PC120,-3.99,9/5/2017 0:00,294364.5606,3239152.963
120,PC121,-4.18,9/5/2017 0:00,294358.4872,3239151.381
121,PC122,-3.96,9/5/2017 0:00,294379.0966,3239134.285
122,PC123,-3.83,9/5/2017 0:00,294387.2886,3239131.234
123,PC124,-3.62,9/5/2017 0:00,294394.1874,3239130.961
124,PC125,-3.05,9/5/2017 0:00,294398.9042,3239135.384
125,PC126,-2.83,9/5/2017 0:00,294403.39,3239140.238
126,PC127,-2.54,9/5/2017 0:00,294409.4595,3239141.728
127,PC128,-2.37,9/5/2017 0:00,294415.0083,3239144.348
128,PC129,-2.22,9/5/2017 0:00,294420.5843,3239146.94
129,PC130,-2.04,9/5/2017 0:00,294425.7586,3239150.325
130,PC131,-2.86,9/5/2017 0:00,294431.2993,3239153.067
131,PC132,-3.91,9/5/2017 0:00,294436.9979,3239155.384
132,PC133,-4.2,9/5/2017 0:00,294441.7147,3239158.023
