"","field_pt","date","year","month","day","locality","site","bar","station","transect","tran_length","easting","northing","elev_m","collector","type","gear","neg_e_abs","elev_cat"
"1","BM1","10/23/2018",2018,10,23,"LC","O","8B","LCO8B",-999,-999,294701.471,3238857.612,-0.256,"UF","BENCHMARK","TRIMBLE_5800_RTK",0.256,-0.2
"2","BM2","10/23/2018",2018,10,23,"LC","O","9A","LCO9A",-999,-999,294798.689,3238780.521,-0.086,"UF","BENCHMARK","TRIMBLE_5800_RTK",0.086,0
"3","BM4","10/23/2018",2018,10,23,"LC","O","10A","LCO10A",-999,-999,295032.538,3238590.837,-0.467,"UF","BENCHMARK","TRIMBLE_5800_RTK",0.467,-0.4
"4","BM9","10/23/2018",2018,10,23,"LC","O","15","LCO15",-999,-999,295796.629,3237661.603,-0.546,"UF","BENCHMARK","TRIMBLE_5800_RTK",0.546,-0.5
"5","BM16","10/25/2018",2018,10,23,"LC","O","20","LCO20",-999,-999,295881.231,3237433.395,-0.369,"UF","BENCHMARK","TRIMBLE_5800_RTK",0.369,-0.3
"6","BM19","10/25/2018",2018,10,23,"LC","O","22","LCO22",-999,-999,296684.212,3235419.703,-0.402,"UF","BENCHMARK","TRIMBLE_5800_RTK",0.402,-0.4
"7","BTGCP1","10/24/2018",2018,10,23,"BT","I","-999","N_A",-999,-999,297485.326,3238961.434,-0.214,"UF","DRONE","TRIMBLE_5800_RTK",0.214,-0.2
"8","BTGCP3","10/24/2018",2018,10,23,"BT","I","-999","N_A",-999,-999,297446.39,3239430.712,-0.022,"UF","DRONE","TRIMBLE_5800_RTK",0.022,0
"9","BTGCP4","10/24/2018",2018,10,23,"BT","I","-999","N_A",-999,-999,297660.808,3239695.027,-0.184,"UF","DRONE","TRIMBLE_5800_RTK",0.184,-0.1
"10","BTGCP5","10/24/2018",2018,10,23,"BT","I","-999","N_A",-999,-999,297972.442,3239455.462,-0.183,"UF","DRONE","TRIMBLE_5800_RTK",0.183,-0.1
"11","BTI1-0","1/8/2019",2019,1,8,"BT","I","1","BTI1",1,0,297451.728,3239370.348,-0.788,"UF","REEF","TRIMBLE_5800_RTK",0.788,-0.7
