field_point,easting,northing,elev_m,date,year,month,day,locality,site,bar,station,transect,tran_length,collector
1001,295264.994,3239606.022,-0.236,10/23/2018,2018,10,23,LC,O,8B,LCO8B,-999,-999,UF
1002,295363.572,3239530.707,-0.081,10/23/2018,2018,10,23,LC,O,9A,LCO9A,-999,-999,UF
1004,295600.774,3239345.282,-0.447,10/23/2018,2018,10,23,LC,O,10A,LCO10A,-999,-999,UF
1009,296381.396,3238430.083,-0.57,10/23/2018,2018,10,23,LC,O,15,LCO15,-999,-999,UF
1016,296470.095,3238203.462,-0.407,10/25/2018,2018,10,23,LC,O,20,LCO20,-999,-999,UF
1019,297309.139,3236204.796,-0.342,10/25/2018,2018,10,23,LC,O,22,LCO22,-999,-999,UF
BTGCP1,298046.219,3239760.025,-0.185,10/24/2018,2018,10,23,BT,I,-999,N_A,-999,-999,UF
BTGCP2,298217.172,3240064.311,0.234,10/24/2018,2018,10,23,BT,I,-999,N_A,-999,-999,UF
BTGCP3,297998.824,3240228.457,0.084,10/24/2018,2018,10,23,BT,I,-999,N_A,-999,-999,UF
BTGCP4,298208.413,3240496.564,-0.096,10/24/2018,2018,10,23,BT,I,-999,N_A,-999,-999,UF
BTGCP5,298524.288,3240262.686,-0.082,10/24/2018,2018,10,23,BT,I,-999,N_A,-999,-999,UF
BTI1-0,298005.237,3240168.189,-0.73,1/8/2019,2019,1,8,BT,I,1,BTI1,1,0,UF
BTI1-1,298007.715,3240167.844,-0.559,1/8/2019,2019,1,8,BT,I,1,BTI1,1,2.5,UF
BTI1-2,298010.15,3240167.423,-0.344,1/8/2019,2019,1,8,BT,I,1,BTI1,1,5,UF
BTI1-3,298012.583,3240166.955,-0.377,1/8/2019,2019,1,8,BT,I,1,BTI1,1,7.5,UF
BTI1-4,298015.065,3240166.56,-0.352,1/8/2019,2019,1,8,BT,I,1,BTI1,1,10,UF
BTI1-5,298017.503,3240166.162,-0.297,1/8/2019,2019,1,8,BT,I,1,BTI1,1,12.5,UF
BTI1-6,298019.973,3240165.734,-0.439,1/8/2019,2019,1,8,BT,I,1,BTI1,1,15,UF
BTI1-7,298022.459,3240165.298,-0.364,1/8/2019,2019,1,8,BT,I,1,BTI1,1,17.5,UF
BTI1-8,298024.898,3240164.893,-0.515,1/8/2019,2019,1,8,BT,I,1,BTI1,1,20,UF
BTI1-9,298027.322,3240164.495,-0.693,1/8/2019,2019,1,8,BT,I,1,BTI1,1,22.5,UF
BTI1-10,298028.083,3240164.434,-0.692,1/8/2019,2019,1,8,BT,I,1,BTI1,1,23,UF
BTI2-1-0,298153.44,3240320.883,-0.751,1/8/2019,2019,1,8,BT,I,2,BTI2,1,0,UF
BTI2-1-1,298153.895,3240318.414,-0.571,1/8/2019,2019,1,8,BT,I,2,BTI2,1,2.5,UF
BTI2-1-2,298154.148,3240315.947,-0.498,1/8/2019,2019,1,8,BT,I,2,BTI2,1,5,UF
BTI2-1-3,298154.403,3240313.477,-0.501,1/8/2019,2019,1,8,BT,I,2,BTI2,1,7.5,UF
BTI2-1-4,298154.6,3240311.01,-0.337,1/8/2019,2019,1,8,BT,I,2,BTI2,1,10,UF
BTI2-1-5,298154.869,3240308.504,-0.442,1/8/2019,2019,1,8,BT,I,2,BTI2,1,12.5,UF
BTI2-1-6,298155.124,3240306.045,-0.458,1/8/2019,2019,1,8,BT,I,2,BTI2,1,15,UF
BTI2-1-7,298155.44,3240303.563,-0.512,1/8/2019,2019,1,8,BT,I,2,BTI2,1,17.5,UF
BTI2-1-8,298155.707,3240301.148,-0.542,1/8/2019,2019,1,8,BT,I,2,BTI2,1,20,UF
BTI2-1-9,298155.937,3240300.114,-0.581,1/8/2019,2019,1,8,BT,I,2,BTI2,1,20.9,UF
BTI2-2-0,298160.144,3240289.219,-0.764,1/8/2019,2019,1,8,BT,I,2,BTI2,2,0,UF
BTI2-2-1,298162.617,3240289.561,-0.696,1/8/2019,2019,1,8,BT,I,2,BTI2,2,2.5,UF
BTI2-2-2,298165.072,3240289.674,-0.543,1/8/2019,2019,1,8,BT,I,2,BTI2,2,5,UF
BTI2-2-3,298167.543,3240289.867,-0.288,1/8/2019,2019,1,8,BT,I,2,BTI2,2,7.5,UF
BTI2-2-4,298170.01,3240290.011,-0.324,1/8/2019,2019,1,8,BT,I,2,BTI2,2,10,UF
BTI2-2-5,298172.543,3240290.223,-0.415,1/8/2019,2019,1,8,BT,I,2,BTI2,2,12.5,UF
BTI2-2-6,298174.981,3240290.442,-0.492,1/8/2019,2019,1,8,BT,I,2,BTI2,2,15,UF
BTI2-2-7,298177.453,3240290.615,-0.666,1/8/2019,2019,1,8,BT,I,2,BTI2,2,17.5,UF
BTI2-2-8,298178.122,3240290.62,-0.711,1/8/2019,2019,1,8,BT,I,2,BTI2,2,17.75,UF
BTI3-1-0,298192.482,3240205.545,-0.934,1/8/2019,2019,1,8,BT,I,3,BTI3,1,0,UF
BTI3-1-1,298192.441,3240203.054,-0.789,1/8/2019,2019,1,8,BT,I,3,BTI3,1,2.5,UF
BTI3-1-2,298192.591,3240200.53,-0.785,1/8/2019,2019,1,8,BT,I,3,BTI3,1,5,UF
BTI3-1-3,298192.613,3240198.041,-0.684,1/8/2019,2019,1,8,BT,I,3,BTI3,1,7.5,UF
BTI3-1-4,298192.612,3240195.554,-0.65,1/8/2019,2019,1,8,BT,I,3,BTI3,1,10,UF
BTI3-1-5,298192.64,3240193.056,-0.597,1/8/2019,2019,1,8,BT,I,3,BTI3,1,12.5,UF
BTI3-1-6,298192.645,3240190.572,-0.484,1/8/2019,2019,1,8,BT,I,3,BTI3,1,15,UF
BTI3-1-7,298192.649,3240188.096,-0.716,1/8/2019,2019,1,8,BT,I,3,BTI3,1,17.5,UF
BTI3-1-8,298192.654,3240185.607,-0.847,1/8/2019,2019,1,8,BT,I,3,BTI3,1,20,UF
BTI3-1-9,298192.549,3240185.241,-0.886,1/8/2019,2019,1,8,BT,I,3,BTI3,1,20.2,UF
BTI3-2-0,298254.15,3240167.319,-0.897,1/8/2019,2019,1,8,BT,I,3,BTI3,2,0,UF
BTI3-2-1,298256.695,3240167.319,-0.798,1/8/2019,2019,1,8,BT,I,3,BTI3,2,2.5,UF
BTI3-2-2,298259.189,3240167.169,-0.761,1/8/2019,2019,1,8,BT,I,3,BTI3,2,5,UF
BTI3-2-3,298261.675,3240167.037,-0.578,1/8/2019,2019,1,8,BT,I,3,BTI3,2,7.5,UF
BTI3-2-4,298264.187,3240166.962,-0.685,1/8/2019,2019,1,8,BT,I,3,BTI3,2,10,UF
BTI3-2-5,298266.673,3240166.829,-0.713,1/8/2019,2019,1,8,BT,I,3,BTI3,2,12.5,UF
BTI3-2-6,298269.15,3240166.691,-0.793,1/8/2019,2019,1,8,BT,I,3,BTI3,2,15,UF
BTI3-2-7,298271.642,3240166.615,-0.865,1/8/2019,2019,1,8,BT,I,3,BTI3,2,17.5,UF
BTI3-2-8,298274.083,3240166.503,-0.941,1/8/2019,2019,1,8,BT,I,3,BTI3,2,19.7,UF
BTI4-2-0,298053.574,3239805.316,-0.985,1/8/2019,2019,1,8,BT,I,4,BTI4,2,0,UF
BTI4-2-1,298056.138,3239805.452,-0.953,1/8/2019,2019,1,8,BT,I,4,BTI4,2,2.5,UF
BTI4-2-2,298058.629,3239805.38,-0.886,1/8/2019,2019,1,8,BT,I,4,BTI4,2,5,UF
BTI4-2-3,298061.179,3239805.204,-0.91,1/8/2019,2019,1,8,BT,I,4,BTI4,2,7.5,UF
BTI4-2-4,298063.644,3239804.907,-0.896,1/8/2019,2019,1,8,BT,I,4,BTI4,2,10,UF
BTI4-2-5,298066.067,3239804.606,-0.88,1/8/2019,2019,1,8,BT,I,4,BTI4,2,12.5,UF
BTI4-2-6,298068.605,3239804.435,-0.852,1/8/2019,2019,1,8,BT,I,4,BTI4,2,15,UF
BTI4-2-7,298071.058,3239804.399,-0.922,1/8/2019,2019,1,8,BT,I,4,BTI4,2,17.5,UF
BTI4-2-8,298073.567,3239804.121,-0.809,1/8/2019,2019,1,8,BT,I,4,BTI4,2,20,UF
BTI4-2-9,298076.103,3239804.187,-0.806,1/8/2019,2019,1,8,BT,I,4,BTI4,2,22.5,UF
BTI4-2-10,298078.573,3239804.176,-0.771,1/8/2019,2019,1,8,BT,I,4,BTI4,2,25,UF
BTI4-2-11,298081.138,3239803.922,-0.59,1/8/2019,2019,1,8,BT,I,4,BTI4,2,27.5,UF
BTI4-2-12,298081.696,3239803.905,-0.65,1/8/2019,2019,1,8,BT,I,4,BTI4,2,28.1,UF
BTI5-1-0,298429.539,3239864.785,-0.946,1/8/2019,2019,1,8,BT,I,5,BTI5,1,0,UF
BTI5-1-1,298429.006,3239862.284,-0.416,1/8/2019,2019,1,8,BT,I,5,BTI5,1,2.5,UF
BTI5-1-2,298428.636,3239859.865,-0.37,1/8/2019,2019,1,8,BT,I,5,BTI5,1,5,UF
BTI5-1-3,298428.328,3239857.401,-0.489,1/8/2019,2019,1,8,BT,I,5,BTI5,1,7.5,UF
BTI5-1-4,298428.035,3239854.971,-0.509,1/8/2019,2019,1,8,BT,I,5,BTI5,1,10,UF
BTI5-1-5,298427.643,3239852.499,-0.545,1/8/2019,2019,1,8,BT,I,5,BTI5,1,12.5,UF
BTI5-1-6,298427.359,3239850.061,-0.535,1/8/2019,2019,1,8,BT,I,5,BTI5,1,15,UF
BTI5-1-7,298427.001,3239847.517,-0.698,1/8/2019,2019,1,8,BT,I,5,BTI5,1,17.5,UF
BTI5-1-8,298426.598,3239845.009,-0.845,1/8/2019,2019,1,8,BT,I,5,BTI5,1,20,UF
