"","date","locality","site","bar","station","tran_length","elev_m"
"1","5/23/2010","CR","N",1,"CRN1","10",0.0015
"2","5/23/2010","CR","N",1,"CRN1","12.5",5e-04
"3","5/23/2010","CR","N",1,"CRN1","7.5",-0.006
"4","5/23/2010","CR","N",1,"CRN1","5",-0.9525
"5","5/23/2010","CR","N",1,"CRN1","20.3",-1.0375
"6","5/23/2010","CR","N",1,"CRN1","2.5",-1.1275
"7","5/23/2010","CR","N",1,"CRN1","15",-0.0105
"8","5/23/2010","CR","N",1,"CRN1","17.5",-1.0225
"9","5/23/2010","CR","N",1,"CRN1","20",-1.0375
"10","5/24/2010","CR","I",1,"CRI1","23.4",-0.5
"11","5/24/2010","CR","I",1,"CRI1","10",0.025
"12","5/24/2010","CR","I",1,"CRI1","12.5",0.07
"13","5/24/2010","CR","I",1,"CRI1","22.5",-0.5
"14","5/24/2010","CR","I",1,"CRI1","7.5",0.09
"15","5/24/2010","CR","I",1,"CRI1","2.5",-0.51
"16","5/24/2010","CR","I",1,"CRI1","15",0.055
"17","5/24/2010","CR","I",1,"CRI1","17.5",-0.035
"18","5/24/2010","CR","I",1,"CRI1","20",-0.345
"19","5/24/2010","CR","I",1,"CRI1","5",-0.14
"20","5/24/2010","CR","N",3,"CRN3","15",0.192
"21","5/24/2010","CR","N",3,"CRN3","17.5",0.192
"22","5/24/2010","CR","N",3,"CRN3","20",0.172
"23","5/24/2010","CR","N",3,"CRN3","35",-0.608
"24","5/24/2010","CR","N",3,"CRN3","12.5",0.092
"25","5/24/2010","CR","N",3,"CRN3","22.5",0.092
"26","5/24/2010","CR","N",3,"CRN3","32.5",-0.468
"27","5/24/2010","CR","N",3,"CRN3","30",-0.368
"28","5/24/2010","CR","N",3,"CRN3","7.5",-0.268
"29","5/24/2010","CR","N",3,"CRN3","5",-0.353
"30","5/24/2010","CR","N",3,"CRN3","2.5",-0.528
"31","5/24/2010","CR","N",3,"CRN3","25",0.042
"32","5/24/2010","CR","N",3,"CRN3","27.5",-0.018
"33","5/24/2010","CR","N",3,"CRN3","10",-0.018
"34","5/24/2010","CR","O",1,"CRO1","20",0.268
"35","5/24/2010","CR","O",1,"CRO1","22.5",0.233
"36","5/24/2010","CR","O",1,"CRO1","25",0.168
"37","5/24/2010","CR","O",1,"CRO1","27.5",0.148
"38","5/24/2010","CR","O",1,"CRO1","30",0.128
"39","5/24/2010","CR","O",1,"CRO1","32.5",0.098
"40","5/24/2010","CR","O",1,"CRO1","37.5",0.038
"41","5/24/2010","CR","O",1,"CRO1","47.5",-0.102
"42","5/24/2010","CR","O",1,"CRO1","50",-0.162
"43","5/24/2010","CR","O",1,"CRO1","17.5",0.348
"44","5/24/2010","CR","O",1,"CRO1","12.5",0.308
"45","5/24/2010","CR","O",1,"CRO1","35",0.048
"46","5/24/2010","CR","O",1,"CRO1","15",0.388
"47","5/24/2010","CR","O",1,"CRO1","40",-0.002
"48","5/24/2010","CR","O",1,"CRO1","42.5",-0.002
"49","5/24/2010","CR","O",1,"CRO1","45",-0.057
"50","5/24/2010","CR","O",1,"CRO1","10",0.248
"51","5/24/2010","CR","O",1,"CRO1","5",-0.077
"52","5/24/2010","CR","O",1,"CRO1","7.5",0.098
"53","5/24/2010","CR","O",1,"CRO1","2.5",-0.342
"54","5/24/2010","CR","O",2,"CRO2","7.5",0.193
"55","5/24/2010","CR","O",2,"CRO2","2.5",-0.127
"56","5/24/2010","CR","O",2,"CRO2","5",0.083
"57","5/24/2010","CR","O",2,"CRO2","42.5",-0.217
"58","5/24/2010","CR","O",2,"CRO2","45",-0.217
"59","5/24/2010","CR","O",2,"CRO2","15",0.078
"60","5/24/2010","CR","O",2,"CRO2","40",-0.217
"61","5/24/2010","CR","O",2,"CRO2","10",0.098
"62","5/24/2010","CR","O",2,"CRO2","17.5",0.068
"63","5/24/2010","CR","O",2,"CRO2","25",-0.217
