date,locality,site,bar,station,tran_length,elev_m
5/23/2010,CR,N,1,CRN1,10,0.0015
5/23/2010,CR,N,1,CRN1,12.5,0.0005
5/23/2010,CR,N,1,CRN1,7.5,-0.006
5/23/2010,CR,N,1,CRN1,5,-0.9525
5/23/2010,CR,N,1,CRN1,20.3,-1.0375
5/23/2010,CR,N,1,CRN1,2.5,-1.1275
5/23/2010,CR,N,1,CRN1,15,-0.0105
5/23/2010,CR,N,1,CRN1,17.5,-1.0225
5/23/2010,CR,N,1,CRN1,20,-1.0375
5/24/2010,CR,I,1,CRI1,23.4,-0.5
5/24/2010,CR,I,1,CRI1,10,0.025
5/24/2010,CR,I,1,CRI1,12.5,0.07
5/24/2010,CR,I,1,CRI1,22.5,-0.5
5/24/2010,CR,I,1,CRI1,7.5,0.09
5/24/2010,CR,I,1,CRI1,2.5,-0.51
5/24/2010,CR,I,1,CRI1,15,0.055
5/24/2010,CR,I,1,CRI1,17.5,-0.035
5/24/2010,CR,I,1,CRI1,20,-0.345
5/24/2010,CR,I,1,CRI1,5,-0.14
5/24/2010,CR,N,3,CRN3,15,0.192
5/24/2010,CR,N,3,CRN3,17.5,0.192
5/24/2010,CR,N,3,CRN3,20,0.172
5/24/2010,CR,N,3,CRN3,35,-0.608
5/24/2010,CR,N,3,CRN3,12.5,0.092
5/24/2010,CR,N,3,CRN3,22.5,0.092
5/24/2010,CR,N,3,CRN3,32.5,-0.468
5/24/2010,CR,N,3,CRN3,30,-0.368
5/24/2010,CR,N,3,CRN3,7.5,-0.268
5/24/2010,CR,N,3,CRN3,5,-0.353
5/24/2010,CR,N,3,CRN3,2.5,-0.528
5/24/2010,CR,N,3,CRN3,25,0.042
5/24/2010,CR,N,3,CRN3,27.5,-0.018
5/24/2010,CR,N,3,CRN3,10,-0.018
5/24/2010,CR,O,1,CRO1,20,0.268
5/24/2010,CR,O,1,CRO1,22.5,0.233
5/24/2010,CR,O,1,CRO1,25,0.168
5/24/2010,CR,O,1,CRO1,27.5,0.148
5/24/2010,CR,O,1,CRO1,30,0.128
5/24/2010,CR,O,1,CRO1,32.5,0.098
5/24/2010,CR,O,1,CRO1,37.5,0.038
5/24/2010,CR,O,1,CRO1,47.5,-0.102
5/24/2010,CR,O,1,CRO1,50,-0.162
5/24/2010,CR,O,1,CRO1,17.5,0.348
5/24/2010,CR,O,1,CRO1,12.5,0.308
5/24/2010,CR,O,1,CRO1,35,0.048
5/24/2010,CR,O,1,CRO1,15,0.388
5/24/2010,CR,O,1,CRO1,40,-0.002
5/24/2010,CR,O,1,CRO1,42.5,-0.002
5/24/2010,CR,O,1,CRO1,45,-0.057
5/24/2010,CR,O,1,CRO1,10,0.248
5/24/2010,CR,O,1,CRO1,5,-0.077
5/24/2010,CR,O,1,CRO1,7.5,0.098
5/24/2010,CR,O,1,CRO1,2.5,-0.342
5/24/2010,CR,O,2,CRO2,7.5,0.193
5/24/2010,CR,O,2,CRO2,2.5,-0.127
5/24/2010,CR,O,2,CRO2,5,0.083
5/24/2010,CR,O,2,CRO2,42.5,-0.217
5/24/2010,CR,O,2,CRO2,45,-0.217
5/24/2010,CR,O,2,CRO2,15,0.078
5/24/2010,CR,O,2,CRO2,40,-0.217
5/24/2010,CR,O,2,CRO2,10,0.098
5/24/2010,CR,O,2,CRO2,17.5,0.068
5/24/2010,CR,O,2,CRO2,25,-0.217
5/24/2010,CR,O,2,CRO2,37.5,-0.217
5/24/2010,CR,O,2,CRO2,12.5,0.083
5/24/2010,CR,O,2,CRO2,22.5,0.003
5/24/2010,CR,O,2,CRO2,20,0.043
5/24/2010,CR,O,2,CRO2,30,-0.217
5/24/2010,CR,O,2,CRO2,32.5,-0.217
5/24/2010,CR,O,2,CRO2,27.5,-0.217
5/24/2010,CR,O,2,CRO2,35,-0.217
5/24/2010,CR,O,3,CRO3,17.5,-0.083
5/24/2010,CR,O,3,CRO3,5,-0.098
5/24/2010,CR,O,3,CRO3,12.5,-0.113
5/24/2010,CR,O,3,CRO3,30,-0.588
5/24/2010,CR,O,3,CRO3,32.5,-0.643
5/24/2010,CR,O,3,CRO3,35,-0.713
5/24/2010,CR,O,3,CRO3,10,-0.113
5/24/2010,CR,O,3,CRO3,15,-0.113
5/24/2010,CR,O,3,CRO3,22.5,-0.323
5/24/2010,CR,O,3,CRO3,27.5,-0.543
5/24/2010,CR,O,3,CRO3,37.5,-0.753
5/24/2010,CR,O,3,CRO3,40,-0.783
5/24/2010,CR,O,3,CRO3,2.5,-0.493
5/24/2010,CR,O,3,CRO3,25,-0.513
5/24/2010,CR,O,3,CRO3,7.5,-0.133
5/24/2010,CR,O,3,CRO3,20,-0.188
5/24/2010,CR ,N,2,CRN2,12.5,0.232
5/24/2010,CR ,N,2,CRN2,15,-0.128
5/24/2010,CR ,N,2,CRN2,17.5,-0.288
5/24/2010,CR ,N,2,CRN2,7.5,-0.348
5/24/2010,CR ,N,2,CRN2,21.64,-0.468
5/24/2010,CR ,N,2,CRN2,20,-0.468
5/24/2010,CR ,N,2,CRN2,10,-0.023
5/24/2010,CR ,N,2,CRN2,5,-0.438
5/24/2010,CR ,N,2,CRN2,2.5,-0.593
5/25/2010,HB,I,1,HBI1,5,-0.245
5/25/2010,HB,I,1,HBI1,7.5,-0.135
5/25/2010,HB,I,1,HBI1,22.5,-0.025
5/25/2010,HB,I,1,HBI1,20,-0.015
