,date,locality,site,bar,station,tran_length,elev_m
272,5/27/2010,CK,I,1,CKI1,2.5,-0.239
280,5/27/2010,CK,I,1,CKI1,5,0.051
273,5/27/2010,CK,I,1,CKI1,7.5,0.011
276,5/27/2010,CK,I,1,CKI1,10,0.041
277,5/27/2010,CK,I,1,CKI1,12.5,0.031
279,5/27/2010,CK,I,1,CKI1,15,0.011
271,5/27/2010,CK,I,1,CKI1,17.5,-0.049
274,5/27/2010,CK,I,1,CKI1,20,-0.014
278,5/27/2010,CK,I,1,CKI1,22.5,-0.049
275,5/27/2010,CK,I,1,CKI1,25,-0.204
282,5/27/2010,CK,I,2,CKI2,2.5,-0.324
284,5/27/2010,CK,I,2,CKI2,5,-0.149
287,5/27/2010,CK,I,2,CKI2,7.5,-0.094
291,5/27/2010,CK,I,2,CKI2,10,-0.069
292,5/27/2010,CK,I,2,CKI2,12.5,-0.009
290,5/27/2010,CK,I,2,CKI2,15,-0.019
285,5/27/2010,CK,I,2,CKI2,17.5,0.011
286,5/27/2010,CK,I,2,CKI2,20,0.021
289,5/27/2010,CK,I,2,CKI2,22.5,0.016
283,5/27/2010,CK,I,2,CKI2,25,0.141
288,5/27/2010,CK,I,2,CKI2,27.5,-0.039
281,5/27/2010,CK,I,2,CKI2,30,-0.259
306,5/27/2010,CK,N,1,CKN1,2.5,0.504
307,5/27/2010,CK,N,1,CKN1,5,0.724
303,5/27/2010,CK,N,1,CKN1,7.5,0.824
305,5/27/2010,CK,N,1,CKN1,10,0.669
304,5/27/2010,CK,N,1,CKN1,12.5,0.634
308,5/27/2010,CK,N,1,CKN1,15,0.504
320,5/27/2010,CK,N,2,CKN2,2.5,-0.668
319,5/27/2010,CK,N,2,CKN2,5,-0.598
318,5/27/2010,CK,N,2,CKN2,7.5,-0.528
322,5/27/2010,CK,N,2,CKN2,10,-0.478
321,5/27/2010,CK,N,2,CKN2,12.5,-0.438
316,5/27/2010,CK,N,2,CKN2,15,-0.408
315,5/27/2010,CK,N,2,CKN2,17.5,-0.348
314,5/27/2010,CK,N,2,CKN2,20,-0.288
313,5/27/2010,CK,N,2,CKN2,22.5,-0.258
312,5/27/2010,CK,N,2,CKN2,25,-0.208
311,5/27/2010,CK,N,2,CKN2,27.5,-0.153
309,5/27/2010,CK,N,2,CKN2,30,-0.048
